letter,line,decision,confidence,cue,ratio,prev_len,page_measure,prev_line,context
3,225,break,high,short_line,0.62,47,76,und Spott belastet von hier heimlich entfernen.,"Ich habe hier für Sie viel bewürbt, und wolte eben noch das bewürken d"
3,231,run,review,short_line,0.53,40,76,vor Schaam nicht die Augen aufschlagen —,Ich bitte Sie also nochmals um Gottes willen schicken Sie eiligst die 
3,242,run,review,short_line,0.41,30,73,wo sind die Recenzen geblieben,Das gerathenste ist die schaden ein eigenes Pro Memoria hier her - und
3,248,break,high,rubric+short_line,0.19,14,73,Hölln bereiten,"2. Und Muß er Cautions fähig sein, die Cantonikan in Baar Geld, nicht "
3,250,break,high,rubric+short_line,0.4,29,73,liegenden Gründen geschehen —,"3) Hans Muß er sowohl oconomische Kenntniße besizze, als auch sonst wi"
3,252,run,review,short_line,0.16,12,73,schaft haben,4tens muß er nicht ohne alle Kenntnis vom Hütten fache sein - haupt er
3,256,run,review,short_line,0.68,50,73,ihm die alten Blut: Igel kein X für ein U machen -,"Wenn Sie vorschlagen, besonders mit diesen Eigenschaften dem genehmige"
3,258,run,review,short_line,0.32,23,73,der Furst Canzler gewiß,"Diese Sachen aber muß ich sehr schnell her haben, den ich hoffe in wen"
4,272,break,high,short_line+column,0.34,23,67,Durchlauchtigster Fürst,Gnädiger Herr
4,273,run,review,short_line,0.19,13,67,Gnädiger Herr,"Die Napoleonſche Geſchichte macht hier eine arge Senſation, und der Hi"
4,283,break,high,short_line,0.1,7,67,gesezt.,Regierung geſezt und Marsena hat 3 Millionen Francken aus ſein Ver-
4,286,break,high,short_line,0.21,14,67,fruchten wird.,Hoffrath Barbe der ſich Ewr Durchlaucht ehrerbietigſt empfühlt wird eh
4,302,break,high,short_line,0.71,52,73,Ewr Durchlaucht den Kutscher dorten brauchen könten.,"daß diese Männer Barbe, Philipshorn, und Heym wieder was Guts stiften "
4,306,break,high,short_line,0.71,52,73,genug wird es dann sein es Ewr Durchlaucht zu sagen.,wäre es in der Welt möglich so schien Sie Eberhard her - den möglich i
4,316,break,high,short_line,0.19,14,73,kämpft werden.,"Übrigens haben Ewo durchlaucht wir nicht geantwortet, wenn Sie sie ann"
4,322,run,review,short_line,0.55,40,73,Es wüste dies aber sehr völlig geschehen,"Ich hoffe meine Taufendfache dorzu, und kümer soll dennoch belohnt wer"
4,324,break,high,short_line+column,0.37,27,73,te tiefen Respect ersterben,Eine Durchlaucht
4,325,break,high,short_line+column,0.22,16,73,Eine Durchlaucht,treu gehorsamer Diener
4,326,break,high,short_line+column,0.3,22,73,treu gehorsamer Diener,Wien d 19ten Mertz 1815 – Nun komm nach Eberhard
4,327,break,high,short_line+column,0.66,48,73,Wien d 19ten Mertz 1815 – Nun komm nach Eberhard,v Triebenfeld
4,333,run,review,short_line,0.35,29,84,"ihrer Convenenz gemäß finden,","Was indes hier die Beſorgins der Allerhöchſten Herrn erregt, ſind die "
5,344,break,high,short_line+column,0.36,23,64,Durchlauchtigſter Fürſt,Gnädigster Herr!
5,345,break,high,short_line,0.25,16,64,Gnädigster Herr!,"Der p. Trzcinski ist von dem langen Zerboni angegangen, daß ihm Trzcin"
5,353,break,high,short_line,0.72,46,64,geben damit ich mich nicht zum Geſpötte mache.,Ein tausend vnd gibt Trzcinski vor schon davon auf Anweisung der
5,360,break,high,short_line,0.64,41,64,sowicht hat sich darauf so was fabrizirt.,Dem Prefeckt zu Kalisz dem H v Smiedecki habe ich ganz gewann
5,368,run,review,short_line,0.54,15,28,Ewr Durchlaucht,Bau unterthänigsten Diener v Triebenfeld
5,370,run,review,short_line,0.29,8,28,Blizanow,den 27ten Januar 1816
6,375,break,high,short_line+column,0.32,24,75,"Durchlauchtigſter Fürſt,","Gnädigster Herr,"
6,376,run,review,short_line,0.21,16,75,"Gnädigster Herr,",Eine Hochfürstl Durchlaucht höchst verehrtes Schreiben von Aprilen erh
6,394,break,high,short_line,0.69,52,75,die Donner und zu kurzen hoffe ich am Rande zu sein.,Übrigens gnädigster Fürst und Herr ertheilen Sie ſehr ſchrift man Sie 
6,417,run,review,short_line,0.62,48,77,meine beiden Freunde in Berlin und ich hier wach,Meinen Plan und des Cabinets Raths Albrechts ersehen Sie aus der Beila
6,426,run,review,short_line,0.71,35,49,wie die Marconetten geleitet wurden,Von Pourtales ist noch keine Antwort - wir glauben daher daß erkauft -
6,431,run,review,short_line,0.63,31,49,wie man sich hier Bummeln muß -,Ohne Geld ist es hier ein schreckliches Leben - und ich habe so wahr G
6,436,run,review,short_line,0.37,18,49,Schande umkommen —,"August ist ein armseeliger elender Mensch, dies Beweise Ihnen der beig"
6,440,break,high,short_line,0.41,20,49,man Öhringen heißen.,Wüste ich mir erst was Adolph für ein Mann werden
6,442,break,high,short_line,0.1,5,49,wird.,Der Kopf thut mich fürchterlich wehe so daß ich unmöglich weiter schre
6,445,break,high,short_line+column,0.33,16,49,Euer Durchlaucht,Beugelin empfiehlt ſich zu Gnaden
6,446,break,high,short_line+column,0.67,33,49,Beugelin empfiehlt ſich zu Gnaden,so auch Barbe
6,447,break,high,short_line+column,0.27,13,49,so auch Barbe,die Piece an Albrecht bitte
6,448,break,high,short_line+column,0.55,27,49,die Piece an Albrecht bitte,ich noch wieder aus den ich habe
6,449,run,review,short_line,0.65,32,49,ich noch wieder aus den ich habe,keine Abschrift pr. C. Hoffett und Geld
6,451,break,high,short_line+column,0.43,21,49,tren gehorſame Diener,v Triebenfeld
6,452,break,high,short_line+column,0.27,13,49,v Triebenfeld,Wien d. 6ten May
6,453,break,high,short_line+column,0.33,16,49,Wien d. 6ten May,1815.
7,457,break,high,salutation+short_line,0.44,24,54,Durchlauchtigſter Fürſt!,Gnädigster Fürst und Herr!
7,458,break,high,short_line,0.48,26,54,Gnädigster Fürst und Herr!,Aufs neue durch einen Brief meines Vaters an Eus kurtz
7,477,break,high,short_line,0.36,20,56,Ueberwindung kosten.,Mit den tiefſten Ehrfurcht verſamme ich Ew Hochfürſtlichen
7,479,break,high,short_line+column,0.2,11,56,Durchlaucht,ganz unterthänigste Dienerin
7,480,break,high,short_line+column,0.5,28,56,ganz unterthänigste Dienerin,Breslau den 20ten März 1815.
7,481,break,high,short_line,0.5,28,56,Breslau den 20ten März 1815.,Charlotte von Triebenfeld.
8,507,break,high,short_line+column,0.46,36,78,paar Worte von kurischen Mandatarius,So bekomme ich den 2ten Brief von
8,508,break,high,short_line+column,0.42,33,78,So bekomme ich den 2ten Brief von,meine arme Tochter — Fürst helfen
8,509,break,high,short_line+column,0.42,33,78,meine arme Tochter — Fürst helfen,Sie oder mich hohlt der Teufel
8,510,break,high,short_line+column,0.38,30,78,Sie oder mich hohlt der Teufel,Meine Kinder und ich gehen im Elend
8,511,break,high,short_line+column,0.45,35,78,Meine Kinder und ich gehen im Elend,unter und das in Ehrentwillen.
10,518,break,high,short_line+column,0.3,24,79,"Durchlauchtigster Fürst,",Gnädigster Herr!
10,519,break,high,short_line,0.2,16,79,Gnädigster Herr!,Ewr Durchlaucht höchst verehrtes Schreiben vom 21ten v. M. erhielt ich
10,530,break,high,short_line,0.54,43,79,aufs Beste ordenen noch ehe er hier abgeht.,Die fehlinische Angelegenheit habe ich der Commission nun übergeben — 
10,536,break,high,short_line,0.05,4,79,muß.,"Der Krieg, und zwar der gröste der je gewesen ist, ist seinen Austroch"
10,542,break,high,rubric,0.9,71,79,20000 Würtemberger und Badener - Nach Italien gehen 120000 O,"H. Marat iſt ſchön im Italien eingedrungen, und der Pabſt nach Boulang"
10,565,break,high,short_line,0.12,9,76,unstribt.,Gott erhalte Ewr Durchlaucht nur gesund - Freude wird
10,566,break,high,short_line+column,0.69,53,76,Gott erhalte Ewr Durchlaucht nur gesund - Freude wird,er Ihnen auch noch gewähren
10,567,break,high,short_line+column,0.35,27,76,er Ihnen auch noch gewähren,In Ehrfurcht ersterben
10,568,break,high,short_line+column,0.29,22,76,In Ehrfurcht ersterben,Euer Durchlaucht
10,569,break,high,short_line+column,0.21,16,76,Euer Durchlaucht,treu gehorſamſtern Diener
10,570,break,high,short_line+column,0.33,25,76,treu gehorſamſtern Diener,Wien d. 4ten Merz 1815
10,571,break,high,short_line+column,0.29,22,76,Wien d. 4ten Merz 1815,v Triebenfeld
11,575,break,high,short_line+column,0.26,23,88,durchlauchtigster Fürst,Gnädigster Fürst und Herr!
11,576,break,high,short_line,0.29,26,88,Gnädigster Fürst und Herr!,Nach einer reſten Verſicherung wird Ewr Durchlaucht Angelegenheit noch
11,585,break,high,short_line,0.16,14,88,werden müsten.,Er halten Ewr Durchlaucht jährlich nach dem ersten Plan 10 oder 12 Rth
11,590,break,high,short_line,0.12,11,88,Ende gehen.,Die Sachen auf den Congrif wechseln hier wie Ebbe und Fluth — bald ruh
11,598,run,review,short_line,0.17,15,88,Ich glaube aber,"daß wenn er sehen wird daß es unserem Herren ein wahrer Ernst ist, den"
11,631,break,high,short_line+column,0.52,44,84,Ärger und Hunger umkommen soll? Ich ersterte,Ewr Durchlaucht
11,632,break,high,short_line+column,0.18,15,84,Ewr Durchlaucht,ganz gehorſamſter treuer Diener
11,633,break,high,short_line+column,0.37,31,84,ganz gehorſamſter treuer Diener,Wein den 6ten Mer¬
11,635,break,high,short_line,0.06,5,84,1815.,v Triebenfeld
12,651,break,high,short_line,0.54,31,57,kan man hier nichts ausrichten.,wann man kein Geld hat.
12,652,break,high,short_line,0.4,23,57,wann man kein Geld hat.,Übrigens sorgen Sie ja daß f. August die Vollmacht schnell
12,663,break,high,rubric,1.16,66,57,Um die 200 Th. bitte ich nun dringend — Es geht sonst schlec,4. Merz 1815
13,667,break,high,short_line,0.43,32,75,Für Ein Durchlaucht ganz allein.,"Die Sache ist nicht zum Besten ad Protocollum gegeben, wichtigen Dinge"
13,681,run,review,short_line,0.31,23,75,Nun meine Angelegenheit,"An die Papiere ist viel verlohren, sie stehn hier schrecklich niedrig "
13,689,run,review,short_line,0.64,48,75,1100 fl Papier Geld werden bald aufgefreßen sein,Morgen läßt der Fürst mir 100 tt. Vorschuß geben womit ich Barben eini
13,695,run,review,short_line,0.51,38,75,allein helfen können und helfen sollen,Erbarmen ſich Ewr Durchlaucht und ſchulen ja die 200 tℓ.
13,698,break,high,rubric+short_line,0.59,44,75,Blanquets - ich dritte selbige wohl brauchen,21. Febr.
13,714,break,high,short_line,0.17,19,112,ich viel schreiben.,"Der gute Barbe hat einen andern Translator aufgefunden, der überſezt d"
14,744,break,high,short_line+column,0.18,16,90,treu ergebenster,Brzeg d 21ten Febr. 1815
14,745,break,high,short_line+column,0.27,24,90,Brzeg d 21ten Febr. 1815,Eberhard
14,746,break,high,short_line+column,0.09,8,90,Eberhard,NB Ich halte dies für einen Schreckſchuß - den hier ist nichts
14,747,break,high,short_line+column,0.69,62,90,NB Ich halte dies für einen Schreckſchuß - den hier ist nich,verfügt. Es müßen Lügen sind
14,748,run,review,short_line,0.31,28,90,verfügt. Es müßen Lügen sind,Wenn es nur möglich wäre daß Eberhard schnell herkommen könnte ich
15,754,break,high,short_line+column,0.28,23,82,Durchlauchtigster Fürst,Gnädigster Herr
15,755,run,review,short_line,0.18,15,82,Gnädigster Herr,"Ich ward ahngeſtern befragt, was es mit die 100000 Rthl für eine Bewan"
15,763,run,review,short_line,0.45,37,82,und des baldigsten zu bewendstelligen,Eine Durchlaucht Sache liegt immer noch bey dem Geheimen Staatstrath S
15,769,run,review,short_line,0.4,33,82,von Berlin aus kundgemacht werden,"Was die Pohl Angelegenheiten betrift, ſoll ich jezt die Urkunden und i"
15,773,run,review,short_line,0.67,55,82,"Proſnu liegen, große Widerwärtigkeiten unterworfen ſein",Ich habe zum Glück die ſämtliche Acten hier – aber es iſt alles Pohl v
15,790,break,high,short_line+column,0.45,29,64,Respectsvoll verharre ich als,Ewr Durchlaucht
15,791,break,high,short_line+column,0.23,15,64,Ewr Durchlaucht,"Ich liegen heute sehr kranck,"
15,792,break,high,short_line+column,0.45,29,64,"Ich liegen heute sehr kranck,",retten Sie nicht so muß ich unterliegen.
15,793,break,high,short_line,0.62,40,64,retten Sie nicht so muß ich unterliegen.,auch unterstüzzen Sie ja meine
15,794,break,high,short_line+column,0.47,30,64,auch unterstüzzen Sie ja meine,Tochter —
15,795,break,high,short_line+column,0.14,9,64,Tochter —,ganz gehorſamer Diener
15,796,break,high,short_line+column,0.34,22,64,ganz gehorſamer Diener,Wien den 19ten Febr.
15,797,break,high,short_line,0.31,20,64,Wien den 19ten Febr.,1815
15,798,break,high,short_line+column,0.06,4,64,1815,v Triebenfeld
15,824,break,high,rubric+short_line,0.26,18,68,nen Gottes willen.,ad 19. Febr. 1815
16,828,break,high,short_line+column,0.28,23,82,Durchlauchtigster Fürst,Gnädigster Herr!
16,829,break,high,short_line,0.2,16,82,Gnädigster Herr!,"Die Nachrichten oder Sagen über die Abreisen der Monarchen von hier, w"
16,843,run,review,short_line,0.47,38,82,ob er auch dem König noch treffe würde,dH. B v Thule trug mir auf ihm Eine Durchlaucht ehrerbietigst zu empfe
16,848,run,review,short_line,0.56,46,82,daß wir vor den 22ten nicht von hier abgehen -,"Mit Fürst Hardenberg habe ich noch nicht gesprochen, und ihm dies vort"
16,864,break,high,short_line,0.23,19,83,mildert werden kan.,Die Kosten Güter Angelegenheit macht auch viel Sorge man weiß gar nich
16,871,break,high,short_line+column,0.07,6,83,Ja nun,In tiefster Hochachtung ersterbe
16,872,break,high,short_line+column,0.39,32,83,In tiefster Hochachtung ersterbe,Ew Durchlaucht
16,873,break,high,short_line+column,0.17,14,83,Ew Durchlaucht,treu gehorsamer Diener
16,874,break,high,short_line+column,0.27,22,83,treu gehorsamer Diener,Wien den 15ten April
16,875,break,high,short_line+column,0.24,20,83,Wien den 15ten April,1815.
16,876,break,high,short_line,0.06,5,83,1815.,v Triebenfeld
17,880,break,high,rubric+short_line,0.35,17,49,P[ro]. M[emoria].,26. Juni 1812
17,931,run,review,short_line,0.71,35,49,das Geld ad Sakham. Überhaupt müßen,den Schlawenschitz und aus der Quette ein gärstiges
17,953,break,high,short_line,0.5,26,52,viel endet sonst tragisch.,Jezt bitte ich mir um schnelle Antwort wegen Sobotten
17,960,break,high,short_line,0.33,17,52,verlohren gesagt.,"Mitt Weigel am Sobottendorff wird, wan Sie das wollen"
18,974,break,high,short_line+column,0.5,23,46,Durchlauchtigster Fürst,Gnädigster Fürst und Herr!
18,975,break,high,short_line,0.57,26,46,Gnädigster Fürst und Herr!,Ich lag in heftigsten Fieber als Ewer Durchlaucht
18,988,break,high,short_line,0.61,28,46,Invaliden Casse zu bezahlen.,Mich schleppte mann in Berlin Collé ich mußte
18,1006,break,high,short_line,0.69,31,45,hat beigetrieben werden sollen.,Um nun dieſe Sache zu facilitiren und nicht erſt
18,1010,break,high,short_line,0.36,16,45,laucht erklären.,daß Sie gemäs des Decreti des Frauen äsischen
18,1023,break,high,short_line,0.59,25,42,Intressen befriedigt sey.,Da nun das vorgeschoßene Capital nebst Zinsen
18,1031,break,high,short_line,0.64,27,42,fonds bezahlt machen könne.,Sie räumten zu dem Ende ein daß diese
18,1041,break,high,short_line,0.58,19,32,oder erwischen kan.,Es ist dies das einzige Rettungsmittel
18,1051,break,high,short_line+column,0.37,12,32,Ich ersterbe,Ewr Durchlaucht
18,1052,break,high,short_line+column,0.46,15,32,Ewr Durchlaucht,wann ich das Instrument
18,1053,run,review,short_line,0.71,23,32,wann ich das Instrument,nicht den 15 höchstens 16ten früh
18,1055,break,high,short_line+column,0.71,23,32,hier habe so geht alles,zu Ende und fält über
18,1056,break,high,short_line+column,0.65,21,32,zu Ende und fält über,haufen
18,1057,break,high,short_line+column,0.18,6,32,haufen,Unterthäniger drei
18,1058,break,high,short_line+column,0.55,18,32,Unterthäniger drei,Blizanow
18,1059,break,high,short_line+column,0.25,8,32,Blizanow,den 6ten July 1812
18,1060,break,high,short_line+column,0.55,18,32,den 6ten July 1812,v Triebenfeld
19,1064,break,high,rubric+short_line,0.16,7,44,Anhang.,2) 6. Juli 1812
19,1075,break,high,short_line,0.61,27,44,Mann zu befriediget werden?,Es kann indes dies auch nur jezt glücken weil
19,1121,break,high,short_line,0.62,26,42,Schweiner genommen werden.,Laßen Sie mein Fürst ſich aber nicht wieder
20,1151,run,review,short_line,0.34,27,80,Unterthänigstes Pro Memoria,Aus das beigebogene Schreiben des Geheimen Raths Amelang werden Ewr Ho
20,1155,break,high,short_line,0.52,42,80,die Valuta nur in Papieren gegeben worden.,dieser Schlag trift hart und erregt einen Verlust von 1500 Rthl in der
20,1164,run,review,short_line,0.34,27,80,Ewr Durchlaucht geschrieben,"daß er sich in dieser Sache mit dem van des Lahr vergleichen solle, da"
20,1167,break,high,short_line,0.51,41,80,bis Ende Aprill abgeliefert bieten solle.,"Ich hoffe der Weiterer wird die offerte annehmen, ich schreibe desfals"
20,1169,break,high,short_line,0.48,39,80,Durchlaucht an den von der Lahr selbst.,"Die 1000 Rthl will ich aufbringen und abführen, damit es Ewer Durchlau"
20,1199,break,high,short_line,0.4,29,73,ich nie mehr redreisiren kan.,"Der Genkinit v Zastrow, der sich dermalen hier auf seine Güter aufhält"
20,1205,break,high,short_line,0.21,15,73,lohrn gegangen.,Schade nur daß dieser ehrliche Mann für diese Wahrheit im steten Scat 
20,1207,break,high,short_line,0.18,13,73,liegen müßen.,Wann ich Ewr Durchlaucht Nachricht erhalte um hier alles darnach orden
20,1210,break,high,short_line,0.52,38,73,im Schlawenschitz persönlich zu Füßen.,Kontop
20,1211,break,high,short_line+column,0.08,6,73,Kontop,den 7ten März 1809 v Triebenfeld
20,1214,break,high,short_line+column,0.28,23,83,Abschaft des Briefes an,den Banquier Herrn
20,1215,break,high,short_line+column,0.22,18,83,den Banquier Herrn,van der Lahr
20,1216,break,high,short_line+column,0.14,12,83,van der Lahr,Hochwohlgeben in Berlin
20,1217,break,high,short_line+column,0.28,23,83,Hochwohlgeben in Berlin,Hochwohlgeborner Herr
20,1218,break,high,short_line+column,0.25,21,83,Hochwohlgeborner Herr,Hochgeehrter Herr Banquier
20,1219,run,review,short_line,0.31,26,83,Hochgeehrter Herr Banquier,Ewr Hochwohlgeborn haben die Güte gehabt in meinen Angelegenheiten dH.
20,1236,break,high,short_line+column,0.65,54,83,"ansehen, und dafür mit wahrer Hochschäzzung stets sein",wie in Blanqueth zu Ho¬
20,1238,break,high,short_line+column,0.04,3,83,Ewr,Schlawenschitz den 7ten März
20,1239,break,high,short_line+column,0.34,28,83,Schlawenschitz den 7ten März,1809
21,1243,run,review,short_line,0.35,25,70,Gnädigster Fürst und Herr,Heute Mittag habe ich die Eſtaſtitel an die Genuenſter Fürſt geſchickt
21,1246,break,high,short_line,0.26,18,70,es befordern ſoll.,"Eben war Plugo Ledeli hier - Alles ist, Wenn dann dem es untern linke "
21,1253,run,review,short_line,0.44,31,70,Aber ich habe noch einen Plan —,"Königl. Constantin den sollen Sie für Ihre mir gegebene Flinten, die C"
21,1264,break,high,short_line,0.06,4,70,kan.,Wäldigewährten mit Jurid: Gefälle p p 6000 Rthl —
21,1265,run,review,short_line,0.7,49,70,Wäldigewährten mit Jurid: Gefälle p p 6000 Rthl —,Aber jezt hohlt noch alles der T. für alte Reſte - von Johanne ab bin 
21,1270,break,high,short_line,0.67,47,70,ichs aber mein Credit ist noch zu sehr gelähmt.,Die Urkunde und Geld sehe ich von nun an jeden Augenblick entgegen. — 
21,1272,break,high,short_line,0.62,44,70,wardt hier darauf ein mit Stenger abzugehen.,Antworten Sie schnell Gnädigster Fürst Ihren Ihnen
21,1273,break,high,short_line+column,0.71,50,70,Antworten Sie schnell Gnädigster Fürst Ihren Ihnen,laßen Sie doch Lombardin wenigstens
21,1274,break,high,short_line+column,0.5,35,70,laßen Sie doch Lombardin wenigstens,200 Rthl Münze an meine Töchter ein Breslau
21,1275,break,high,short_line+column,0.61,43,70,200 Rthl Münze an meine Töchter ein Breslau,Kontop
21,1276,break,high,short_line+column,0.09,6,70,Kontop,den 18ten Febr Abends um 11 Uhr geben.
21,1277,break,high,short_line,0.54,38,70,den 18ten Febr Abends um 11 Uhr geben.,1810.
21,1278,break,high,short_line,0.07,5,70,1810.,Wahrhaft treu anhängenden Freund
21,1279,break,high,short_line+column,0.45,32,70,Wahrhaft treu anhängenden Freund,und unterthänigen der
21,1280,break,high,short_line+column,0.3,21,70,und unterthänigen der,v Triebenfeld
22,1284,break,high,short_line+column,0.37,23,62,Durchlauchtigſter Fürſt,Gnädigster Fürst und Herr!
22,1285,break,high,short_line,0.42,26,62,Gnädigster Fürst und Herr!,Nachdem ich durch eine Mittelmäßige Verpachtung und durch reellen Beis
22,1289,break,high,short_line,0.45,28,62,ich bald hergestelt zu sein.,"So schmerzhaft meine Krankheit inzwischen ist, so will ich doch Euer d"
22,1293,break,high,salutation+short_line,0.23,14,62,werden würden.,Gnädigster Fürst und Herr! ich habe schon in Ihrer Sache seit geraumer
22,1299,break,high,short_line,0.35,22,62,Durchlaucht verbürgte.,Aus treuer Anhänglichkeit wolte ich Ihnen die Crediosa nicht sagen
22,1309,run,review,short_line,0.65,44,68,und im Pohlen fähre ich ihm wider Meierowitz,Dieser Kerl ist der Schliefen noch 6000 Rthl Kauf Geld von Wittow schu
22,1320,run,review,short_line,0.47,32,68,Sie der Leiden schon genug haben,"Die Sache mit der zuvatirten Casse macht mich ganz Sümerlos, Sie koste"
22,1326,break,high,short_line,0.49,33,68,die Sache zu verschleppen suchen.,"Nach Pohlen zu gehen, dagegen stränkt sich mein Ehrgebühl – Ihnen"
22,1336,run,review,short_line,0.58,39,67,in der Landes Sprache verhandelt wird -,"Theuer laßen sich aber diese Männer bezahlen, – ich treibe es auf und"
22,1343,break,high,short_line,0.61,41,67,was keiner in der Welt weiter thun würde.,Hier sind wieder 3 Decrete ich thue was möglich ist - Mit Gewalt aber
22,1347,break,high,short_line,0.27,18,67,dulden und harren.,Honrichs und Honrichs Ankunft sehe ich hier täglich entgegen. Stenger
22,1370,run,review,short_line,0.66,43,65,Inneres - den das habe ich nicht verdient -,könte ich in der Eil 500 Rthl Münze auftreiben um sie die Kinder eilig
22,1373,run,review,short_line,0.35,23,65,1000 Rthl dafür wieder_,Diese Nachricht macht mich schier wüthend. – Ich habe alles gerne und 
22,1381,run,review,short_line,0.18,12,65,alle Gränzen,Gott erhalte Ewr Durchlaucht und laße es Ihnen wohler ergehen als mir
22,1383,break,high,short_line+column,0.49,32,65,dieser Schlag trift mich zu hart,M[?] ersterbe
22,1384,break,high,short_line+column,0.2,13,65,M[?] ersterbe,Ewr Durchlaucht
22,1385,break,high,short_line+column,0.23,15,65,Ewr Durchlaucht,Kontop. 27ten Januar
22,1386,break,high,short_line+column,0.31,20,65,Kontop. 27ten Januar,1810
22,1387,break,high,short_line+column,0.06,4,65,1810,unterthäniger Diener
22,1388,break,high,short_line+column,0.31,20,65,unterthäniger Diener,v Triebenfeld
23,1392,break,high,short_line+column,0.43,23,53,Durchlauchtigster Fürst,Gnädigſter Fürſt und Herr!
