key,pad,page,transcribed,proposed,decision,why
4a8fecf6,oe1bu9454-072a,2,Westante,Restante,y,"""Restanten"" = arrears-debtors, who would be summoned before the court for payment"
68eb3a5c,oe1bu9454-072b,2,Sprührecht,spruchreif,n,'ripe for decision' fits 'and will be taken up as soon as he returns'.
bfd3b078,oe1bu9454-072b,2,geneigt,geeinigt,n,'sich geeinigt' = 'has come to terms'; 'geneigt' (inclined) does not govern 'mit ... und appellirt nicht weiter' as well.
b819fa3a,oe1bu9454-118a,2,Emplette,"Emplette (Fr. emplette, purchase)",n,"French loan-word; retained in sense ""purchase/acquisition"", not a proper noun."
babff7eb,oe1bu9454-072b,2,Herr Durchlaucht,Ewr Durchlaucht,n,The salary was promised by the Prince; 'Herr' is likely a miscopy of the honorific.
c08038fc,oe1bu9454-072a,3,ihr Zeit in der Flucht,ihr Heil in der Flucht,n,"the fixed idiom is ""sein Heil in der Flucht suchen"""
c7cab36c,oe1bu9454-072a,3,Rustischen Kaysern,Russischen Kayser,n,"""Russian Emperor""; single-letter confusion"
19cbd5c3,oe1bu9454-072a,3,wie mir beiwohnt,wie mir beiwohnt = wie mir bewußt,n,"""as is known to me"" / ""so far as I recollect"""
54815cb3,oe1bu9454-072b,3,verspricht gewesen,versprechend gewesen,n,Participle mismatch.
a82ac6ee,oe1bu9454-072b,4,1872,1812,n,The letter is dated 1812 in the edition's heading; the transcribed year is a century out. NOT altered in the translation.
a58474df,oe1bu9454-072b,4,gerufen,geruhen,n,"'geruhen Durchlaucht ... zu senden' = 'may Your Serene Highness deign to send', which would make the postscript construe."
d0d2c464,oe1bu9454-072f,4,diese hause Land Plagen,diese hausenden Landplagen,n,"""hausend"" = raging/ravaging fits the sense."
b47ff8a9,oe1bu9454-072f,4,Lübl.,"löbl. (löbliche) - ironic ""worthy""",n,Common abbreviation; the irony suits the passage.
6d0dd19f,oe1bu9454-179a,4,Ratis,Raten,n,"Latinate ending for German ""Raten"" (instalments)."
649dc7d3,oe1bu9454-072a,4,stets 300000 Rthl werth,stets = wenigstens,n,"""at least 300000 Rthl worth"" would fit the argument that the estates are clear of debt"
406fb50b,oe1bu9454-179a,5,690000,698000,n,Page 3 and the memorial give 698000; the figure is carried across as written.
e33dfb04,oe1bu9454-179a,6,er geechtlich,gerichtlich,@13002 er geechtlich -> gerichtlich,"Matches the parallel ""gerichtlich oder außergerichtlich"" earlier in the sentence."
3846b57f,oe1bu9454-001,1,Begrif jezt schreib beendiget,Congreß jezt schier beendiget,@24 schreib -> schier,"The subject under discussion is the Congress; ""schier beendiget"" = almost concluded."
a372b040,oe1bu9454-001,1,hängern,hungern,n,"""nicht fernerhin hungern"" (no longer go hungry) suits the writer's plea of destitution."
08d539dc,oe1bu9454-001,1,Krieges und Forst Rath,Kriegs- und Forstrath,n,Orthographic variant of the addressee's title; retained as transcribed.
9c7e35d5,oe1bu9454-002,1,durch wenn,durch wen,y,'by whom' - single-letter doubling
313bbbbe,oe1bu9454-002,1,Brüger OC Gerichts,Brieger Ober-Landes-Gerichts,@98 Brüger -> Bruger,cf. 'Bruger Ober Landes Gericht' on page 4; the town may be Brieg
89886880,oe1bu9454-002,3,Narken,Nur kan,n,restores a finite verb ('he can only dispose of...'); N/Nur and k/rk confusions in Kurrent
006eaaa1,oe1bu9454-002,3,stehen,sehen,y,"'man wird nun sehen, was Wellington erklären wird' is idiomatic; st/s confusion"
2e8d2ff8,oe1bu9454-002,4,Justiz Ministerzen,Justiz-Ministerium,n,the addressee list otherwise consists of courts and ministries
60d5486d,oe1bu9454-003,2,3) Hans Muß er,3tens muß er,@250 Hans -> 3tens,"the enumeration elsewhere runs 1, 2, 4tens; ""Hans"" stands where an ordinal belongs"
e3917c54,oe1bu9454-003,2,Kenntnis vom Hütten fache,Kenntnis vom Hüttenfache,n,"read as the ironworks/smelting branch, consistent with the Hohenlohe works"
d230244b,oe1bu9454-003,2,über Schlawen etwas gehen sol,über Schlawentzitz gehen soll,n,the Hohenlohe Upper Silesian seat; but the transcription is left as written
ca24a997,oe1bu9454-004,2,schaden Euer Durchlaucht mit noch,schulden Euer Durchlaucht mir noch,@319 schaden Euer Durchlaucht mit noch -> schulden Euer Durchlaucht mir noch,the following clause about needing more blank forms requires 'owe me'.
537d1b43,oe1bu9454-005,2,In tiefer Ehrfurcht,In tiefster Ehrfurcht,n,The standing closing formula in this correspondence is superlative.
cfc2b51d,oe1bu9454-006,1,diese Itali besten,diese Italiäner,n,"""besten"" may be part of ""am besten hinderlich""; reading uncertain"
6327fd15,oe1bu9454-006,2,Leichen ähnlich,Leichenähnlich,n,compound: 'corpse-like'
d3ef7b8e,oe1bu9454-006,2,Mann combenirte,man combinirte,n,'one combined/put together the circumstances'
fe73e1c5,oe1bu9454-006,2,ala bonheuri,à la bonne heure,n,French idiom 'well and good'
67ac29b3,oe1bu9454-006,3,St.,Stägemann,n,abbreviation resumes the person named on pp. 1–2; left unexpanded in the translation
f3c1dd97,oe1bu9454-007,1,beruht worden bin,beehrt worden bin,y,"""mit einer Antwort beehrt werden"" is the standard formula."
31c416f8,oe1bu9454-007,2,Drehl aucht,Durchlaucht,@471 Drehl aucht -> Durchlaucht,"Standard honorific, misread from Kurrent."
b4159ea3,oe1bu9454-007,2,Mit den tiefſten Ehrfurcht,Mit der tiefsten Ehrfurcht,n,Gender/case slip in the transcription or the original.
154ccbc5,oe1bu9454-008,1,Seine und Glieder mögte mir erlahmen,Sehnen und Glieder möchten mir erlahmen,@494 Seine -> Sehnen,"""Sehnen und Glieder"" is a fixed pair; ""Seine"" has no sense here."
a92ce208,oe1bu9454-008,1,in Ehrentwillen,um Ihrentwillen,@511 Ehrentwillen -> Ihrentwillen,The same phrase occurs correctly earlier in the letter; single-letter confusion.
db5aa460,oe1bu9454-010,1,Ulre,Ulm,n,"The Austrian head-quarters of 1815 on the road to France; Ulm is the plausible reading, but the name is left as transcribed."
d8972027,oe1bu9454-010,1,Roſten,Russen,n,A contingent of 200000 in the Swiss sector fits the Russians.
53ce357e,oe1bu9454-010,1,Bauern,Bayern,n,"The surrounding list names German states, not peasants."
49e017ef,oe1bu9454-010,1,H. Marat,Murat,n,"Joachim Murat invaded Italy in March 1815; ""Marat"" is likely a Kurrent misreading."
4cd9d258,oe1bu9454-010,1,Boulanga,Bologna,n,Pius VII fled from Rome toward Bologna/Genoa in March 1815.
acb22b79,oe1bu9454-010,1,Parteigieſen,Partheygänger,n,"""Parteigänger"" = partisans/irregulars, which suits the Spanish frontier."
668f0bb5,oe1bu9454-010,2,Burge Zeit,kurze Zeit,n,"""Gedulden Sie sich nur noch kurze Zeit"" is the standard idiom."
bec7ceaf,oe1bu9454-011,1,reſten,festen,y,'nach einer festen Versicherung' is the standing idiom; Kurrent long-s and f are easily confused.
1c51ac6a,oe1bu9454-011,1,Churp.,Churpfälzische(n),n,"Abbreviation with a point; probably 'Churpfälzisch' (Electoral Palatine), but not settled."
95feb55a,oe1bu9454-011,1,10 oder 12 Rthl,10 oder 12 000 Rthl,n,The parallel clause names 6000 Rthl; the figure as written is implausibly small. Figure left exactly as transcribed.
ee3e7e16,oe1bu9454-012,1,200 Th.,200 Ducaten,n,"The opening figure is in ducats, the closing in 'Th.' (Thaler). The discrepancy is left standing as transcribed."
f9dc032f,oe1bu9454-012,1,f. August,Fürst August,n,'f.' expanded as the abbreviation for Fürst; left as 'Prince August' in the translation but the expansion is conjectural — it could equally be 'Fräulein' or a s
b72a3d1d,oe1bu9454-013,2,gewesen,genesen,n,'von meiner Krankheit genesen' = recovered from my illness; w/n confusion in Kurrent.
b8044f31,oe1bu9454-013,2,wieder,bieder,n,'ist bieder und gut' is the idiomatic pairing; w/b single-letter confusion.
1e971a51,oe1bu9454-014,1,Cremne,unresolved,n,Appears to be a personal name or office corrupted; possibly related to 'Cosmar' named just below.
5a2a9edb,oe1bu9454-015,1,260 fl.,260 gulden,n,"""fl."" is the florin/gulden abbreviation; left as written per the numeral rule."
27879f66,oe1bu9454-016,1,wechseln wir Elte und Fluth,wechseln wie Ebbe und Fluth,@829 wir Elte -> wie Ebbe,'wie Ebbe und Fluth' ('like ebb and flood') is the standing idiom; 'wir'/'wie' and 'Elte'/'Ebbe' are both Kurrent minim confusions
07c1539f,oe1bu9454-016,2,sehr brauß,sehr breit,n,"'sich breit machen' = to make oneself broad, to swagger, fits Murat's advance"
81ecf0ce,oe1bu9454-016,2,Die Wüßen,Die Rußen,n,'die Russen' fits 'rege zu werden' and the marching detail that follows
9b21c2db,oe1bu9454-016,2,eilen Herrn herbey,eilen Heere herbey,n,'Heere' (armies) rather than 'Herrn' (gentlemen) fits the military context
ed205270,oe1bu9454-016,2,eine fürchterliche Armen,eine fürchterliche Armee,n,'Armee'; the same spelling 'Armen' appears on p.1
dc92fde3,oe1bu9454-016,2,treu gehorsamer Diener,treu gehorsamster Diener,n,the standing formula; left as transcribed
9e52473e,oe1bu9454-017,1,da muß alles am Tage,da muß alles am Tage kommen,n,"Missing infinitive; standard idiom ""an den Tag kommen""."
d408924b,oe1bu9454-017,3,jährt mir,jährlich nur,n,"Kurrent abbreviation of ""jährlich"" plus ""nur"" would produce this; fits the sense of a fixed maintenance."
26418934,oe1bu9454-017,4,schleicht,schlecht,y,"Single-letter confusion; ""es ist schlecht, dies unter die Menschen zu bringen""."
f71e6aa2,oe1bu9454-017,4,Gevaliden Casse,Invaliden-Casse,@962 Gevaliden -> Invaliden,"The 50,000 Rthl first mortgage of the Invalids' Fund is a fixed item in this correspondence; ""Jnvaliden Casse"" appears correctly a few lines above."
c89c28fe,oe1bu9454-018,2,Frauen äsischen,Französischen,@1010 Frauen äsischen -> Französischen,"Word-split error in transcription; the same phrase appears correctly on page 3 as ""Französische General Gouvernement""."
025fcca8,oe1bu9454-018,2,Jemas dieses Decreti,Gemäs dieses Decreti,@998 Jemas -> Gemäs,"""Gemäs"" (in accordance with) is used by the writer elsewhere (""gemäs des Decreti"") in this same letter."
73bbf700,oe1bu9454-018,3,Remtonschen,zu remittiren,n,"The construction requires an infinitive after ""befohlen"" (ordered to be remitted out of the estate revenues)."
5a1e8284,oe1bu9454-018,3,wieder in Ansehung,weder in Ansehung,n,"The correlative ""noch"" later in the clause requires ""weder ... noch""."
6f1815b8,oe1bu9454-019,1,18 Jahr hinſt es Pacht,18 Jahr hindurch das Pacht,n,'hinſt es' may be a misreading of 'hindurch das' or 'hinaus die'; conjectural only.
8012ca71,oe1bu9454-019,2,Kopojer,unidentified place-name,n,No such place is established; possibly a corrupted Polish toponym.
63d51f79,oe1bu9454-020,1,von der Lahn,von der Lahr,n,The creditor is otherwise consistently 'van/von der Lahr'; 'Lahn' is probably an r/n confusion. Left as transcribed.
8f97a758,oe1bu9454-020,2,Royadler,unresolved,n,"Place name of a river landing (Ablade); not identifiable, possibly corrupt."
66386442,oe1bu9454-020,3,Eysen Werden,Eisenwerken,@1230 Werden -> Werken,The writer owns ironworks; 'Werden' is likely a misreading of 'Werken'.
2cbd03e6,oe1bu9454-021,1,Genuenſter Fürſt,Gnädigſten Fürſt,n,"Possibly a garbled honorific, though the syntax remains doubtful."
16a4112c,oe1bu9454-021,1,Dorothechen,Dorotheechen (Dorothea),n,"Diminutive of a personal name, plausibly Dorothea von Kurland, in the Talleyrand context."
2a080700,oe1bu9454-022,1,im Stellen fort,im Stillen fort,y,"Single-letter confusion e/i in Kurrent; ""im Stillen"" (quietly) is the standard collocation."
67419e83,oe1bu9454-022,3,ich Liebe den zu sehr,ich liebe Sie zu sehr,n,Fits the deference structure and the preceding clause about the Prince's complaints.
589e6b7d,oe1bu9454-022,4,M[?],Mit tiefster Ehrfurcht,n,"Standard formula preceding ""ersterbe""; only the initial M is legible."
53fafc1a,oe1bu9454-023,2,Criminal Rath,Criminalrath,n,Title of Stenger; spelling retained as transcribed.
f0c9f480,oe1bu9454-023,4,Landemien,Laudemien,y,"Laudemium, the feudal transfer fee, is the term of art in this context."
e74fd6d0,oe1bu9454-024,2,Säupreußen,Südpreußen,y,Page 1 has 'Südpreußischen'; 'Säupreußen' is almost certainly a d/u misreading.
50fb672d,oe1bu9454-024,2,besten,bestehen,y,The list requires 'bestehen ... aus' (consist of).
3473ce87,oe1bu9454-024,2,hinter Pexen in der Werthe,hinter Pesen (Posen) an der Warthe,@1558 in der Werthe -> an der Warthe,Zagorowo lies on the Warthe beyond Posen; both toponyms look corrupt.
5904eea2,oe1bu9454-024,2,12 Aus dorf und Vorwerk Trąbczin,22,@1581 12 -> 22,Sequence position between 21 and 23.
741324d1,oe1bu9454-024,4,Summa 366000,346000 (sum of the listed items),n,The listed items add to 346000 as transcribed; the discrepancy may lie in an item or in the total. Figure left as written.
2a856463,oe1bu9454-025,2,90000 fl,90000 Rthl (or a different sum),n,"A gulden figure is unexpected among South Prussian mortgage sums; figure and unit both doubtful, but left as written."
6c6c8f1f,oe1bu9454-026,1,Kontopper,"Kontopper (Kontopp, Kr. Grünberg)",n,place-name form retained; noted only because the same estate appears on p.3 as 'Mondopper'
0ea82d16,oe1bu9454-026,3,Kolzige,"Kolziger (Kolzig, Niederlausitz)",n,adjectival form of a place-name; retained as transcribed
671453f4,oe1bu9454-027,1,ihm im Erklärung gebeten,ihn um Erklärung gebeten,@1783 im -> um,"Standard construction ""jemanden um Erklärung bitten""."
00e02b54,oe1bu9454-027,2,Joarnari,Tournure,n,"""der Sache eine solche Tournure geben"" (to give the affair such a turn) is a standard period idiom and matches the letter-shapes loosely."
cd5acce2,oe1bu9454-027,2,beanten Wgbl,unterthänigst gehorsamster,n,Position in the subscription suggests a garbled deference formula.
a8f913d5,oe1bu9454-028,1,Trąbczyner,Wrąbczyner,n,Page 3 has both 'Trąbczyn' and 'Wrąbczyn'; the transcription may be inconsistent for one and the same place. Not folded into the translation.
6fc4a832,oe1bu9454-028,4,"id,",ich,y,Standard opening of the closing formula 'ich ersterbe in tiefster Ehrfurcht'.
286978a1,oe1bu9454-028,4,erthänigster.,unterthänigster Diener,@1899 erthänigster. -> unterthänigster.,The standard closing; the prefix and the noun appear to have dropped out of the transcription.
ff4e03cd,oe1bu9454-029,1,die Ehr hatte,die Ehre hatte,n,"Apparent truncation of ""Ehre""."
658734c3,oe1bu9454-029,1,wor,worden bin,n,Page ends mid-word; the letter's text is cut off at the page break.
4d838c22,oe1bu9454-029,2,die Ehren haben,die Ehre haben,n,"Plural ""Ehren"" is anomalous in this formula."
ac26a296,oe1bu9454-030,1,5000 rtt,5000 Rthl,n,"""rtt"" appears to be an abbreviation of Reichsthaler, but is carried across as written."
63ae655b,oe1bu9454-030,2,Stamen,Namen,y,"""daß er es auf seinem Namen eintragen laßen"" — Kurrent N/St confusion."
8ad27a11,oe1bu9454-030,2,lyöchst,Höchstdieselben,@1986 lyöchst -> Höchst,"Court style: ""welche Höchstdieselben an Eysenhardt cedirt haben""."
44089a83,oe1bu9454-030,3,geriren,remittiren,n,"""die Anweisung an mich zu remittiren"" (to remit the order to me) fits the following clause about returning it."
d2cda915,oe1bu9454-030,3,von der Besitz,von dem Besitzer,n,Agreement and sense require a personal holder of the pledged mortgage.
bcc4fcff,oe1bu9454-032,1,Ein Durchlaucht Casse,Ew. Durchlaucht Casse,n,'Ein' recurs where 'Ew.' is required; a systematic Kurrent misreading
7db01cb9,oe1bu9454-032,2,Ertoffetten Gelder,Estaffetten-Gelder,n,express-courier charges are a recurring expense item in these letters
5ef01f01,oe1bu9454-032,2,es danken mögen,es denken mögen,n,'than Your Serene Highness may think' is the idiomatic phrase
fc9322c8,oe1bu9454-033,1,Es giebt 2tes Bruder,Es giebt einen Bruch (a breach),n,"Speculative only; ""Bruder"" may be a misreading of ""Bruch"", which would suit ""wounds your and my credit""."
be840e26,oe1bu9454-033,1,die 50000 mk in Courant,die 50000 Rthl in Courant,n,"The Invalids' Fund's first mortgage is elsewhere 50,000 Rthl; ""mk"" (Mark) is anachronistic for 1808. Figure and unit left exactly as transcribed."
bbe40554,oe1bu9454-034,1,das sieht traurig aus,das sieht traurig aus,n,"no emendation needed; noted only because ""darst"" in the same sentence suggests a hasty hand"
3c48bff8,oe1bu9454-035,1,H. Hoß Rath Meyer,H. Hofrath Meyer,@2392 Hoß Rath -> Hofrath,'Hoß Rath' is likely a misreading of Hofrath (Court Councillor); not folded into the translation.
e1b7a824,oe1bu9454-035,2,Baugmer von der Laar,Bankier von der Laar,n,'Baugmer' may be a misreading of 'Banquier/Bankier'; the later mentions give only 'von der Laar'.
52ce312b,oe1bu9454-035,2,Die Zinsen Betrugen von 2 Jahren 5000 Rthl und die Kosten 125,figure unverified,n,"Page 3 gives 3125 Rthl outstanding against 2000 Rthl in hand, which does not reconcile with 5000 + 125; figures carried across unaltered as required."
6c06c7f9,oe1bu9454-035,3,treu gehorsamster Diener,treu gehorsamster Diener,n,Not the standard 'gehorsamster Diener' of the termbase; rendered literally as 'faithful and most obedient servant' to preserve the added 'treu'.
8c261274,oe1bu9454-036,1,seyn Mann,seyn kann,y,Kurrent M/k confusion; 'kann' is required by the syntax.
8b3fdcf4,oe1bu9454-036,3,die höchstung,die höchst unvermuthete Nachricht (continues on p. 4),n,The catchword runs into 'unvermiethete Nachricht' at the head of p. 4.
e101679d,oe1bu9454-036,4,wie sehr ich mich beinahe,wie sehr ich mich bemühe,n,'bemühe' (strive) fits 'Ihren Wünschen zu entsprechen'.
4831a9e4,oe1bu9454-036,5,zu handen zu spätten,zu Handen zu stellen,n,'zu Handen stellen' = to place in someone's hands; 'spätten' looks like a misreading of 'stellen'.
48b1dcf5,oe1bu9454-036,7,nichten verehel. Schreiben,neuesten verehrlichen Schreiben,n,'verehel.' should be 'verehrlichen' (cf. p. 1 'verehrliche Zuschrifft'); 'nichten' then most likely 'neuesten'.
9cb48f74,oe1bu9454-037,1,gezzigen,jetzigen,y,Kurrent j/g and tz/zz confusions; 'jetzigen und vorigen Einlagen' is the expected phrase.
14742a96,oe1bu9454-037,1,der Band zuruckgeben,der Banck zurückgeben,@2787 Band -> Banck,The Bank is named two sentences earlier; d/ck confusion in Kurrent.
5e8db713,oe1bu9454-037,2,bei ich,bin ich,y,n/i confusion in Kurrent; the standing formula is 'Mit unbegränzter Verehrung bin ich Ewr Durchlaucht ...'
9a753b74,oe1bu9454-038,1,Märck Landschafts Obligationen,Märkische Landschafts-Obligationen,n,Probably the Brandenburg (Märkische) Landschaft obligations; name left as transcribed.
e0d822ea,oe1bu9454-038,1,treuer Knecht,treuester Knecht,n,"The standing formula in this correspondence is the superlative; here rendered as the positive ""faithful servant"" since the German lacks the superlative."
ace0633d,oe1bu9454-039,1,wohin ist jezt gehen soll,wohin ich jetzt gehen soll,@2865 ist -> ich,'ist' for 'ich' is a common single-letter Kurrent confusion; the clause otherwise lacks a subject.
72e9890b,oe1bu9454-039,1,IV.,a place-name abbreviation,n,'IV.' in the position of a place of departure is more likely a misread abbreviation than a Roman numeral.
be7b7fe4,oe1bu9454-039,1,die Kosten zu berichtigen,—,n,"No emendation needed; noted only because 'berichtigen' here means 'to settle/discharge' (a payment), not 'to correct'."
7f20606f,oe1bu9454-040,1,unvergreiflicher,unvorgreiflicher,n,standing deferential formula in such letters
6cb37203,oe1bu9454-040,1,nur auf jedem höchst dero Schreiben,nicht nur auf jedes Höchstdero Schreiben,@2887 nur -> nicht nur,restores the nicht nur ... sondern auch correlative and the accusative
97414229,oe1bu9454-040,1,2500 Rthl,250000 Rthl,n,the same mortgage is given as 250000 Rthl twice above
fd010e34,oe1bu9454-040,2,Es weis nicht,Ich weiß nicht,n,"first person is required by ""ich ... nehmen soll"""
a1338a97,oe1bu9454-040,2,wunder zu bezahlen,wieder zu bezahlen,n,repayment in 6 months is the commercial sense
b8b63414,oe1bu9454-040,2,erstorben,ersterbe,n,standing closing formula in the first person present
f0094fc4,oe1bu9454-040,2,treu gehorsamster Diener,treu gehorsamster Diener (as written),n,"not in the termbase list; rendered ""most faithful and most obedient servant"" as a compound of treuester Knecht/gehorsamster Diener conventions"
803d4494,oe1bu9454-041,1,Exfurth,Erfurth,y,Erfurth is named correctly earlier in the same page; Ex-/Er- is a common Kurrent misreading.
6208194c,oe1bu9454-041,1,Töchte,Dichten,y,Fixed idiom 'Dichten und Trachten'.
a1ca641c,oe1bu9454-041,2,Taschine,Taschen,y,'seine Taschen zu füllen' — to fill his pockets; the sentence continues on page 3 with 'zu hätten'.
47f124be,oe1bu9454-041,3,Alantones,Adjutanten,n,'the present adjutants of the King (d. K.)' would suit 'would take fright at Your appearance'; wholly conjectural.
0421ba1e,oe1bu9454-041,4,Jagt,Jetzt,n,'Jetzt muß er dafür was thun' — 'now he must do something for it' — fits the sentence; Kurrent J/z shapes are close.
adbddf58,oe1bu9454-041,4,Schnomchi,Schnomchi (unresolved),n,Not identifiable; possibly a corrupted Polish or Silesian surname. No confident reading offered.
1dce75f2,oe1bu9454-041,4,Traben,Traben (unresolved),n,May be a misreading of an estate name in the Kalisz district; not settled.
c99c4818,oe1bu9454-042,1,des Er Gen. Gouvernements,des Gen. Gouvernements,n,"""Er"" appears to be a stray reading, perhaps from a struck-through word."
65b22d71,oe1bu9454-042,2,Proxentia,Provision,n,"Broker's commission would fit alongside ""pro Cente""."
08c788e5,oe1bu9454-042,5,Euer durch lang,Ewr Durchlaucht,n,Evidently the honorific broken up by the transcriber.
814310ee,oe1bu9454-042,5,Invalich Casse,Invaliden-Casse,n,Recurring institution elsewhere in the correspondence.
3ea5b006,oe1bu9454-042,7,Frau Fürstin Sacken,Fürstin von der Osten-Sacken,n,"A plausible identification, but the name is left as transcribed."
da821c5d,oe1bu9454-043,1,Urtel,Urtheil,n,Period spelling variant; 'Urtel' is attested but may be a transcription shortening.
685c80d1,oe1bu9454-043,1,sehr gekauft,sehr gehäuft,y,"Costs accumulate, they are not bought; k/h and f/ft confusion is common in Kurrent."
ad2fa9e3,oe1bu9454-043,1,Kling-Convent,klingender Münze,n,'in Kling-Convent' is opaque; 'in klingender Münze' (in hard coin) fits the contrast with 'Papiere' exactly. Not folded into the translation.
0670255c,oe1bu9454-043,2,Sch ersterbe,Ich ersterbe,y,I/S confusion in Kurrent initial capitals.
68e8ab68,oe1bu9454-043,2,sehr auf diesen Mann zu zahlen,sehr auf diesen Mann zu zählen,n,The idiom requires zählen (to count on); as transcribed it reads 'to pay'.
0802873e,oe1bu9454-044,2,ſchmete,schnellste,n,"""so schnell als möglich"" is the expected formula and ""allerschnellste"" occurs below."
9ef307fd,oe1bu9454-045,1,Decretenster Instantz,Decret erster Instantz,@3353 Decretenster -> Decret erster,"Fits the later reference to ""das erste Urtel"" and the appeal to the 2nd instance."
ca596e36,oe1bu9454-045,1,den Irrthung behaben,den Irrthum beheben,n,Standard idiom; single-letter and ending confusions in Kurrent.
8f72245b,oe1bu9454-045,2,600 Entner Eysen,600 Centner Eisen,@3377 Entner -> Centner,Same as above.
0a45c262,oe1bu9454-045,2,das jezt über alle Maaßen wäre ist,das jezt über alle Maaßen rar ist,n,"Kurrent ""rar"" can be misread as ""wäre""; yields idiomatic sense."
9a953f5f,oe1bu9454-045,2,die 100 f dor,die 100 Friedrichsd'or,n,"""f dor"" is the usual abbreviation for Friedrichsd'or."
0e866f30,oe1bu9454-045,3,Justburg: Hawich,Justizbürgermeister Hawich,n,"""Justburg:"" is an abbreviation with a colon; the office is justice-burgomaster."
