letter,page,line,next_line,mark,head,tail,joined,decision,confidence,reason,crosses_page,joined_corpus,joined_dwds,head_corpus,head_dwds,tail_corpus,tail_dwds,context
17,2,904,905,¬,nie,aber,nieaber,split,high,joined form unattested; both halves are real words,False,0,0,85,10569364,753,125399229,Auf dand und Gewinn zählte ich schon nie¬ || aber Brandmärder laße ich mich für alle
17,3,928,929,¬,herrlei,sagen,herrleisagen,join,high,head is not a word on its own,False,0,0,0,0,101,,"mer aufgerieben, und solche junge herrlei¬ || sagen in Berlin ich bereichen mich hier un"
18,1,979,980,¬,sah,wer,sahwer,split,high,joined form unattested; both halves are real words,False,0,0,6,45491248,26,26528628,Instrument nebst der Vollmacht sah¬ || wer hat Euer durchlaucht den den Rath gege
19,1,1072,1073,¬,einrä,Es,einräEs,join,high,head is not a word on its own,False,0,0,0,8,1323,,e frey und kein Creditor darf nicht einrä¬ || Es ist ein großer Pacht aber woher soll de
19,2,1102,1103,¬,Ko,gesandt,Kogesandt,split,high,joined form unattested; both halves are real words,False,0,0,2,100660,32,1853857,"ieder nach Kalisz und nach Kopojer und Ko¬ || gesandt, die verfluchten Lorenz freße, vol"
19,3,1123,1124,-,vorge,ſchrieben,vorgeſchrieben,join,high,joined form occurs elsewhere in this corpus,False,3,,1,,5,,ein anderes Instrument als ich vorge- || ſchrieben habe – den ſonſt fährt alles zum
19,4,1134,1135,¬,verheu,rathet,verheurathet,join,high,head is not a word on its own,False,0,33,0,6,1,,verwebt und so zu sagen verheu¬ || rathet wir müßen abhobet nun schon
20,1,1175,1176,¬,Schnee,von,Schneevon,split,high,joined form unattested; both halves are real words,False,0,21,6,1452172,1870,406476590,Hecker und des Justiz Burgemeister Schnee¬ || von Neufeln mit seinen Actuarius den 163 R
20,1,1179,1180,¬,bewerk,stelligen,bewerkstelligen,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,," aber muß ich, wan Ewer dies nicht bewerk¬ || stelligen, wie ein Vogel auf dem Dache und"
20,2,1186,1187,¬,Be,sitzungen,Besitzungen,join,high,joined form occurs elsewhere in this corpus,False,5,,3,,1,,"hlaucht in Ansehung Ihrer Pohlinischen Be¬ || sitzungen einige Ruhe gewähren wird, und z"
20,3,1221,1222,-,Capi,tal,Capital,join,high,joined form occurs elsewhere in this corpus,False,69,,0,,3,,benfeld hat Ewr darauf 2260 Rthl noz Capi- || tal und 153 Rthl Zinsen bereits zurück gez
20,3,1236,1237,¬,Ho,Ewr,HoEwr,split,high,joined form unattested; both halves are real words,False,0,0,1,83318,1122,110,wie in Blanqueth zu Ho¬ || Ewr
21,1,1256,1257,-,Haupt,Ersaz,HauptErsaz,split,high,joined form unattested; both halves are real words,False,0,0,36,311581,4,14,tlich und in Pohlen ſuchten wir den Haupt- || Ersaz - die alte Ziege hurt noch im Paris 
22,1,1297,1298,-,Ewie,Durchlaucht,EwieDurchlaucht,split,high,joined form unattested; both halves are real words,False,0,0,1,263,1511,6227,"n dafür leiden muß, daß ich mich für Ewie- || Durchlaucht verbürgte."
22,2,1306,1307,-,mehr,der,mehrder,split,high,joined form unattested; both halves are real words,False,0,42,271,85557928,3841,0,r verlangt von er reussirt noch viel mehr- || der Schliefensche Prozeß wird in Breslau w
22,2,1311,1312,¬,er,halten,erhalten,join,high,joined form occurs elsewhere in this corpus,False,298,,1274,,63,,"500 Rthl jährl. Erbzinse von Wittow zu er¬ || halten, die Mucerowitz nun schon durch 4 J"
22,3,1338,1339,¬,sehr,das,sehrdas,split,high,joined form unattested; both halves are real words,False,0,0,422,50499648,1288,0," so schon das Herz, ich Liebe den zu sehr¬ || das Geld was Lombardini gegeben hat und je"
22,4,1378,1379,¬,weh,O,wehO,split,high,joined form unattested; both halves are real words,False,0,32,4,0,65,890942,das thut zu weh¬ || O hatte ich nur bald 500 Rthl für meine ar
23,2,1435,1436,¬,wieder,Köckritz,wiederKöckritz,split,high,joined form unattested; both halves are real words,False,0,0,318,58799421,38,6175,"er, den sieht mich nie hier zuwend wieder¬ || Köckritz hat einiges für mich gethan, ich "
23,2,1438,1439,-,Kinder,Ich,KinderIch,split,high,joined form unattested; both halves are real words,False,0,7,50,34135953,4451,255244905, habe nichts und hängere mit meine Kinder- || Ich habe zwar meine Güter verpachtet aber 
23,3,1456,1457,¬,abgefü,Ich,abgefüIch,join,high,head is not a word on its own,False,0,0,0,18,4451,,"ilen Geld 25 Rthl Curraut betragen abgefü¬ || Ich habe bisher in stillen alles ertrage, "
23,3,1470,1471,-,Durch,laucht,Durchlaucht,join,high,joined form occurs elsewhere in this corpus,False,1511,,519,,40,, Pohl Aufpaſſer zu befreien und Ewr Durch- || laucht wieder zu dem Revenuen und unsäglic
23,3,1471,1472,¬,ver,halten,verhalten,join,high,"joined form attested in DWDS (1,416,004 hits)",False,0,1416004,3,,63,,venuen und unsäglich großen Resten zu ver¬ || halten.
23,3,1474,1475,-,hungera,mit,hungeramit,join,high,head is not a word on its own,False,0,0,0,0,1423,,"tzt habe ich nichts mehr, sondern hungera- || mit meine Kinder selbst - Bleibt nun die S"
23,4,1502,1503,¬,ge,ſchreiben,geſchreiben,split,high,joined form unattested; both halves are real words,False,0,0,22,215421,325,2335726, Honrichs hat seit mehren Wochen nicht ge¬ || ſchreiben ohnerachtet ich Bothen über Both
23,4,1509,1510,¬,ver,spricht,verspricht,join,high,joined form occurs elsewhere in this corpus,False,22,,3,,15,,"m Ansehen Er wird sehr gebraucht - Er ver¬ || spricht schnell alles zu vindiziren, aber "
24,1,1533,1534,¬,gänz,lich,gänzlich,join,high,joined form occurs elsewhere in this corpus,False,29,,0,,14,," zu bringen, und mein Schulden Wesen gänz¬ || lich zu arangiren. Es kommt indes darauf a"
24,1,1534,1535,¬,mög,lich,möglich,join,high,joined form occurs elsewhere in this corpus,False,79,,0,,14,,"giren. Es kommt indes darauf an ob es mög¬ || lich ist, eine Summa von 100000 Rthl, nehm"
24,1,1543,1544,¬,Ge,schäft,Geschäft,join,high,joined form occurs elsewhere in this corpus,False,38,,22,,2,,oren ersuche ich ergebenst sich dieses Ge¬ || schäft zu unterziehen und bey Ihrer großen
24,1,1550,1551,¬,An,stand,Anstand,join,high,joined form occurs elsewhere in this corpus,False,5,,992,,19,,n 5 pt. sobald die Sache versteht ohne An¬ || stand auszuzahlen
24,3,1597,1598,¬,ausge,mittelt,ausgemittelt,join,high,joined form occurs elsewhere in this corpus,False,6,,0,,1,,ission geprüft und folgendergestalt ausge¬ || mittelt.
25,1,1641,1642,¬,aran,delete,arandelete,split,high,joined form unattested; both halves are real words,False,0,0,1,6354,1,9450,he ist nun zwar abgemacht und völlig aran¬ || (delete)
25,2,1670,1671,¬,einge,löset,eingelöset,join,high,joined form occurs elsewhere in this corpus,False,1,,1,,1,,ypotheque von 250000 Rthl besonders einge¬ || löset und Caesirt werden
25,2,1674,1675,¬,et,was,etwas,join,high,joined form occurs elsewhere in this corpus,False,99,,11,,607,,"ht es bey dem Kriegerischen Ereignißen et¬ || was Langsam, inzwischen schreibt mir geste"
26,2,1724,1725,¬,Schweiner,sche,Schweinersche,join,high,joined form occurs elsewhere in this corpus,False,3,,5,,5,,"ehen müßen, daß er mir auf eine Schweiner¬ || sche Hypotheque von 20000 Rthl Geld giebt."
27,2,1791,1792,¬,Auf,tragen,Auftragen,join,high,"joined form attested in DWDS (96,646 hits)",False,0,96646,1039,,33,,ch Memel und vieleicht von dorten mit Auf¬ || tragen nach Petersburg oder wo ich den Kay
27,2,1804,1805,¬,ge,lingen,gelingen,join,high,joined form occurs elsewhere in this corpus,False,14,,22,,1,,"fen sollen, und ich glaube, daß es nur ge¬ || lingen wird Mittel aufzufinden, wodurch de"
28,1,1825,1826,-,Appella,tions,Appellations,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,2,,"durch einen Commissarium des Appella- || tions Gerichts zu Kalisz, nehmlich den"
28,1,1827,1828,¬,abge,nommen,abgenommen,join,high,joined form occurs elsewhere in this corpus,False,8,,0,,4,,"Appellations Richter v Lipski abge¬ || nommen, und dem General Mandatario"
28,1,1829,1830,¬,Pru,simska,Prusimska,join,high,joined form occurs elsewhere in this corpus,False,11,,0,,1,,der Frau v Dąbska gebohrnen v Pru¬ || simska Canonico v Jezierski über-
28,1,1830,1831,-,über,geben,übergeben,join,high,joined form occurs elsewhere in this corpus,False,20,,301,,195,,simska Canonico v Jezierski über- || geben sind.
28,1,1835,1836,-,kön,nen,können,join,high,joined form occurs elsewhere in this corpus,False,315,,1,,9,,"ich habe dabey nichts weiter thun kön- || nen, als daß ich gegen die Abnahme"
28,1,1837,1838,¬,pro,testirte,protestirte,split,high,joined form unattested; both halves are real words,False,0,11,42,11507756,1,0,"durch ein eingereichtes Vorstellen pro¬ || testirte und auch darauf beriefe, daß"
28,1,1839,1840,¬,Jnn,halt,Jnnhalt,join,high,head is not a word on its own,False,0,0,0,94,6,,diese Handlung gegen den klaren Jnn¬ || halt des Tilsiter Friedens laufe
28,2,1842,1843,¬,Ma,jestät,Majestät,join,high,joined form occurs elsewhere in this corpus,False,81,,1,,3,,nach welchem alle Verpflichtungen Sr Ma¬ || jestät des Königs von Preußen auf recht
28,2,1850,1851,¬,Pro,testation,Protestation,join,high,joined form occurs elsewhere in this corpus,False,4,,42,,1,,zt habe ich Ew Durchlaucht durch eine Pro¬ || testation alle übrigen Rechte an diese
28,2,1854,1855,¬,be,sten,besten,join,high,joined form occurs elsewhere in this corpus,False,37,,3,,10,,". Hochfürstliche Durchlaucht werden am be¬ || sten wißen was jezt zu thun ist, denn bey"
28,2,1857,1858,¬,Mit,gliedern,Mitgliedern,join,high,"joined form attested in DWDS (12,034,956 hits)",False,0,12034956,1423,,2,," wohl nichts auszurichten, da einigen Mit¬ || gliedern Güther confiscirt sind, also"
28,2,1860,1861,¬,Durch,laucht,Durchlaucht,join,high,joined form occurs elsewhere in this corpus,False,1511,,519,,40,,Demnächst sind Ew. Hochfürstliche Durch¬ || laucht wieder in D. Prozeße verwickelt
28,2,1863,1864,¬,Jwan,ski,Jwanski,join,high,head is not a word on its own,False,0,7,0,632,1,,In dem ersten fordert der Probst Jwan¬ || ski und Kuchary den Decem von Swięcia¬
28,2,1864,1865,¬,Swięcia,cie,Swięciacie,split,high,joined form unattested; both halves are real words,False,0,0,16,0,2,15212,"ski und Kuchary den Decem von Swięcia¬ || cie, welchen Prozeß er zu Preußischer"
28,3,1869,1870,¬,Mar,tin,Martin,join,high,joined form occurs elsewhere in this corpus,False,1,,2,,3,,m zweiten Prozeße fordert der Pächter Mar¬ || tin v. Otocki als Cessionarius des Constan
28,3,1874,1875,¬,Entschädi,gang,Entschädigang,join,high,head is not a word on its own,False,0,0,0,66,12,,"Pacht Contract, circa 7000 Rthl Entschädi¬ || gang, weil derselbe nicht erfüllt worden."
28,3,1876,1877,¬,die,serhalb,dieserhalb,join,high,"joined form attested in DWDS (1,430 hits)",False,0,1430,4570,,2,,l ich in Erfahrung bringen können ist die¬ || serhalb in Breslau ein gerichtlicher Vergl
28,3,1887,1888,¬,Je,manden,Jemanden,join,high,joined form occurs elsewhere in this corpus,False,17,,25,,1,,"Durchlaucht in diesen Sachen Vollmacht Je¬ || manden zu ertheilen geruheten, ich war"
28,3,1890,1892,-,Interodie,ist,Interodieist,split,review,crosses a page break - check by hand,True,0,0,0,0,1734,835493046,"Ew. Hochfürstliche Durchlaucht Interodie- || ist mein größtes Augenmerk, und traurig"
29,1,1910,1911,¬,unter,stehen,unterstehen,join,high,joined form occurs elsewhere in this corpus,False,2,,132,,92,,"n wieder in Breslau seyn werden, so unter¬ || stehen mich hiermit gehorsamst zu bitten, "
29,1,1913,1914,¬,wor,Febr,worFebr,split,high,joined form unattested; both halves are real words,False,0,0,0,7879,36,3250,gsten Herrn Durchlaucht darum gefragt wor¬ || 10. Febr 1808
30,1,1936,1937,-,Bewe,chung,Bewechung,split,high,joined form unattested; both halves are real words,False,0,12,0,1061,2,34079," wenn ich nicht unter Franz-strenger Bewe- || chung arretirt gewesen wäre. Ein Schiksal,"
30,1,1937,1938,¬,ver,dient,verdient,join,high,joined form occurs elsewhere in this corpus,False,8,,3,,5,,"wesen wäre. Ein Schiksal, was ich nie ver¬ || dient habe, und was meine bürgerliche Exis"
30,1,1946,1947,¬,Bevollmäch,tigter,Bevollmächtigter,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,1,,"n sollten, bis ich als General Bevollmäch¬ || tigter des Herrn Fürsten zu Hohenlohe, säm"
30,1,1950,1951,¬,bey,nahe,beynahe,join,high,joined form occurs elsewhere in this corpus,False,2,,453,,17,,hande über diesen Vorfall hätten mich bey¬ || nahe zu den verzweifelsten Entschluß gebra
30,1,1951,1952,¬,rük,ständigen,rükständigen,join,high,joined form occurs elsewhere in this corpus,False,7,,3,,2,,"erzweifelsten Entschluß gebracht, die rük¬ || ständigen Zinsen betrügen von 2 Jahren 500"
30,1,1956,1957,-,Schuld,ner,Schuldner,join,high,joined form occurs elsewhere in this corpus,False,4,,69,,4,," allen Juristen, daß ich nicht der Schuld- || ner sey. Ich zeigte das gerichtliche Instr"
31,1,2025,2026,¬,ge,ward,geward,split,high,joined form unattested; both halves are real words,False,0,12,22,215421,39,81164,zum Spott der Menschen zu werden - ich ge¬ || ward hierher gesandt und solte von hier na
31,1,2030,2031,¬,vor,pfändete,vorpfändete,split,high,joined form unattested; both halves are real words,False,0,5,295,105411485,1,28296,"mir dadurch helfen kan, indem ich die vor¬ || pfändete Hypotheque von 10000 Rthl zurück "
31,2,2062,2063,¬,Ge,neral,General,join,high,joined form occurs elsewhere in this corpus,False,110,,22,,3,, den Honrichs und fordern lezteren die Ge¬ || neral Vollmacht sogleich mit dem Bemerken 
31,3,2087,2088,¬,be,durf,bedurf,split,high,joined form unattested; both halves are real words,False,0,35,3,105863,2,177,daß es nur der Cederung der Hypotheque be¬ || durf und daß es sehr leicht hierin zu hand
31,3,2104,2105,¬,wer,Verzeihen,werVerzeihen,split,high,joined form unattested; both halves are real words,False,0,0,26,26528628,12,15956,r Kerl von Prussiemski längst bezahlt wer¬ || Verzeihen Ewr Durchlaucht mein etwas verwo
31,3,2110,2111,¬,da,rauf,darauf,join,high,joined form occurs elsewhere in this corpus,False,134,,447,,5,,Schein - wie mir durcht hat [G?]lenck da¬ || rauf den Harckt[?] und Consorten eintragen
32,1,2174,2175,¬,Hypo,thequen,Hypothequen,join,high,joined form occurs elsewhere in this corpus,False,12,,0,,1,,"en auf die beträchtliche Güther laut Hypo¬ || thequen Schein, und Gerichtliche Instrumen"
32,1,2180,2181,¬,über,nommen,übernommen,join,high,joined form occurs elsewhere in this corpus,False,9,,301,,4,,aliden Casse so der Jude Oppenheimer über¬ || nommen und nicht bezalt hat. 50000
32,2,2194,2195,-,Inoati,den,Inoatiden,join,high,head is not a word on its own,False,0,0,0,0,2760,,er Jede wieder den 50000 xx an der Inoati- || den Casse noch einweiger der Zinsen bezalt
32,2,2196,2197,-,Durch,laucht,Durchlaucht,join,high,joined form occurs elsewhere in this corpus,False,1511,,519,,40,," es fallen die 11,200 weg und Eier. Durch- || laucht zu gute."
32,2,2204,2205,-,Hypothequen,Scheine,HypothequenScheine,split,high,joined form unattested; both halves are real words,False,0,0,12,0,12,412364,bogenen Gerichtl: attestirten Hypothequen- || Scheine besagen zwar im Anfang noch die Ca
32,2,2215,2216,-,Durch,laucht,Durchlaucht,join,high,joined form occurs elsewhere in this corpus,False,1511,,519,,40,,lten können - weil sie jezt mit Ew. Durch- || laucht selbst sich in Correspondenz gesezt
32,2,2226,2227,-,durch,laucht,durchlaucht,join,high,joined form occurs elsewhere in this corpus,False,1511,,519,,40,," Geschichte betrifft, so haben Eure durch- || laucht eben so wie ich geantwortet, indes "
32,3,2229,2230,-,abge,laufen,abgelaufen,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,10,, bestimmte Edictions Zeit auch schon abge- || laufen war. Schlüsslich muß ich hier noch 
32,3,2235,2236,-,allerbal,digste,allerbaldigste,join,high,joined form occurs elsewhere in this corpus,False,3,,0,,1,,"ehen so geruhen, der wir auf das allerbal- || digste zu Schreiben, damit ich mich hier a"
32,3,2237,2238,-,Ver,ehrung,Verehrung,join,high,joined form occurs elsewhere in this corpus,False,30,,3,,3,,rdru's mache. Mit der unbegränzsteter Ver- || ehrung und der tiefsten Hochachtung verhar
33,1,2253,2254,¬,gera,des,gerades,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,740,,rwundet. Ich hoffe das Geld auf mein gera¬ || des Angesicht zu erhalten. Nur bitte ich E
33,1,2254,2255,¬,so,gleich,sogleich,join,high,joined form occurs elsewhere in this corpus,False,111,,1515,,140,,"h Ewr Durchlaucht die Banko Acarnisung so¬ || gleich von Eysenhardt zurük zu fordern, ic"
33,1,2261,2262,¬,Haupt,Epratum,HauptEpratum,split,high,joined form unattested; both halves are real words,False,0,0,36,311581,1,0,"n und wenn sogleich dem Oppenheimer Haupt¬ || Epratum Eysenhardt und Gott weis, wenn bez"
33,1,2266,2267,¬,ge,saglich,gesaglich,split,high,joined form unattested; both halves are real words,False,0,0,22,215421,1,0,"n darüber einen Vorwurf machen, es ist ge¬ || saglich. Ich beziehe mich in allen auf wei"
33,2,2271,2272,¬,ge,anders,geanders,split,high,joined form unattested; both halves are real words,False,0,0,22,215421,24,8428237,"ißen hat sich die Sache dort un nichts ge¬ || anders, es sey der daß Ihre neu creirten u"
33,2,2272,2273,¬,bevoll,mächtigen,bevollmächtigen,join,high,"joined form attested in DWDS (20,353 hits)",False,0,20353,0,,2,,eu creirten und vielfachen General bevoll¬ || mächtigen Cancellaria gemacht - 8 Gott gnä
33,2,2274,2275,¬,Schulten,Sie,SchultenSie,split,high,joined form unattested; both halves are real words,False,0,0,0,461440,1174,295670803,neral Vollmachten und Blanquette Schulten¬ || Sie hierüber nicht und bilden sich nicht a
33,2,2284,2285,¬,ge,winnen,gewinnen,join,high,joined form occurs elsewhere in this corpus,False,32,,22,,1,, Gedanken gehabt dabey nicht denier zu ge¬ || winnen. Es war blos der Stolz sie aus alle
33,2,2285,2286,¬,Tre,Klauen,TreKlauen,split,high,joined form unattested; both halves are real words,False,0,0,0,14414,7,54434,len trinigen Laagen und besonders aus Tre¬ || Klauen der Weihnrer gerettet zu haben. O. 
33,3,2320,2321,¬,abman,Können,abmanKönnen,join,high,head is not a word on its own,False,0,0,0,8,315,,"chreiben, die Antwort will ich noch abman¬ || Können sie das Gold auf der Art dort erhal"
34,1,2344,2345,¬,ir,gend,irgend,join,high,joined form occurs elsewhere in this corpus,False,35,,1,,1,," erhielt ich weder Geld, Nachweis oder ir¬ || gend eine Sylbe Rechnung – da Schmid todt "
34,1,2351,2352,¬,jähr,Kosten,jährKosten,split,high,joined form unattested; both halves are real words,False,0,0,0,110267,129,8412310,"n solcher Bude sage, der Mensch wird jähr¬ || 10000 Kosten - der Bösmacht kostet sie bis"
34,2,2369,2370,¬,Ge,sundung,Gesundung,join,high,"joined form attested in DWDS (41,487 hits)",False,0,41487,22,,1,, die Berichtigung deßen viel zu meiner Ge¬ || sundung beiträgt. – Noch mehr aber wenn ic
34,2,2379,2380,¬,drey,dies,dreydies,split,high,joined form unattested; both halves are real words,False,0,0,17,3604,560,0,dimirte Peccen gesandt - ich habe in drey¬ || dies ist der Mädte Brief - alles wie es is
34,2,2381,2382,¬,ge,schildert,geschildert,join,high,joined form occurs elsewhere in this corpus,False,6,,22,,2,," Ewr Durchlaucht Nutzen geschehen kan, ge¬ || schildert - auf allen diesen aber habe ich"
35,1,2392,2393,¬,Ame,lang,Amelang,join,high,joined form occurs elsewhere in this corpus,False,48,,1,,10,,"H. Hofrath Meyer an den Hn. Geh. Rath Ame¬ || lang erlaßen haben, haben mein zumres ersc"
35,1,2393,2394,¬,ver,wehrt,verwehrt,join,high,"joined form attested in DWDS (324,313 hits)",False,0,324313,3,,5,,"d meine Cörperliche Leiden dergestalt ver¬ || wehrt, daß ich meine völlige Herstellung w"
35,1,2397,2398,¬,acklärk,noch,acklärknoch,join,high,head is not a word on its own,False,0,0,0,0,881,,"r 3/4 Jahren für Null und nichtig acklärk¬ || noch heute Summen an, und H. p. Meyer sagt"
35,1,2407,2408,¬,zurückhal,würden,zurückhalwürden,join,high,head is not a word on its own,False,0,0,0,36,113,,l bezahlt und er seinen Wechsel zurückhal¬ || würden. Ich meldetere Durchlaucht diesen u
35,2,2416,2417,¬,Arme,lang,Armelang,split,high,joined form unattested; both halves are real words,False,0,9,17,1382252,10,24651117,"chreibt Herr, Meyer an den Gehl Rath Arme¬ || lang in einen drohenden Styl und weiset au"
35,2,2417,2418,¬,un,Der,unDer,join,high,"joined form attested in DWDS (36,875 hits)",False,0,36875,5,,3841,,"herzigkeit für mich - 1600 Rthl an die un¬ || Der G. Rath, meinen Gelde durch den Königl"
35,2,2418,2419,¬,ver,pfändet,verpfändet,join,high,joined form occurs elsewhere in this corpus,False,4,,3,,1,," Band an der ich dafür mein Eigenthum ver¬ || pfändet, und meinen Wechsel gegeben auszah"
35,2,2420,2421,¬,An,Gelegenheiten,AnGelegenheiten,join,high,joined form occurs elsewhere in this corpus,False,56,,992,,2,,ch werde von Marcul in den wichtigsten An¬ || Gelegenheiten hierher geschickt - ich soll
35,2,2429,2430,¬,aufzu,treiben,aufzutreiben,join,high,joined form occurs elsewhere in this corpus,False,9,,0,,16,,edliche Minister v Zastrow das Geld aufzu¬ || treiben und zu bezahlen. Die Zinsen Betrug
35,2,2436,2437,¬,aufge,treiben,aufgetreiben,split,high,joined form unattested; both halves are real words,False,0,0,1,1931,16,2403048,l und hölle aufgeboten nun das Geld aufge¬ || treiben. Es ist aber bey diesen schweren Z
