letter,pad,page,kind,german,english,note,ruling
10,010,1,transcription-note,Lauf Geddel,Laufzettel,The postal term for a tracer slip sent after missing letters; Kurrent -zettel/-geddel confusion.,
10,010,1,transcription-note,Austroch,Ausbruch,"""seinem Ausbruch nahe"" = near its outbreak, the standard idiom.",
10,010,1,transcription-note,Ulre,Ulm,"The Austrian head-quarters of 1815 on the road to France; Ulm is the plausible reading, but the name is left as transcribed.",
10,010,1,transcription-note,Roſten,Russen,A contingent of 200000 in the Swiss sector fits the Russians.,
10,010,1,transcription-note,Bauern,Bayern,"The surrounding list names German states, not peasants.",
10,010,1,transcription-note,H. Marat,Murat,"Joachim Murat invaded Italy in March 1815; ""Marat"" is likely a Kurrent misreading.",
10,010,1,transcription-note,Boulanga,Bologna,Pius VII fled from Rome toward Bologna/Genoa in March 1815.,
10,010,1,transcription-note,Parteigieſen,Partheygänger,"""Parteigänger"" = partisans/irregulars, which suits the Spanish frontier.",
10,010,2,transcription-note,Burge Zeit,kurze Zeit,"""Gedulden Sie sich nur noch kurze Zeit"" is the standard idiom.",
10,010,2,transcription-note,bis kendiren,suspendiren,"""sein Urtheil suspendiren"" is the period formula.",
10,010,2,transcription-note,unstribt,umstrickt,"""umstricken"" = to ensnare, fits the complaint about confusion and bad counsel.",
10,010,2,transcription-note,Wüstemberger,Würtemberger,"Page 1 has ""Würtemberger""; the same state is presumably meant.",
10,010,2,transcription-note,treu gehorſamſtern Diener,treu gehorsamster Diener,Inflectional slip in the closing formula.,
11,011,1,transcription-note,reſten,festen,'nach einer festen Versicherung' is the standing idiom; Kurrent long-s and f are easily confused.,
11,011,1,transcription-note,Werhard,Eberhard,'Eberhardt' appears twice elsewhere in the same letter for evidently the same person.,
11,011,1,transcription-note,Congret / Congrif,Congreß,Two divergent misreadings of the same word within four lines.,
11,011,1,transcription-note,Preaburg,Preßburg,The King of Saxony was in fact detained at Pressburg in 1815.,
11,011,1,transcription-note,Taellerand,Talleyrand,Phonetic Kurrent rendering of the French name.,
11,011,1,transcription-note,hinwelischen,himmlischen,'himmlische Heerschaaren' (heavenly hosts) is the fixed phrase.,
11,011,1,transcription-note,ruhnet man sich,rühmet man sich,'sich rühmen' (to boast/flatter oneself) fits the construction.,
11,011,2,transcription-note,Curischen,Curländischen,Possibly Courland creditors; alternatively a family name.,
11,011,2,transcription-note,Wein den 6ten Mer 1815,Wien den 6ten Merz 1815,"Place of writing is given as Wien in the heading; 'Mer' is probably März, but the transcription is left.",
11,011,2,transcription-note,ein Tage lehme,ein Tagelöhner,'day-labourer' fits the sense of living worse than the lowest paid.,
11,011,2,transcription-note,Chattgoria,Kategorie,Phonetic Kurrent spelling.,
11,011,2,transcription-note,Ich ersterte,Ich ersterbe,The standing closing formula; rendered accordingly but flagged.,
11,011,3,transcription-note,Neuperg,Neipperg,Count Adam Albert von Neipperg was in Austrian service at this date; the Kurrent forms are close.,
11,011,3,transcription-note,Truppen marschwein,Truppen marschieren,'marschwein' is not a word; 'marschiren' fits.,
12,012,1,transcription-note,Ohrin gen,Öhringen,Öhringen was a principal Hohenlohe residence; the split spacing suggests a transcription break rather than a distinct place name. Not folded into the translatio,
12,012,1,transcription-note,Mediclichirten,Mediatisirten,"In an 1815 Congress context, 'die Mediatisirten' (the mediatised princes, of whom the Hohenlohe were one) fits the sense of being 'recognised as Estates' by the",
12,012,1,transcription-note,Schurubars,Schnurrbart,'obgleich er jetzt einen Schnurrbart trägt' ('although he now wears a moustache') is idiomatic and fits a dismissive remark about a young gentleman. Purely conj,
12,012,1,transcription-note,Projut,Projekt,'Projekt zur Constitution' is the expected phrase; 'Projut' is not a German word.,
12,012,1,transcription-note,Bläme,Blame / Blâme,"The French loanword 'Blâme' (blame, disgrace) is the likely reading; rendered as 'disgrace'.",
12,012,1,transcription-note,200 Th.,200 Ducaten,"The opening figure is in ducats, the closing in 'Th.' (Thaler). The discrepancy is left standing as transcribed.",
13,013,1,transcription-note,Majoram,Majorat (entailed estate),'für Majorat erklären' (to declare an entailed estate) is the standard legal phrase; 'Majoram' looks like a t/m misreading.,
13,013,1,transcription-note,Schlawenschr,Schlawentzitz,A Hohenlohe Upper Silesian estate frequently paired with Koschentin; the transcribed form is not a place name.,
13,013,1,transcription-note,xzer,Kreuzer (xr.),Standard abbreviation for Kreuzer in Viennese currency.,
13,013,1,transcription-note,schulen,schicken,Context (send me the money) favours 'schicken'; 'schulden' (owe) would reverse the sense.,
13,013,2,transcription-note,Flanzler,Kanzler (Chancellor),Kurrent K read as Fl; the Chancellor (Hardenberg) fits the Vienna context.,
13,013,2,transcription-note,gewesen,genesen,'von meiner Krankheit genesen' = recovered from my illness; w/n confusion in Kurrent.,
13,013,2,transcription-note,wieder,bieder,'ist bieder und gut' is the idiomatic pairing; w/b single-letter confusion.,
13,013,2,transcription-note,schuele,schleunig,'schleunig eingereicht werden' = to be submitted with dispatch.,
13,013,2,transcription-note,Vollerns,Tolleres,'noch Tolleres geht hier vor' = madder things still go on here.,
13,013,2,transcription-note,Töst,Tassen or Töpfe,Quantity of a black drink; 'Tassen' (cups) fits.,
14,014,1,transcription-note,Theuerstag Freund,Theuerster Freund,'Theuerstag' is not a word; the salutation formula is 'Theuerster Freund' (dearest friend).,
14,014,1,transcription-note,wir ist dieß unglaublich,mir ist dieß unglaublich,wir/mir Kurrent confusion; first-person singular fits the surrounding discourse.,
14,014,1,transcription-note,unwesend,anwesend,Context requires the heirs to be present in Vienna for a composition to be reached there.,
14,014,1,transcription-note,Mäckehr,Rückkehr,'upon your return from Vienna' is the expected sense; R/M and ück/äck confusions are common in Kurrent.,
14,014,1,transcription-note,gescheitet,gescheitert,Evident slip for 'gescheitert' (failed).,
14,014,1,transcription-note,Thurmard Pupillen Collegio,Churmärk[isch]es Pupillen-Collegium,'Thurmard' is very likely a misreading of 'Churmärk-' (Kurmärkisches Pupillen-Collegium in Berlin).,
14,014,1,transcription-note,Entbehärungen,Entbehrungen,Orthographic slip.,
14,014,1,transcription-note,auch auch außerdem,auch außerdem,Dittography in the transcription; retained in the translation as 'also also'.,
15,015,1,transcription-note,Traperiner Sache,"possibly a place-name in adjectival form, cf. estates near the Prosna river","The name looks corrupted; ""Proſnu"" is likely the river Prosna, so the estates would lie on the Prosna.",
15,015,1,transcription-note,Kalinte,Kalisch (Kalisz),"A Polish jurisdiction where the files would have been transacted; ""Kalinte"" is not attested.",
15,015,1,transcription-note,Owringen,Öhringen,The Hohenlohe residence; the transcription may reflect the Kurrent spelling.,
15,015,1,transcription-note,260 fl.,260 gulden,"""fl."" is the florin/gulden abbreviation; left as written per the numeral rule.",
15,015,2,transcription-note,Caſte,Kost (board),"""Caſte"" is not a German word in this context; ""Kost"" fits the sequence lodging/board/heating.",
15,015,2,transcription-note,Hintzung,Heitzung (heating),"Kurrent H/nt confusion; ""Hintzung"" is not attested.",
15,015,3,transcription-note,Puppiere,Papiere,Obvious vowel corruption; the sense (redemption of papers/documents) is clear but the form is not.,
15,015,3,transcription-note,schämet er für Wuth,schäumet er vor Wuth,"Standard idiom ""vor Wut schäumen""; also a vor/für confusion.",
15,015,3,transcription-note,Zimmel,Himmel,"Kurrent H/Z confusion; ""Himmel über mich gebieten"" is idiomatic for death.",
16,016,1,transcription-note,wechseln wir Elte und Fluth,wechseln wie Ebbe und Fluth,'wie Ebbe und Fluth' ('like ebb and flood') is the standing idiom; 'wir'/'wie' and 'Elte'/'Ebbe' are both Kurrent minim confusions,
16,016,1,transcription-note,der kaußische Kayser,der Rußische Kayser,the Russian Emperor travelled with the King of Prussia; 'kaußische' is likely a misread 'Rußische',
16,016,1,transcription-note,deren Greise,deren Reise,'Reise' (journey) fits 'geschehen solle' and the context of departures,
16,016,1,transcription-note,nach Wochen hindus,nach Wochen hinaus,'auf Wochen hinaus' = 'weeks off',
16,016,1,transcription-note,Ich war indes Bericht,Ich war indes bereit / Ich war indes bedacht,restores a construable clause with the following infinitive,
16,016,1,transcription-note,liegen Cron den tausend ſchören Verſicherungen,liegen troz den tausend schönen Versicherungen,'trotz den tausend schönen Versicherungen' ('despite the thousand fine assurances') fits the concessive sense,
16,016,1,transcription-note,Interogene,heterogene,'heterogene Dinge' = 'heterogeneous things',
16,016,2,transcription-note,sehr brauß,sehr breit,"'sich breit machen' = to make oneself broad, to swagger, fits Murat's advance",
16,016,2,transcription-note,viel Treppen,viel Truppen,'Truppen' (troops) fits the context exactly; Kurrent p/pp and e/u confusion,
16,016,2,transcription-note,Die Wüßen,Die Rußen,'die Russen' fits 'rege zu werden' and the marching detail that follows,
16,016,2,transcription-note,ohne Waßtag,ohne Rasttag,"the following clause explains that the 4th day replaces 'den raß Tag' (Rasttag), confirming the word",
16,016,2,transcription-note,den raß Tag,den Rasttag,"same word as above, spelled differently a line later",
16,016,2,transcription-note,eilen Herrn herbey,eilen Heere herbey,'Heere' (armies) rather than 'Herrn' (gentlemen) fits the military context,
16,016,2,transcription-note,eine fürchterliche Armen,eine fürchterliche Armee,'Armee'; the same spelling 'Armen' appears on p.1,
16,016,2,transcription-note,zieht kleinen von Ver schauungen,zieht Linien von Verschanzungen,'Linien von Verschanzungen' = lines of entrenchments,
16,016,2,transcription-note,alles schreibe jagt über,alles schreit u. jagt über,'schreit und jagt' would construe,
16,016,2,transcription-note,treu gehorsamer Diener,treu gehorsamster Diener,the standing formula; left as transcribed,
17,017,1,transcription-note,Ich bin nicht lassen halten,Ich bin nicht [zu] lassen [oder zu] halten / Ich kann es nicht dabei lassen,Likely a garbled idiom in the transcription; the surrounding sense is that Triebenfeld will not let the accusation stand.,
17,017,1,transcription-note,da muß alles am Tage,da muß alles am Tage kommen,"Missing infinitive; standard idiom ""an den Tag kommen"".",
17,017,2,transcription-note,Bayorner,Bayonner,"The same sum is called ""Bayonner Summe"" a few lines later; likely the same word.",
17,017,2,transcription-note,am 80 bis 90,an 80 bis 90 [tausend],"Parallel with ""an 30000 Rthl"" suggests ""an"" plus an omitted ""tausend"".",
17,017,2,transcription-note,verflichter,verfluchter,"Single-letter confusion; ""ein verfluchter Gedanke"" continues on page 3.",
17,017,2,transcription-note,Inwalden,Invaliden,The Invaliden-Casse capital is a recurring item in this correspondence.,
17,017,3,transcription-note,herrleisagen,Herrlein sagen,"Diminutive of Herr with the verb sagen fits the syntax of ""solche junge ... sagen in Berlin"".",
17,017,3,transcription-note,gärstiges,garstiges,"Orthographic variant; ""garstiges Gewäsche"" = nasty gossip.",
17,017,3,transcription-note,erlaßen,einlaßen,"""sich mit den Leuten einlassen"" is the idiom; a single-letter confusion.",
17,017,3,transcription-note,jährt mir,jährlich nur,"Kurrent abbreviation of ""jährlich"" plus ""nur"" would produce this; fits the sense of a fixed maintenance.",
17,017,4,transcription-note,schleicht,schlecht,"Single-letter confusion; ""es ist schlecht, dies unter die Menschen zu bringen"".",
17,017,4,transcription-note,Gevaliden Casse,Invaliden-Casse,"The 50,000 Rthl first mortgage of the Invalids' Fund is a fixed item in this correspondence; ""Jnvaliden Casse"" appears correctly a few lines above.",
17,017,4,transcription-note,aus der Wahl schaffen,aus dem Wege schaffen,Standard idiom for clearing an obstacle; fits the sense of discharging the mortgage.,
17,017,4,transcription-note,ich liege wahr Landdauer,ich verharre ... [Unterschrift],Position suggests the standing closing formula preceding the signature.,
18,018,1,transcription-note,erheiterte meine Summe,erheiterte meine Seele,"""Seele"" (soul) fits ""erheitern"" idiomatically; ""Summe"" is likely a Kurrent misreading.",
18,018,1,transcription-note,mir einigung,"mir einiging / mir einging (""reached me"")","""einging"" (arrived, came in) is the expected verb for an incoming letter.",
18,018,2,transcription-note,Frauen äsischen,Französischen,"Word-split error in transcription; the same phrase appears correctly on page 3 as ""Französische General Gouvernement"".",
18,018,2,transcription-note,Jemas dieses Decreti,Gemäs dieses Decreti,"""Gemäs"" (in accordance with) is used by the writer elsewhere (""gemäs des Decreti"") in this same letter.",
18,018,2,transcription-note,Comorniks,Komorniks,"The writer spells it ""Comornik""; termbase form is ""komornik"". Spelling left as transcribed.",
18,018,3,transcription-note,Remtonschen,zu remittiren,"The construction requires an infinitive after ""befohlen"" (ordered to be remitted out of the estate revenues).",
18,018,3,transcription-note,wieder in Ansehung,weder in Ansehung,"The correlative ""noch"" later in the clause requires ""weder ... noch"".",
18,018,4,transcription-note,Unterthäniger drei,Unterthäniger Diener,"Standing closing formula; ""drei"" is graphically close to an abbreviated ""Dien."" in Kurrent.",
18,018,4,transcription-note,Aproberen,approbiren,"Spelling variant of ""approbieren"" (to approve); rendered as ""approve"".",
19,019,1,transcription-note,18 Jahr hinſt es Pacht,18 Jahr hindurch das Pacht,'hinſt es' may be a misreading of 'hindurch das' or 'hinaus die'; conjectural only.,
19,019,1,transcription-note,2t er um guter Wirth,Ist er nur guter Wirth,"'Ist er nur' would give the sense 'if only he is a good husbandman', which fits the following clause.",
19,019,1,transcription-note,kein Creditor darf nicht einrä[umen],kein Creditor darf etwas einreden/eingreifen,Broken word; the intended verb cannot be settled from the transcription.,
19,019,1,transcription-note,Hainrich,Heinrich,May be a personal name or a corrupted surname; carried across as written.,
19,019,3,transcription-note,das Maus gestopft,das Maul gestopft,"The idiom is 'das Maul stopfen', to stop someone's mouth; 's' for 'l' is a plausible Kurrent slip.",
19,019,4,transcription-note,Phuſisch,physisch,Straightforward orthographic corruption of 'physisch'.,
19,019,4,transcription-note,ich meine es mit Ihnen herzig bider und Gut,"herzlich, bieder und gut","'herzig bider' likely stands for 'herzlich, bieder' (heartily, honestly).",
20,020,1,transcription-note,Nachmäus,Nahmens,The form 'Nahmens Ewr Durchlaucht' occurs twice later in the same letter; 'Nachmäus' is likely a Kurrent misreading of it.,
20,020,1,transcription-note,Weiterer,Wucherer,'Wucherer' (usurer) appears earlier on the page and fits the referent (van der Lahr).,
20,020,1,transcription-note,Schulm,Schicken,A verb of sending is required to govern 'mir ... die 1000 Centl Eysen'; the following clause ('so bringe ich alles aufs reinen') presupposes a conditional imper,
20,020,1,transcription-note,Leutner,Centner,'Leutner' is not a weight; the letter elsewhere uses Centner/Centp/Centl for the same quantities of iron.,
20,020,2,transcription-note,Be sezzungen,Besitzungen,The context ('Your Polish ...') calls for possessions; 'Besetzungen' would mean occupations/garrisons.,
20,020,2,transcription-note,Genkinit,General,Page 3 has 'dH. Genl und M v. Zastrow'; 'Genkinit' is likely a Kurrent misreading of 'Genl' plus a suffix.,
20,020,2,transcription-note,Leute,Centner,The quantity of iron is measured in Centner throughout the letter.,
20,020,2,transcription-note,Scat,Schatten,'im steten Schatten liegen' (to lie in perpetual shade/obscurity) is idiomatic and fits the sense of a man penalised for telling the truth.,
20,020,2,transcription-note,Wun,Wien,"A destination name; Vienna would fit the correspondence's geography, but Wunschwitz or similar is equally possible. Unsettled.",
20,020,3,transcription-note,Abschaft,Abschrift,Standard heading for a scribal copy; 'Abschaft' is not German.,
20,020,3,transcription-note,rectiren,restiren,The commercial term for interest remaining owed; a single-letter confusion.,
20,020,3,transcription-note,H. et Freib.,H. v. Triebenfeld,The party being protected throughout the letter is v. Triebenfeld.,
20,020,3,transcription-note,Conrat,Courant,The currency term used throughout the correspondence; 'baares Courant' is the standing phrase.,
20,020,3,transcription-note,verſenden,verhandeln,'diese Sache mit Ew. zu verhandeln ... abzuschließen' is the expected pairing (to negotiate and conclude).,
20,020,3,transcription-note,Dankungsart,Denkungsart,'meiner Denkungsart entgegenlaufen' (to run contrary to my way of thinking) is the idiom.,
20,020,3,transcription-note,Eysen Werden,Eisenwerken,The writer owns ironworks; 'Werden' is likely a misreading of 'Werken'.,
21,021,1,transcription-note,Eſtaſtitel,Eſtaffette,The termbase item Estaffette (express courier) fits the sense of dispatching a message at noon; the letterforms could be misread from Kurrent.,
21,021,1,transcription-note,Genuenſter Fürſt,Gnädigſten Fürſt,"Possibly a garbled honorific, though the syntax remains doubtful.",
21,021,1,transcription-note,Löevicz,Lowicz,The Principality of Łowicz was in fact conferred on Grand Duke Constantine; but the transcription is left as given.,
21,021,1,transcription-note,Taellerand,Talleyrand,Almost certainly the French minister; not emended in the translation.,
21,021,1,transcription-note,Dorothechen,Dorotheechen (Dorothea),"Diminutive of a personal name, plausibly Dorothea von Kurland, in the Talleyrand context.",
21,021,1,transcription-note,Es kiz viel viel,Es muß viel,A modal verb is required; muß fits the exhortative tone.,
22,022,1,transcription-note,Crediosa,Odiosa (or Curiosa),"A Latinate plural noun is expected for the unpleasant particulars he withheld; ""Odiosa"" (odious matters) fits the sense of sparing the Prince.",
22,022,1,transcription-note,im Stellen fort,im Stillen fort,"Single-letter confusion e/i in Kurrent; ""im Stillen"" (quietly) is the standard collocation.",
