letter,pad,page,kind,german,english,note,ruling
14,014,1,emendation-uncertain,Völlehr,Rückkehr / Vollzug,The clause needs a noun such as 'return' to complete 'bis auch der ... aus Wien [erfolgt ist]'.,
14,014,1,emendation-degrades,Cremne,unresolved,Appears to be a personal name or office corrupted; possibly related to 'Cosmar' named just below.,
15,015,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
15,015,1,marker-check,,1 present,model reported 2 markers but emitted 1,
15,015,1,glossary-mismatch,Gulden,gulden,termbase rendering not found in the English,
15,015,1,emendation-uncertain,Fürstin Sahhin,Fürstin Sophie(?) / a Kurrent misreading of the Princess's name,"""Sahhin"" is not a plausible German name form; the transcription of the doubled letters is unstable.",
15,015,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
15,015,2,emendation-degrades,Stößel,a person previously named in the correspondence,"The reference to ""a sequel to Stößel"" presumably alludes to a known case (possibly a suicide); the name may be corrupt.",
15,015,3,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
16,016,1,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
16,016,1,glossary-mismatch,Wechsel,bill of exchange,termbase rendering not found in the English,
16,016,1,emendation-uncertain,Harum,Sachsen (?) / a place-name,'Harum' as an object of contention at the Congress is more likely a corrupted territorial name; left as transcribed,
16,016,1,emendation-degrades,Herrn Obristlieutnant u Thiel ... dH. B v Thule,one and the same name,the same officer appears to be named twice with different spellings within one paragraph; one of the two is corrupt,
16,016,2,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
16,016,2,emendation-uncertain,Unfäng möcht ich werden,Unfähig möcht ich werden / Anhänger möcht ich werden,undetermined; flagged rather than repaired,
17,017,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
17,017,1,emendation-degrades,v. Choma nowski,v. Chomanowski,Word split across a line break; the same name appears joined later on the page.,
17,017,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
17,017,2,marker-check,,1 present,model reported 2 markers but emitted 1,
17,017,3,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
17,017,3,marker-check,,2 present,model reported 3 markers but emitted 2,
17,017,4,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
17,017,4,marker-check,,3 present,model reported 4 markers but emitted 3,
17,017,4,emendation-uncertain,Grünval Departements,Gouvernemental-Departements (?),"""Grünval"" is not a plausible French departmental name; likely a corrupted transcription, but no reading can be settled.",
18,018,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
18,018,1,emendation-uncertain,Collé,?,Unidentified; could be a corrupted place-name or a French word. Left as transcribed.,
18,018,3,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
18,018,3,emendation-uncertain,Skokum,Skoków / Skokom,Village-name endings in -um are unusual in this district; possibly a Kurrent misreading. Left as transcribed.,
19,019,1,unmarked-in-german,0 marked,4 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
19,019,2,unmarked-in-german,0 marked,4 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
19,019,2,emendation-uncertain,zahil überlaufend,zahllos überlaufend / zahl(en) überlaufend,'zahil' is likely a misreading of 'zahllos' or of a form of 'zahlen'.,
19,019,2,emendation-uncertain,2 Ortl.,2 Estaffetten / 2 Bothen,Abbreviation unexplained; may be a corrupted unit or a courier designation.,
19,019,2,emendation-degrades,Kopojer,unidentified place-name,No such place is established; possibly a corrupted Polish toponym.,
19,019,3,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
19,019,3,emendation-uncertain,mein Schweiner,meinen Seinen / meinem Schwiegersohn?,'Schweiner' is not a German word; possibly a corrupted family designation. Not settled.,
19,019,3,emendation-uncertain,Wytwiver,unidentified party or place,Name not established; may be a corrupted Polish surname or toponym.,
19,019,3,emendation-uncertain,Salz,possibly a surname (an agent or advocate) rather than the noun 'salt',Read here as a personal name because of 'durch ... betreiben'.,
19,019,4,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
19,019,4,emendation-uncertain,abhobet,aber halt / abo(l)ut?,Unidentifiable; possibly a dittography around 'aushalten'.,
20,020,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
20,020,1,glossary-mismatch,Vollmacht,power of attorney,termbase rendering not found in the English,
20,020,1,untranslated,,Most humble Pro Memoria. From the enclosed letter of the Pri,German function words survive in the English,
20,020,1,emendation-degrades,Kontopper / Kontop / Kontopp,consistent spelling,The same estate appears in two spellings on one page; one is likely a transcription slip. Not altered in the translation.,
20,020,1,emendation-degrades,von der Lahn,von der Lahr,The creditor is otherwise consistently 'van/von der Lahr'; 'Lahn' is probably an r/n confusion. Left as transcribed.,
20,020,2,name-check,,Zagorow,name reported in the English is not in the German,
20,020,2,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
20,020,2,emendation-degrades,Royadler,unresolved,"Place name of a river landing (Ablade); not identifiable, possibly corrupt.",
21,021,1,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
21,021,1,emendation-uncertain,Schweineren,Schweinern / Schweinerei (place name),Likely a place name paired with Kontop; spelling unverified.,
21,021,1,emendation-degrades,pauvre war ein Bettelhund,pauvre wie ein Bettelhund,wie/wir/war confusion; the comparison requires wie.,
22,022,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
22,022,2,emendation-degrades,zuvatirte Casse,"Invaliden-Casse (or ""suvertirten Casse"")",Context (the standing lawsuit) points to the Invalids' Fund named on p. 1.,
22,022,3,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
22,022,3,emendation-degrades,der 10 Rthl Theil,der 10te Theil,"""the tenth part"" is idiomatic; the ""Rthl"" may be a misexpanded abbreviation stroke. Figure left as transcribed.",
22,022,4,unmarked-in-german,1 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
22,022,4,emendation-uncertain,aufhohlen,aufs Neue / überhaupt,"A word compatible with ""die Nachricht einzuziehen"" is required.",
23,023,1,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
23,023,2,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
23,023,2,marker-check,,3 present,model reported 4 markers but emitted 3,
23,023,2,emendation-degrades,Criminal Rath,Criminalrath,Title of Stenger; spelling retained as transcribed.,
23,023,3,name-check,,v. d. Lahr,name reported in the English is not in the German,
23,023,3,unmarked-in-german,0 marked,9 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
23,023,3,marker-check,,9 present,model reported 8 markers but emitted 9,
23,023,4,number-check,10,,numeral in the German does not appear in the English,
23,023,4,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
23,023,4,marker-check,,5 present,model reported 4 markers but emitted 5,
24,024,1,emendation-uncertain,ein reiner Ertrag derselben von 40 Rthl,40247 Rthl (cf. page 3) or 40000 Rthl,A net yield of 40 Rthl is implausible against a proposed 100000 Rthl loan; page 3 gives 40247 Rthl 14 g 11 d. Figure carried across unchanged as transcribed.,
24,024,1,emendation-uncertain,D[?]ongratie,"Douceur / Gratification (""ein Douceur von 5 pt."")",A percentage payment to intermediaries; 'Gratie'/'Gratification' fits the sense of a 5 per cent commission.,
24,024,2,emendation-degrades,12 Aus dorf und Vorwerk Trąbczin,22,Sequence position between 21 and 23.,
24,024,2,emendation-uncertain,8 do Wrąbczin,Trąbczin or Wrąbczyn,Possibly a duplicate/variant of the lordship name Trąbczin at no. 22; W/T confusion in Kurrent.,
24,024,2,emendation-degrades,Gros Holland,Gros Hauland (Hauländer settlement),Hauländer colonies are commonly named '-holland'/'-hauland'; see house note on Hauländer.,
24,024,4,emendation-degrades,Eward u. Haupt,Ewald u. Haupt,d/r confusion in Kurrent; 'Ewald' is a far commoner name. Not folded into the translation.,
24,024,4,emendation-uncertain,Seher Tothschen Erben,Schertothschen / Sehertothschen Erben,Word division uncertain; single surname more likely.,
25,025,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
25,025,2,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
26,026,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
26,026,1,emendation-uncertain,einigung,einging / eintraf,a verb of arrival is required ('the news ... came in'); 'einigung' is likely a misreading of 'einging',
26,026,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
26,026,2,emendation-uncertain,Kantschumeiner,unresolved place- or ethnic name,corrupt proper noun; retained as transcribed,
27,027,1,emendation-uncertain,v. Sanitz,v. Zawadzki / v. Sanitz(?),Name possibly corrupted; left as transcribed.,
27,027,2,name-check,,Constantin,name reported in the English is not in the German,
27,027,2,glossary-mismatch,gehorsamster Diener,most obedient servant,termbase rendering not found in the English,
27,027,2,glossary-mismatch,Pohlen,Poland,termbase rendering not found in the English,
27,027,2,emendation-uncertain,Alantons,Adjutanten / Allianten,"Either ""adjutants"" or ""allies"" would fit the court context at Memel; neither can be established.",
27,027,2,emendation-uncertain,Allerwürcke,Allerhöchste / Aller[höchsten] Wirkung,Possibly a corruption of a form of address for the Emperor rather than a proper name.,
29,029,1,emendation-degrades,noch der Retour von Memel,nach der Retour von Memel,"One-letter confusion (o/a in Kurrent); ""nach der Retour"" = after the return, which the syntax requires.",
29,029,2,name-check,,Bal[illegible],name reported in the English is not in the German,
29,029,2,unmarked-in-german,1 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
30,030,1,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
30,030,1,marker-check,,3 present,model reported 4 markers but emitted 3,
30,030,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
30,030,3,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
30,030,3,emendation-degrades,Trabezyner,[unresolved place-name],No such estate is otherwise attested in this correspondence; may be a garbled Polish estate name. Left as transcribed.,
31,031,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
31,031,1,marker-check,,1 present,model reported 2 markers but emitted 1,
31,031,1,emendation-degrades,1 Rthl Dienen,1 Rthl Diäten,Standard term for travel per diem in Prussian service.,
31,031,2,name-check,Honrichs,,name in the German is absent from the English,
31,031,2,unmarked-in-german,3 marked,13 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
31,031,2,marker-check,,13 present,model reported 11 markers but emitted 13,
31,031,2,glossary-mismatch,Pohlen,Poland,termbase rendering not found in the English,
31,031,2,emendation-degrades,Cabanis als Ane Förster,Cabanis als Ober-Förster,'Ane' is likely a misread abbreviation for Ober.,
31,031,3,name-check,,Glenck,name reported in the English is not in the German,
31,031,3,unmarked-in-german,3 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
31,031,4,unmarked-in-german,0 marked,17 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
31,031,4,marker-check,,17 present,model reported 13 markers but emitted 17,
31,031,4,emendation-degrades,wittwärlicher,wie dieser,Wholly conjectural; the word as transcribed is not German.,
31,031,4,emendation-degrades,Hennochs,Heinrichs,Same person as Honrichs/Henrichs/Herrrichs.,
32,032,1,name-check,,Triebenfeld,name reported in the English is not in the German,
32,032,1,unmarked-in-german,2 marked,7 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
32,032,1,marker-check,,7 present,model reported 6 markers but emitted 7,
32,032,1,damage-page,[...],,page carries a gap or damaged edge; confirm the English shows the hole rather than bridging it,
32,032,2,unmarked-in-german,0 marked,12 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
32,032,2,marker-check,,12 present,model reported 8 markers but emitted 12,
32,032,2,emendation-uncertain,Prępiziner,Trąbcziner (?),no such place elsewhere in the correspondence; the Polish diacritics suggest a garbled estate name — left unaltered in the translation,
32,032,3,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
33,033,1,unmarked-in-german,0 marked,6 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
33,033,1,emendation-degrades,die 50000 mk in Courant,die 50000 Rthl in Courant,"The Invalids' Fund's first mortgage is elsewhere 50,000 Rthl; ""mk"" (Mark) is anachronistic for 1808. Figure and unit left exactly as transcribed.",
33,033,1,emendation-uncertain,150 Rthl / 250/M,"150/M Rthl (150,000) / 250/M Rthl (250,000)","The sums as written are implausibly small beside the 50000 of the Invalids' Fund; the ""/M"" (mille) marker appears once and may have been dropped elsewhere. Figu",
33,033,2,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
33,033,2,emendation-uncertain,Paß Honrichs,daß Hoenrichs / daß Heinrichs,"""Paß"" is very likely ""daß""; the following name may be a corrupted surname. Left as transcribed per house rule.",
33,033,3,unmarked-in-german,0 marked,10 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
33,033,3,marker-check,,10 present,model reported 8 markers but emitted 10,
33,033,3,emendation-uncertain,entsterene,verstören / zerstören / entsetzen,"Sense required is ""to drive him out of / harass him even in the last corner""; the actual word is not recoverable.",
33,033,3,emendation-uncertain,150/3 Rthl,150/M Rthl,"The ""/3"" is likely a misread mille sign, matching the 150/0 earlier on the page. Figures left exactly as transcribed.",
33,033,3,emendation-uncertain,die alte Fenig,die alte Fennig / Pfennig (a surname),Probably a person's name in the postscript; not normalised.,
34,034,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
34,034,1,emendation-uncertain,um nach Gringen zu kommen,um nach Gröningen / Grünberg zu kommen,"""Gringen"" is not an established place-name in this correspondence; likely a corrupted toponym",
34,034,2,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
34,034,2,emendation-degrades,Die Briefe in Amelang und Kopp,Die Briefe an Amelang und Kopp,"""in"" for ""an"" is a likely single-letter transcription slip",
34,034,2,emendation-uncertain,die Hypotheque von 250 Rthl,die Hypotheque von 25000 Rthl (?),the figure is implausibly small beside the Invalids' Fund and the Zastrow bill; but the figure as transcribed stands in the translation,
35,035,1,number-check,3/4,,numeral in the German does not appear in the English,
35,035,1,name-check,,Triebenfeld,name reported in the English is not in the German,
35,035,1,unmarked-in-german,1 marked,7 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
35,035,1,marker-check,,7 present,model reported 5 markers but emitted 7,
35,035,1,emendation-degrades,H. Hoß Rath Meyer,H. Hofrath Meyer,'Hoß Rath' is likely a misreading of Hofrath (Court Councillor); not folded into the translation.,
35,035,1,emendation-uncertain,H. Bau von Stein,H. Baron von Stein / Minister Stein,Page 2 has 'der M Stein' and page 3 'der Minister Stei'; 'Bau' may be a misreading of 'Bar.' (Baron).,
35,035,2,name-check,,Amelang,name reported in the English is not in the German,
35,035,2,unmarked-in-german,0 marked,4 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
35,035,2,marker-check,,4 present,model reported 5 markers but emitted 4,
35,035,2,emendation-uncertain,Marcul,Marcul (place or person unresolved),"Not identifiable; possibly a corrupted place-name from which he was despatched, or a person. Left as transcribed.",
35,035,2,emendation-degrades,Baugmer von der Laar,Bankier von der Laar,'Baugmer' may be a misreading of 'Banquier/Bankier'; the later mentions give only 'von der Laar'.,
35,035,2,emendation-degrades,Die Zinsen Betrugen von 2 Jahren 5000 Rthl und die Kosten 125,figure unverified,"Page 3 gives 3125 Rthl outstanding against 2000 Rthl in hand, which does not reconcile with 5000 + 125; figures carried across unaltered as required.",
35,035,3,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
35,035,3,marker-check,,1 present,model reported 2 markers but emitted 1,
36,036,2,emendation-degrades,im flossenen Januar Jemer 1807,im verflossenen Januar des Jahres 1807,'flossenen' lacks its prefix and 'Jemer' appears to garble 'Jahres'.,
36,036,3,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
36,036,4,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
36,036,5,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
36,036,6,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
36,036,8,unmarked-in-german,1 marked,7 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
37,037,1,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
37,037,1,marker-check,,2 present,model reported 3 markers but emitted 2,
37,037,2,unmarked-in-german,1 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
37,037,2,emendation-uncertain,Beneten 30 Stadt [Schenck?],"possibly a street address, e.g. 'Behrenstraße 30' or similar","'30 Stadt' resembles a house number and street designation; wholly conjectural, not folded into the translation.",
37,037,2,emendation-uncertain,Laar,Lauer / Saar / Laar (a creditor's surname),Unverified proper noun; carried across as transcribed.,
38,038,1,unmarked-in-german,2 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
38,038,1,marker-check,,5 present,model reported 4 markers but emitted 5,
38,038,1,glossary-mismatch,treuester Knecht,most faithful servant,termbase rendering not found in the English,
38,038,1,glossary-mismatch,Curland,Courland,termbase rendering not found in the English,
38,038,1,emendation-uncertain,kunde nicht viel schreiben,konnte / kann heute nicht viel schreiben,"""kunde"" is likely a misreading of ""heute"" or a doubled ""konnte""; the sentence already has ""kann"".",
38,038,1,emendation-uncertain,Baupiner oder Later,Baugnier oder Veit(?),"Earlier in the same letter the name appears as ""Baugnier Veit""; ""Baupiner"" and ""Later"" look like variant misreadings of the same party. Not folded into the tran",
38,038,1,emendation-uncertain,Convent,Convention / Conversion,"Probably the same abbreviation as ""Convers"" above; both left as written.",
39,039,1,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
39,039,1,emendation-degrades,Zewalden ſasse,Zewalden Casse (or: [place] Casse),A fund or treasury ('Casse') would suit 'zur Zahlung der ... Casse'; long-s/C confusion is frequent. The first word remains unidentified and is not emended.,
39,039,1,emendation-degrades,Justiz Commissarius Herrn Empuch,Herrn Empuch (name unverified),"'Empuch' is not a recognisable Prussian surname and may be a corrupt reading (e.g. Lampuch, Emrich, Empach); left as transcribed in the translation.",
40,040,1,number-check,2500,,numeral in the German does not appear in the English,
40,040,1,marker-check,,0 present,model reported 1 markers but emitted 0,
