letter,pad,page,kind,german,english,note,ruling
2,002,2,unparseable,Ich schäme mich noch todt und das von Schreitwillen,,'von Schreitwillen' does not parse - neither a recognisable place-name nor a construable phrase,
2,002,2,flagged,vorzüglich geschickter und dringend gebeten 200 Ducaten zu schaden,above all [uncertain: geschickter] and urgently begged for 200 ducats to be [unc,alt: above all most fittingly and urgently begged that 200 ducats | verb reverses the sense of the request,
2,002,2,flagged,Schaden Sie doch jemand her,"Send someone else here, then","alt: Do harm to someone else, then (literal reading of 'schaden') | single-word confusion",
2,002,2,flagged,bey denen E: sind Wörter auch wohl keine Evangelia,with those E: are words not gospel either?,"alt: with those gentlemen, words are evidently no gospel either ( | unresolved abbreviation",
2,002,2,flagged,daß ich nicht angerahmen untergehen,that I shall not [uncertain: angerahmen] go under,alt: that I will not go under unbewailed / that I will not go und | corrupt word carrying the force of the oath,
2,002,2,flagged,Jagt also auf Ihren heutigen Brief,So I hunt upon your letter of today,alt: So [I] wait eagerly for your letter of today / So much upon  | verb form and subject unrecoverable,
2,002,3,unparseable,In der Ko: Geschichte hat der Gr. Pourt: schon geantwortet,,"both abbreviations ('Ko:', 'Pourt:') are unresolved; the affair and the count cannot be identified from the text",
2,002,3,unparseable,Er hat noch über Eris und das andere Auskunft gefordert,,"'Eris' is unidentifiable as transcribed - possibly a place-name, possibly a corruption",
2,002,3,unparseable,beide kommen dann nach Revhir,,'Revhir' is not a recoverable place-name,
2,002,3,flagged,Narken er im Augenblick über nicht mehr als 150 Rthl d. baar disponiren,[uncertain: Narken] at the moment he can dispose of no more than 150 Rthl in cas,"alt: only, he can at the moment dispose of no more than 150 Rthl  | corrupt word at head of clause",
2,002,3,flagged,und ihm weill Anfait gesezt,and set him [uncertain: weill Anfait],alt: and set him a deadline / and set him a fair price | corrupt phrase governing a legal act,
2,002,3,flagged,Mann wird nun stehen was Wellingten ... erklären wird,One will now see what Wellington ... will declare,alt: One will now stand [by] what Wellington will declare (litera | sehen/stehen,
2,002,3,flagged,"V der Congress zu Ende, so geht der Kayser auch dahin","[If] the Congress is at an end, the Emperor goes thither also","alt: Before the Congress is at an end, the Emperor goes thither a | unresolved abbreviation; watch-list vor/von",
2,002,3,flagged,Die Näße Kayserin,the [uncertain: Näße] Empress,alt: the Russian Empress / the young Empress | corrupt modifier before a title,
2,002,3,flagged,zwey Damen und zwey Minist: spielen verstatt,Two ladies and two ministers are playing [uncertain: verstatt],alt: Two ladies and two ministers are playing [a game] in secret  | corrupt final word,
2,002,4,unparseable,"Grev: Schreibt daß Mad C. bey d. J. M. in noch höhern Gnaden stände, als Mann mu",,the comparative 'als' has no second term and runs directly into a new main clause; the comparison is broken,
2,002,4,unparseable,ihr H. Gemahlen und ihm den E. jeden Ausweg versperren,,case and reference of 'ihm den E.' are not construable,
2,002,4,unparseable,die Nachgebrachte Correspondence mit den H. H. M.,,the abbreviation 'H. H. M.' is unresolved; the correspondent cannot be identified,
2,002,4,flagged,die Vollmacht für Cosmar aufhöben und gänzlich lachirte,revoke the power of attorney for Cosmar and wholly cancel it,alt: ... and wholly [uncertain: lachirte] it - 'lachirte' may be  | corrupt verb,
2,002,4,flagged,daß der J. Aequit aber gleich an dem Justiz Ministerzen ... schreibt,that the young [uncertain: Aequit] write at once to the Ministry of Justice,"alt: that the young Prince write at once ... ('J.' = junge Fürst, | corrupt designation of the acting party",
2,002,4,flagged,und nach Fachßen an der Justiz Behörde,and to Saxony to the judicial authority,alt: and to [uncertain: Fachßen] to the judicial authority | F/S confusion in a place-name,
2,002,4,flagged,"unten den, oder den Datum",on such and such a date,alt: under the ... or the ... date (the manuscript apparently lea | elliptical formula,
2,002,4,flagged,so schenk als möglich,as [uncertain: schenk] as possible,alt: as quickly as possible ('schnell') | corrupt adverb,
2,002,4,flagged,die 200 Decan,the 200 [uncertain: Decan],alt: the 200 ducats (cf. page 2) | corrupt currency term attached to a figure,
2,002,4,flagged,tren gehorſamſter Diener,most faithful and most obedient servant,"alt: true, most obedient servant ('treu gehorsamster Diener') | corrupt closing formula",
2,002,3,watchlist-spotcheck,"m nun bald zu melden, wenn er nach Schlawenschl kommen wolle. da",,"random sample on ""nach"" - not a suspected error, a probe on under-flagging",
3,003,1,unparseable,das ist eine Bectie,,"""Bectie"" is not a German word; possibly a corrupted noun (Bestie? Bagatelle?). Left untranslated.",
3,003,1,unparseable,sondern viel mehr alle Wege vorzubungen,,"""vorzubungen"" is not a German verb form; rendered provisionally as ""to prepare every avenue"" on the assumption of ""vorzu",
3,003,1,flagged,dem Fürsten und Barben 170 th schuldig bin,I owe the Prince and Barbe 170 th,"alt: ""Barben"" may be a dative/accusative of a name (Barbe, Barb)  | the transcription gives an inflected form of an unidentified name and a bare ""th""",
3,003,1,flagged,zum trosten Geheimen hoffen Rath Schröder,to the [uncertain: comforting] Privy [illegible] Councillor Schröder,"alt: to the trusty Privy Court Councillor Schröder (reading ""treu | ""trosten"" and ""hoffen"" do not construe with ""Geheimen Rath""",
3,003,1,flagged,Wenn wünschen Sie als ad ministrator der Nahmens des Königes die Majorats Güter ,"When you wish that, as administrator in the King's name, the entailed estates sh","alt: ""Wenn"" read as ""Wen"": ""Whom do you wish [to be the one who]  | single-letter confusion Wenn/Wen; the German as transcribed lacks a subject for ""Administrir",
3,003,2,unparseable,und da Bäte wohl eine Abschäzzung statt finden,,"""Bäte"" does not construe; possibly a corrupted noun or verb form. Rendered with an uncertainty marker.",
3,003,2,unparseable,wo sind die Recenzen geblieben,,"""Recenzen"" is not a recognised word (Revenüen? Recessen?). Left as transcribed.",
3,003,2,unparseable,Das gerathenste ist die schaden ein eigenes Pro Memoria hier her,,"""die schaden"" does not construe with the rest; the verb governing ""Pro Memoria hier her"" is missing.",
3,003,2,unparseable,"die Cantonikan in Baar Geld, nicht aprin oder in liegenden Gründen geschehen",,"""Cantonikan"" and ""aprin"" are not German words; the clause is corrupt.",
3,003,2,unparseable,3) Hans Muß er sowohl oconomische Kenntniße besizze,,"""Hans"" stands where no name belongs and ""besizze"" is a non-finite/garbled form.",
3,003,2,unparseable,haupt er indes Ewr Durchlaucht treulich an,,"""haupt ... an"" is not a German verb; probably a corrupted form of ""hängt er indes Ewr Durchlaucht treulich an"".",
3,003,2,unparseable,"es, was muß er ohne brutalität zu Werke gehen",,"""es, was"" does not construe with the following clause.",
3,003,2,unparseable,wann ich besonders in Stand gesagt werde,,"""in Stand gesagt"" is not idiomatic; probably ""in Stand gesetzt"".",
3,003,2,flagged,in Anspruch genommen werden,be called to account,"alt: ""be made use of"" / ""be laid claim to"" | in a passage about accounting for estate revenues the legal sense is likelier, but the phrase is genuinely double",
3,003,2,flagged,das ihr Pro memeria muß absolut ... dennoch sehr schnell und gewiß in der vorger,that your Pro Memoria must absolutely ... nevertheless be had very quickly and c,"alt: the sentence may intend ""I must absolutely have your Pro Mem | the clause has no clear subject; both ""you must"" and ""I must have"" are possible",
3,003,2,flagged,in der vorgerügten Angelegenheit,in the matter censured above,"alt: ""in the aforesaid matter"" (if ""vorgerügten"" stands for ""vorg | vorgerügt literally = previously reproved, but the sense wanted is probably ""aforesaid""",
3,003,1,watchlist-spotcheck,lich 1400 Rthl auf 4 Wochen - Noch habe ich nicht mehr als 932 R,,"random sample on ""noch"" - not a suspected error, a probe on under-flagging",
4,004,1,unparseable,Indes haft man wird Frankreich allen den hervorgebrochenen Baselich den Kopf get,,'haft man wird' has no possible verbal construction; case marking on 'allen den hervorgebrochenen Baselich' is incoheren,
4,004,1,unparseable,Soult le terre und Bertherand,,'le terre' is not a construable name-form; may be a broken transcription of a surname (e.g. Lefebvre / Labédoyère) but i,
4,004,1,flagged,Indes haft man wird Frankreich allen den hervorgebrochenen Baselich den Kopf get,Meanwhile one has [uncertain: has one] trodden upon the head of all the [uncerta,alt: Meanwhile it is held that France will have trodden upon the  | 'haft man wird' cannot be construed; 'Baselich' is probably 'Basilisk'.,
4,004,1,flagged,täglich weiter vorück,daily advances further onward,"alt: daily [presses] further forward / 'vorück' as a garbling of  | likely 'vorrücke' (advances) but could be 'zurück' (back), which would reverse the sense",
4,004,2,unparseable,aber ich könte alsiren und würde doch keine Dicelten oder zu Kosten sehen,,'alsiren' and 'Dicelten' are not words; the clause has no recoverable sense.,
4,004,2,unparseable,"Übrigens haben Ewo durchlaucht wir nicht geantwortet, wenn Sie sie ann dem Fall ",,pronouns and verb agreement are incoherent ('haben ... wir nicht geantwortet' with 'Ewo durchlaucht' as subject or objec,
4,004,2,unparseable,Genuß wird man einen Mann erinnern der dort alles leiten sollen,,"'Genuß' (enjoyment) stands where an adverb is required, probably 'Gewiß'; 'leiten sollen' lacks agreement.",
4,004,2,unparseable,Es wüste dies aber sehr völlig geschehen,,"'wüste' cannot govern this construction; probably 'müßte', and 'völlig' where 'baldig' or similar is expected.",
4,004,2,unparseable,da geruhen Ewr Durchlaucht eine Eufrchn mit 2 Pferde zu geben,,'Eufrchn' is not a legible word; presumably a vehicle.,
4,004,2,flagged,"Es wäre da, daß Ewr Durchlaucht den Kutscher dorten brauchen könten.",It might be that Your Serene Highness could use the coachman there.,alt: 'Es wäre da' read as 'Es wäre denn' / 'Es sei denn' — 'unles | 'da' / 'denn' one minim apart; watch-list als/da.,
4,004,2,flagged,Einiger Blanquiets schaden Euer Durchlaucht mit noch,Some blank forms Your Serene Highness still [uncertain: owes] me,alt: 'schaden ... mit noch' read as 'schulden ... mir noch' (owe  | 'schaden'/'schulden' and 'mit'/'mir' are single-letter confusions; noch/nach also in play.,
4,004,2,flagged,die sind alle bis auf das am Kaysern,they are all used up but the one at the Emperor's,alt: 'they are all gone except the one for/at the Emperor's [cour | possible 'am Kayserl.[ichen Hof]' or a place-name.,
4,004,2,flagged,Ich hoffe meine Taufendfache dorzu,I hope my thousandfold [uncertain: thanks] therefor,alt: 'Ich hoffe' read as 'Ich opfere'/'Ich habe'; the noun after  | text appears defective.,
4,004,2,flagged,Zeit 3) genug,There will then be time enough 3),alt: the '3)' is an editorial/footnote mark rather than part of t | carried across as written per house rule.,
4,004,3,unparseable,hier ist forthen an Neuigkeiten Ebbe und Fluth zu einen Augenblick bäut Nachraht,,'bäut' is not a word and the sentence-boundary is lost; construction cannot be settled.,
4,004,3,unparseable,Ein unschuldigen Pohle sagte hier gestern / Ah Gott sey danck unser Erlöser nich,,the quoted speech is verbless; 'nicht sich' unconstruable.,
4,004,3,flagged,zu einen Augenblick bäut Nachraht des Napoleon gestangen ist,in one moment comes word that Napoleon has been captured,alt: 'gestangen' read as 'gefangen' (captured) or as 'gestanden'  | 'bäut' unexplained (perhaps 'heißt'/'lautet'); 'Nachraht' for 'Nachricht'.,
4,004,3,flagged,daß ihm dies einigen Anfang verschoßen,that this may procure him some beginning,alt: 'verschoßen' as 'verschaffen' (procure) or 'verschließen' (c | single-letter confusion in the verb stem.,
4,004,3,flagged,unser Erlöser nicht sich,our Redeemer is not [uncertain: himself/dead],alt: 'nicht sich' as a garbling of 'ist nicht tot' or of 'lebt no | clause lacks a verb.,
4,004,3,flagged,Sie soll ganz Toll für Freude sein,she is said to be quite mad with joy,"alt: 'Sie' as the polite 'you' or as plural 'they' (the nation) — | capital Sie is ambiguous between 3rd sg. fem., polite 2nd, and plural.",
4,004,1,watchlist-spotcheck,"at mann 10 Millenen Francken, von Seiten der gesezt. Regierung ",,"random sample on ""von"" - not a suspected error, a probe on under-flagging",
5,005,1,unparseable,habe ich ganz gewann er wird in der Entschädigungs Sache,,The main clause 'habe ich ganz gewann' lacks a governing verb form; 'gewann' (preterite of gewinnen) cannot stand with ',
5,005,1,unparseable,Ein tausend vnd gibt Trzcinski vor,,'Ein tausend vnd' is syntactically detached; no case or preposition links the sum to the following clause.,
5,005,1,flagged,auf Anweisung der Zerboni an König,"upon an instruction (Anweisung) of Zerboni, to König","alt: upon a dismissal/refusal (Abweisung) of Zerboni | Mandatory flag for every occurrence of this pair; context (a payment made) favours Anweisung, but the rea",
5,005,1,flagged,die höchst Sie dem Zerboni davon ledirt haben ſöllen,which you are said to have most highly assigned away to Zerboni [uncertain: ledi,alt: which you are said to have most highly injured/impaired to Z | Both a legal cession and a legal 'laesio' are possible senses; the transcribed word supports,
5,005,1,flagged,und komt Zerboni damit in die Quare,and thus Zerboni comes into the difficulty of it,alt: and Zerboni thereby comes into question / is thereby called  | May be a Latinism ('in die Quare kommen' = to be brought into question) or a corrupt word.,
5,005,1,flagged,der Bä sowicht,the [uncertain: Bä] scoundrel,alt: the base scoundrel / der Bösewicht (the villain) | Two readings with the same general drift but different word count.,
5,005,2,unparseable,Ewr Durchlaucht Bau unterthänigsten Diener,,'Bau' stands between the address and the closing formula and has no construction; possibly a corrupted abbreviation.,
5,005,2,flagged,In tiefer Ehrfurcht,In deepest reverence,alt: In deep reverence | House style renders the formula 'In tiefster' as 'In deepest reverence'; the text as transcribed is the weaker positive form.,
5,005,2,flagged,meine durch die Zeit am Ewr Durchlaucht gesandte Schreiben,the letters sent in the course of time to Your Serene Highness,alt: my letters sent over time to Your Serene Highness — 'am' for | Reading 'an' makes Triebenfeld the sender; no other reading yields sense.,
5,005,1,watchlist-spotcheck,in tausend vnd gibt Trzcinski vor schon davon auf Anweisung der,,"random sample on ""vor"" - not a suspected error, a probe on under-flagging",
6,006,1,unparseable,"In Betref der ersten muß ich nur daß der Kayser und König entschädigen müßen, un",,"verb missing after ""muß ich nur"" (presumably ""sagen""); clause left incomplete as transcribed",
6,006,1,unparseable,W. die 85/[m?] d. von Kaemen ist baar gegebenes Geld von Ewer Durchlaucht darum ,,"opening ""W."" unexplained; ""Zeitung des Wort geben"" does not construe",
6,006,1,unparseable,Ein alter Freund behandelt die Donner und zu kurzen hoffe ich am Rande zu sein.,,"""die Donner"" and ""am Rande zu sein"" yield no coherent sense; ""zu kurzen"" presumably ""in kurzem""",
6,006,1,unparseable,Übrigens gnädigster Fürst und Herr ertheilen Sie ſehr ſchrift man Sie glauben,,"does not construe; ""ertheilen ... ſehr ſchrift"" unintelligible as written",
6,006,1,flagged,In Würdembergsehen ist vor der Hand nichts zu thun,In the Würtemberg matter there is for the present nothing to be done,"alt: ""vor der Hand"" could also be read as ""von der Hand"" (out of  | vor/von watch-list pair; corrupted place-adjective",
6,006,1,flagged,die Curische Angelegenheit / die Carische Erkennen,the Curish affair / the Carish [heirs?],alt: Both may be the same designation (Curische / Carische Erben  | inconsistent spelling of the same party within one page,
6,006,1,flagged,wozu aber wieder Zerboni noch sonst ein Gewürme der Act helfen kan,but to which end again neither Zerboni nor any other vermin of the act[ion] can ,"alt: ""wieder"" = ""weder"" (neither), giving ""neither Zerboni nor... | wieder/weder confusion; the correlative ""noch"" argues for ""weder"", but the text as given rea",
6,006,1,flagged,diese giebt rth Nacht und compensirt sich,this yields rth by night and is set off,"alt: ""rth"" may be an abbreviated sum in Rthl; ""Nacht"" may be ""nic | single-letter confusion Nacht/nicht reverses the clause",
6,006,1,flagged,was die wollen beschätigen,"what they will, they confirm","alt: ""beschätigen"" may be ""bestätigen"" (confirm) or ""beschädigen"" | one letter apart, opposed meanings",
6,006,2,unparseable,schur lische Zögerung,,word division and reading uncertain; no attested form,
6,006,2,unparseable,als es ihm Barbe in Sarhörsiſchen Tone geſagt hat,,"""Sarhörsiſchen"" is not an attested adjective; possibly a place- or manner-adjective corrupted",
6,006,2,unparseable,selbst Große-ſahren dazu ſchmel und gerne Mißntrags,,does not construe; several words corrupt,
6,006,2,unparseable,"bis sie gelegen heit standen, in Jannen zu Blicken",,"""standen"" for ""fanden""?; ""in Jannen"" unintelligible",
6,006,2,unparseable,zwey kopillen Räthe,,"""kopillen"" is not an attested word",
6,006,2,unparseable,Eine noch schnellene Annahmung der Churischen Erben,,"""Annahmung"" not a standard form; sense (acceptance? approach? Anmahnung = admonition?) unsettled",
6,006,2,unparseable,"Gericht, Sie aber gnädigster Fürst darüber nicht zu sprechen",,"""Gericht"" stands isolated; construction incomplete",
6,006,2,unparseable,auf jeden Falle bitte ich defach,,"""defach"" unintelligible; sentence breaks at the page end",
6,006,2,flagged,Es blieb dan nichts abrig als schur lische Zögerung da man die Bestätigung von e,"There then remained nothing but sheer delay, since one obtained the confirmation","alt: ""da"" may be temporal (""when one obtained"") rather than causa | als/da watch-list pair",
6,006,2,flagged,wodurch man sich daß sich der Dieb retten wolte,whereby one [saw] that the thief wished to save himself,"alt: possibly ""wodurch man sieht, daß..."" (whereby one sees); ver | missing finite verb",
6,006,2,flagged,Zahlt er ala bonheuri - sagt er sich los,"If he pays, à la bonheur — if he disclaims","alt: ""sagt er sich los"" could mean ""if he renounces/frees himself | idiom ambiguous in legal context",
6,006,3,unparseable,pr. C. Hoffett und Geld tren,,"postscript fragment; ""Hoffett"" and ""tren"" not intelligible; possibly an address line or an abbreviation for a remittance",
6,006,3,flagged,wir glauben daher daß erkauft,we therefore believe that [he is] bought,"alt: possibly ""daß er kauft"" (that he is buying); the word divisi | erkauft / er kauft — one space apart, different meanings",
6,006,3,flagged,ich werde auch keinen die Bahn vertreten,I too shall bar no one's path,"alt: ""vertreten"" with ""die Bahn"" normally means to block/bar the  | idiom ambiguous",
6,006,3,flagged,und ich habe so wahr Gott ist nichts das meist. Adolph selbst,"and I have, as God is true, nothing, [and] most of all Adolph himself","alt: ""das meist"" may be ""das meiste"" (the most) or an abbreviatio | clause relation unresolved",
6,006,3,flagged,wie man sich hier Bummeln muß,how one must knock about here,"alt: ""sich bummeln"" is not standard; could be ""sich tummeln"" (bes | B/T Kurrent confusion",
6,006,1,watchlist-spotcheck,aemen ist baar gegebenes Geld von Ewer Durchlaucht darum darfür,,"random sample on ""von"" - not a suspected error, a probe on under-flagging",
7,007,1,unparseable,Aufs neue durch einen Brief meines Vaters an Eus kurtz laucht Gnade angewiesen,,"""Eus kurtz laucht"" is not a form of address that parses; apparently a garbled ""Ew. Durchlaucht"". The syntax of ""angewies",
7,007,1,unparseable,mit keiner Antwort beruht worden bin,,"""beruht"" does not govern this construction; probably a misreading of ""beehrt"" (honoured) or ""begnadigt"". Left as transcr",
7,007,1,unparseable,mein deiller Brief,,"""deiller"" is not a German word; likely a corrupted ordinal (dritter?).",
7,007,1,unparseable,meine Dreißigkeit,,"""Dreißigkeit"" (thirtiness) is not a word in this sense; likely ""Dreistigkeit"" (boldness).",
7,007,1,flagged,angewiesen,directed [uncertain: instructed],alt: abgewiesen = refused/dismissed | Listed rare confusion pair; every occurrence flagged.,
7,007,2,unparseable,Eu Hochfürstlichen Drehl aucht,,"""Drehl aucht"" is a garbled ""Durchlaucht""; rendered from the evident honorific but the letters as transcribed do not form",
7,007,2,unparseable,mit Klape beſchwerlich fallen,,"""Klape"" is not a German word; possibly ""Klagen"" (complaints).",
7,007,2,unparseable,verſamme ich,,"""versamme"" is not a verb; the closing formula requires ""verharre"" or ""ersterbe"".",
7,007,2,flagged,mir ... die Adresse meines Vaters zukommen zu lassen,would let the address of my father reach me,alt: The infinitive is split across the sentence and the governin | ,
7,007,1,watchlist-spotcheck," zu wenden, obgleich ich noch von Eu Durchlaucht mit keiner Ant",,"random sample on ""von"" - not a suspected error, a probe on under-flagging",
8,008,1,unparseable,"Die beifolgende zuvermünden meinen armen Kinder brachte, mich beinahe zum Wahnsi",,"""zuvermünden"" is not a German word and the case of ""meinen armen Kinder"" does not agree; the syntactic role of the enclo",
8,008,1,unparseable,die Wärmer müßen zu erhängern,,"Neither ""Wärmer"" nor ""erhängern"" yields a construable clause.",
8,008,1,unparseable,Dölchen Seiche sind nur die Klagelieder der verlaßenen Kinder im Herzen,,"""Dölchen Seiche"" is not construable; the predication is inverted as it stands.",
8,008,1,unparseable,Seine und Glieder mögte mir erlahmen,,"""Seine"" has no antecedent and the verb does not agree with a plural subject.",
8,008,1,unparseable,"Mann schweizt gewalt den Wochen, über das was gegen das pp Gutachten geschehen i",,"""schweizt gewalt den Wochen"" is ungrammatical; ""pp"" is an unexpanded abbreviation.",
8,008,1,unparseable,und hätte ich nicht durch dem adten B. - es am gehörigen Ort wißen laßen daß dHl,,Chain of unexpanded abbreviations and a possibly corrupt name; the referent cannot be established.,
8,008,1,unparseable,Außer ein paar Worte von kurischen Mandatarius,,Sentence fragment with no main verb; its connection to what precedes or follows is undetermined.,
8,008,1,flagged,einen von 25 um 27ten Novbr.,one of the 25th about the 27th of November,"alt: ""one of the 25th and [und] the 27th of November"" – reading "" | u/n confusion; the arithmetic of ""3 Briefe"" favours ""und"", but the text as transcribed reads",
8,008,1,flagged,"und bleiben ich noch lange, wieder pro Monath aber 60 Rthl","and if I remain here yet a long while, then again 60 Rthl per month","alt: ""and let me remain here yet a long while, but again 60 Rthl  | ""bleiben ich"" is ungrammatical; the conditional sense is supplied by context, not by the Ger",
8,008,1,flagged,die Wärmer müßen zu erhängern,the [uncertain: Wärmer] must be [uncertain: hanged / kept],"alt: ""die Wärmer müssen zu erhalten [sein]"" = ""the [wet-nurses/wa | Neither word parses as written; the sense cannot be settled from the text.",
8,008,1,flagged,selbst die Können nun schon Credit haben,even they can now already have credit,"alt: ""even the Könen [a name?] can now already have credit"" – ""di | Capitalisation in the transcription is not reliable, but a capitalised noun after ""die"" invi",
8,008,1,flagged,laßen Sie dort meine Kinder nicht heugern,do not let my children starve there,"alt: ""heugern"" is not a German word; if for ""hungern"", ""starve"";  | The word as transcribed does not exist.",
8,008,1,flagged,Dölchen Seiche sind nur die Klagelieder der verlaßenen Kinder im Herzen,Daggers [uncertain: Dölchen Seiche] are only the lamentations of the abandoned c,"alt: ""Dolchenstiche sind mir die Klagelieder…"" = ""the lamentation | ""Seiche""/""Stiche"" and ""nur""/""mir"" are each a minim apart.",
8,008,1,flagged,Seine und Glieder mögte mir erlahmen,My [uncertain: Seine] and limbs might be crippled,"alt: ""Sehnen und Glieder möchten mir erlahmen"" = ""my sinews and l | Flagged rather than repaired.",
