canonical,variant,count,kind,distance,letter,page,scan,context
Schlawenschitz,Schlawenschütz,2,place,1.0,303,2,Oe_1_Bu_9454_0543_a1-L303_02.jpg,30. Fleischer Rilitzer in Schlawenschütz — Courant 1188 Rthl 13 g
Schlawenschitz,Schlawenschutz,1,place,1.0,61,2,Oe_1_Bu_9454_0117_a-L61_02.jpg,von hier abreisen um den 16ten in Schlawenschutz sein – ohne
Schlawenschitz,Schlawinschitz,1,place,0.4,72a,1,Oe_1_Bu_9454_0142_b-L72a_01.jpg,Reise nach Schlawinschitz angetreten. 2 bis 3000 Rthl Geld
Schlawenschitz,Schlawentzitz,1,place,1.6,227,4,Oe_1_Bu_9454_0429_a-L227_04.jpg,"nach Schlawentzitz - der Contract würde geschloßen, und H. S."
Köckritz,Kochlitz,2,person,1.4,140,4,Oe_1_Bu_9454_0276_a-L140_04.jpg,Mit Bomstadt sieht alles schrecklich verworren aus Glenck Kochlitz [We
Köckritz,Kochlitz,2,person,1.4,147,3,Oe_1_Bu_9454_0286_a2-L147_03.jpg,ich mich von Glenck und Kochlitz nicht laßen
Köckritz,Kochriz,1,person,1.2,57,4,Oe_1_Bu_9454_0110_a-L57_04.jpg,Kochriz war so redlich und both nur 100 fr. d. or an ich schlug es aus
Köckritz,Rochritz,1,person,1.4,183,1,Oe_1_Bu_9454_0349_b-L183_01.jpg,der bedere Rochritz wird auch grausam mitgenommen
Zagorowo,Jogorowo,1,place,1.4,200,1,Oe_1_Bu_9454_0379_a-L200_01.jpg,in ein paar Tagen und den gehe ich sogleich nach Jogorowo um bis zum 7
Hardenberg,Hardemberg,1,person,0.4,262,3,Oe_1_Bu_9454_0479_a2-L262_03.jpg,"Hardemberg, die dem König von Brandreich vorgeschoßene und nach Coblen"
Hardenberg,Herrenberg,1,person,1.4,291,2,Oe_1_Bu_9454_0525_a1-L291_02.jpg,"nicht mehren mich denn ich gehe ab, wenn Herrenberg"
Michaelis,Michael,1,person,0.8,191,2,Oe_1_Bu_9454_0362_a1-L191_02.jpg,und Einsassen Ewr Durchlaucht noch 4000 Rthl schuldig die sie auf Mich
Michaelis,Micheli,1,person,0.8,198,1,Oe_1_Bu_9454_0376_b-L198_01.jpg,1. Trąbczyn erhalten Ewr Durchlaucht bis höchstens Micheli zurück
Schenck,Schicken,6,person,1.2,12,1,Oe_1_Bu_9454_0020_b-L12_01.jpg,"Schicken Ewer durchlaucht die 200 Ducaten eiligst, oder ich muß mich t"
Schenck,Schicken,6,person,1.2,62,1,Oe_1_Bu_9454_0117_b-L62_01.jpg,laßen? Schicken Sie Guld das bitte ich sehr - Admissiren Sie gütigst I
Schenck,Schenk,3,person,0.8,31,2,Oe_1_Bu_9454_0056_a1-L31_02.jpg,Sansta[?] Schenk 800 Rthl
Schenck,Schenk,3,person,0.8,191,11,Oe_1_Bu_9454_0366_a2-L191_11.jpg,Da übrigens der fäule Schenk wie er sagt crepiren
Schenck,Schick,2,person,1.2,35,2,Oe_1_Bu_9454_0064_a1-L35_02.jpg,nicht nachgehen — die Folgen davon werden noch großen Einflus auf manc
Schenck,Schick,2,person,1.2,303,1,Oe_1_Bu_9454_0542_a-L303_01.jpg,10. Der Tischler Schick — Courant 3400 Rthl
Schenck,Schanck,1,person,0.4,34,1,Oe_1_Bu_9454_0061_b-L34_01.jpg,weniger Kosten solten als Schanck allen - ich that dies umsamme da sic
Schenck,Schench,1,person,0.4,48,2,Oe_1_Bu_9454_0093_a-L48_02.jpg,Ich habe dies alles durch den Justiz Bürgermeister Schench aus Neusatz
Schenck,Schack,1,person,1.2,295,2,Oe_1_Bu_9454_0529_a1-L295_02.jpg,ginal Acten hingeben –? Jezwischen hat Schack die Resolutionen ein
Schenck,Scheack,1,person,1.0,297,3,Oe_1_Bu_9454_0533_a2-L297_03.jpg,den H. Ass. Scheack nicht genüge. Die Ursache ist nicht
Bernhard,Burghards,1,unknown,1.4,303,2,Oe_1_Bu_9454_0543_a1-L303_02.jpg,33. Burghards Wittwe in Erfurt
Lombardini,Lombardin,1,person,1.6,21,1,Oe_1_Bu_9454_0034_b-L21_01.jpg,laßen Sie doch Lombardin wenigstens
Preußen,Preußl,5,place,0.8,74c,1,Oe_1_Bu_9454_0157_a2-L74c_01.jpg,Königl. Preußl. Ober Landes Gericht von Schlesien
Preußen,Preußl,5,place,0.8,254,6,Oe_1_Bu_9454_0469_a2-L254_06.jpg,Adresse des König Preußl Ober Post Direktor Herrn Mann in Wien gehen z
Preußen,Prensten,1,place,0.8,62,1,Oe_1_Bu_9454_0117_b-L62_01.jpg,Briefe an den König Prensten Ober Post Director Mann in Wien wohnhaft
Polajewo,Polajewer,2,place,0.8,87,3,Oe_1_Bu_9454_0182_a2-L87_03.jpg,"Krotoszyner und Polajewer Büter, zwischen dem Hochseeligen König"
Polajewo,Polajewer,2,place,0.8,89,8,Oe_1_Bu_9454_0189_a-L89_08.jpg,toszyner Polajewer und Ewr Durchlaucht Güter heraus gebracht
Polajewo,Polagewo,1,place,0.4,84,2,Oe_1_Bu_9454_0176_a1-L84_02.jpg,wird mehr als bey Polagewo profitirt - den da muß
Lichnowski,Lichnowsky,1,person,0.4,32,1,Oe_1_Bu_9454_0057_b-L32_01.jpg,1.) Lichnowsky so an Oppenheimer übertragen sind 32300 Rthl
Lichnowski,Walichnowski,1,person,1.6,118a,2,Oe_1_Bu_9454_0237_a1-L118a_02.jpg,Walichnowski hat so eben geschrieben will ausführlich wißen
Cabanis,Cabanic,2,unknown,0.8,59,4,Oe_1_Bu_9454_0114_a-L59_04.jpg,noch immer fort. Honrichs war gestern mit Cabanic hier dürfte der
Cabanis,Cabanic,2,unknown,0.8,63,3,Oe_1_Bu_9454_0119_a2-L63_03.jpg,nebst Schenck und Cabanic des Bonaparter Portrait (nehmlich
Cabanis,Cabanio,1,unknown,0.8,122,1,Oe_1_Bu_9454_0241_a2-L122_01.jpg,Cabanio reiſet ſo eben mit der Poſt nach Hus
Cabanis,Cabunis,1,unknown,1.0,126,1,Oe_1_Bu_9454_0245_a2-L126_01.jpg,Cabunis ist mit den Hussiten zurück — Es hat
Cabanis,Cavaliers,1,unknown,0.8,136,4,Oe_1_Bu_9454_0264_a-L136_04.jpg,"Übrigens sind 2 Cavaliers da, die Szetlewek nehmen wollen. Sie geben p"
Südpreußen,Säupreußen,1,place,1.6,24,2,Oe_1_Bu_9454_0041_a2-L24_02.jpg,Die dem Fürsten Hohenlohe in Säupreußen hinter Pexen in der Werthe bel
Südpreußen,Südpräufische,1,place,1.6,78,3,Oe_1_Bu_9454_0165_a2-L78_03.jpg,daß ich bey dem kaysl. hochlöbl. Südpräufische
Dresden,Dreßden,2,place,0.8,178,2,Oe_1_Bu_9454_0336_a1-L178_02.jpg,Dreßden d 8ten Nov:
Dresden,Dreßden,2,place,0.8,238,3,Oe_1_Bu_9454_0446_a2-L238_03.jpg,Dreßden ankomt. Wie ich heute höre waren
Königsberg,Nigsberg,1,place,1.6,42,1,Oe_1_Bu_9454_0077_b-L42_01.jpg,Nigsberg zurück zu kehren.
Königsberg,Königiberg,1,place,1.0,56,2,Oe_1_Bu_9454_0107_a1-L56_02.jpg,Ich brenne vor Begmode in Königiberg bald alles ausführlich zu erfahre
Königsberg,Künigsberg,1,place,0.4,59,3,Oe_1_Bu_9454_0113_a2-L59_03.jpg,"Major v Pirch nicht im Künigsberg ist, so wird man Ihre Sache so schle"
Schlesien,Schleßen,1,place,1.0,217,1,Oe_1_Bu_9454_0407_b-L217_01.jpg,"daß ich Schleßen und Brau verlassen müßen,"
Schlesien,Schluſe,1,place,1.2,222,4,Oe_1_Bu_9454_0418_a-L222_04.jpg,Mein ältester Sohn der in 2 ten Schluſe zuſaren Regiment diente
Schlesien,Schleſen,1,place,0.8,264,2,Oe_1_Bu_9454_0482_a1-L264_02.jpg,ſo will er mit ſein großes Vermögen in unſer Land ziehen und ſich im S
Würtemberg,Wüstemberge,1,place,1.0,262,2,Oe_1_Bu_9454_0479_a1-L262_02.jpg,"Aus beigehendes Buch ist ein großer Theil entlehnt, wie es für die Zuk"
Humboldt,Humbolts,1,person,0.8,249,1,Oe_1_Bu_9454_0461_b-L249_01.jpg,von Humbolts Gesinnungen überzeuge Ewr Durchlaucht die Beilage.
Pourtales,Poustales,2,person,1.0,277,2,Oe_1_Bu_9454_0504_a1-L277_02.jpg,Poustales hat noch nicht geantwortet. Bezuglaubt daß er des ehestens s
Pourtales,Poustales,2,person,1.0,280,1,Oe_1_Bu_9454_0507_a2-L280_01.jpg,"langen B: der sich ehrerbietigst empfiehlt, sieht Poustales Ankunft"
Eysenhardt,Eysenhard,2,person,0.8,160,2,Oe_1_Bu_9454_0304_a1-L160_02.jpg,Mit Eysenhard werde ich die Sache morgen aufs reine bringen
Eysenhardt,Eysenhard,2,person,0.8,179a,2,Oe_1_Bu_9454_0341_a2-L179a_02.jpg,6. An Eysenhard sehr Szetlewek
Öhringen,Obringen,2,place,0.4,38,1,Oe_1_Bu_9454_0071_b-L38_01.jpg,so komme ich nach Obringen verwalten es aber den Geschäfte
Öhringen,Obringen,2,place,0.4,40,1,Oe_1_Bu_9454_0073_b-L40_01.jpg,durchlaucht sich in Obringen zu füßen zu legen.
Öhringen,Owringen,1,place,1.0,15,1,Oe_1_Bu_9454_0022_b-L15_01.jpg,"Owringen ab, worin dem E. August bekannt gemacht wird, daß Sr Majestät"
Szetlewek,Szettlewch,1,place,1.6,31,3,Oe_1_Bu_9454_0056_a2-L31_03.jpg,"Szettlewch, mit die 6000 Rthl Schaden wegen nicht erhaltener Pacht war"
Szetlewek,Stetlewek,1,place,1.0,173,3,Oe_1_Bu_9454_0324_a2-L173_03.jpg,"Wegen Stetlewek würde ich noch diese Woche alles beendigen, und dadurc"
Broniewski,Broniszewski,1,person,1.6,119,1,Oe_1_Bu_9454_0239_a-L119_01.jpg,mit der Sache treiben will - Er weis es doch zu gut deß Broniszewski
Broniewski,Bruniewskischen,1,person,1.2,141,1,Oe_1_Bu_9454_0278_b-L141_01.jpg,So fand ich hier die Lage in betreff Bruniewskischen Geschichte - Nich
Broniewski,Bruniewski,1,person,0.4,141,1,Oe_1_Bu_9454_0278_b-L141_01.jpg,Dieſen Buben aber nicht glücken – Erſt ſoll nur Bruniewski sufficiente
Neisse,Neiss,1,place,0.8,240,2,Oe_1_Bu_9454_0449_a1-L240_02.jpg,"die jezt in Neiss zusammen gezogen wird, und aus 55000 Mann besteht"
Neisse,Reisse,1,place,0.4,254,6,Oe_1_Bu_9454_0469_a2-L254_06.jpg,die Briefe nach Reisse auf der Preußen Post und unter obiger Addresse
Betschen,Petsche,1,place,0.4,119,1,Oe_1_Bu_9454_0239_a-L119_01.jpg,Der Geometer Cabanis hat vor 3 Jahre das Gütchen Petsche unter
Betschen,Bersch,1,place,1.0,130,2,Oe_1_Bu_9454_0250_a1-L130_02.jpg,"alles ab, gehe von hier nach Bersch ende mit"
Betschen,Betrch,1,place,1.0,139,3,Oe_1_Bu_9454_0273_a2-L139_03.jpg,nicht kommt gegen Abend nach Betrch ab in dorten nichts zu ver-
Betschen,Betache,1,place,1.0,141,2,Oe_1_Bu_9454_0279_a1-L141_02.jpg,Durchl. In Betache hat der Jude eine ebenmäßige Pfändung vor
Betschen,Beteche,1,place,1.0,187,2,Oe_1_Bu_9454_0353_a1-L187_02.jpg,"Heute gehe ich nach Beteche u. dorten alles zu ordnen, besonders"
Betschen,Betschin,1,place,0.8,215,4,Oe_1_Bu_9454_0403_a1-L215_04.jpg,"In Betschin stehen bedeutende Reste, als der jährliche Canon von"
Betschen,Betscha,1,place,0.8,297,4,Oe_1_Bu_9454_0534_a-L297_04.jpg,Kurz so bald ich gewiße gehe ich nach Bonn und Betscha. Bitte um alle 
Betschen,Betechen,1,place,1.0,299,1,Oe_1_Bu_9454_0535_a2-L299_01.jpg,und ſuche den Müzzen heraus der aus Betechen zu ziehen ist:
Garczynski,Garczynsken,1,person,0.8,70,1,Oe_1_Bu_9454_0136_a-L70_01.jpg,"Seine des Weckers Caution werde ich Garczynsken anweisen, damit man de"
Kunckel,Henckel,2,unknown,0.8,55,2,Oe_1_Bu_9454_0105_a1-L55_02.jpg,"Das ist nicht wahr, die Gräfin Henckel auf"
Kunckel,Henckel,2,unknown,0.8,195,2,Oe_1_Bu_9454_0372_a1-L195_02.jpg,das der seel. Koloma das Quest: Testament an den Legationsrath Henckel
Kunckel,Künzel,1,unknown,1.2,70,2,Oe_1_Bu_9454_0137_a1-L70_02.jpg,Raczhowski und Künzel stehen mit Honrichs der Sache vor - alles ist
Kunckel,Kunzels,1,unknown,1.2,70,2,Oe_1_Bu_9454_0137_a1-L70_02.jpg,"des Placzkowzin und Kunzels Briefe lege ich bey, bitte mir aber alles"
Kunckel,Kunkel,1,unknown,0.8,124,1,Oe_1_Bu_9454_0243_a-L124_01.jpg,"In meinen Schreiben so ich Kunkel mit sende, werde ich"
Wartensleben,Wartenleben,3,person,0.8,218,2,Oe_1_Bu_9454_0410_a1-L218_02.jpg,"trieben werden muß, weil Wartenleben schon seit einiger Zeit mit dem"
Wartensleben,Wartenleben,3,person,0.8,220,1,Oe_1_Bu_9454_0412_a-L220_01.jpg,späth den ſchon hatte Wartenleben mit einem Banquirotten Kaufmann aus 
Wartensleben,Wartenclaben,1,person,1.4,218,1,Oe_1_Bu_9454_0409_b-L218_01.jpg,Der Plan ist eigentlich mit dem Gen. Gr: Wartenclaben auf Schurgart zu
Bornstädt,Bomstadt,2,person,1.2,140,1,Oe_1_Bu_9454_0274_b-L140_01.jpg,"Sr Durch ein Schreiben d. po Bomstadt eingegangen wäre, worüber er als"
Bornstädt,Bomstadt,2,person,1.2,140,4,Oe_1_Bu_9454_0276_a-L140_04.jpg,Mit Bomstadt sieht alles schrecklich verworren aus Glenck Kochlitz [We
Bornstädt,Bornstædt,1,person,1.0,215,4,Oe_1_Bu_9454_0403_a1-L215_04.jpg,1000 Rthl und viele Ländemien aus. Bornstædt ist von den Rest
Dąbska,Dąmbska,3,person,0.8,55,4,Oe_1_Bu_9454_0106_a-L55_04.jpg,"ihm ſo beſchränkt und dem Graf Dohna [Dąmbska?] untergeordenet hat, da"
Dąbska,Dąmbska,3,person,0.8,195,2,Oe_1_Bu_9454_0372_a1-L195_02.jpg,spielen - Dohna [Dąmbska?] wird wohl abgehen - Er hat schon über 4000 
Niedzewiecki,Niedzewrieckischen,1,person,1.6,302,2,Oe_1_Bu_9454_0541_a-L302_02.jpg,Niedzewrieckischen Erben die noch rükſtändigen Tobkanſts-Gelder um meh
Petersburg,Peterburg,1,place,0.8,193,1,Oe_1_Bu_9454_0369_b-L193_01.jpg,Nach Obrist Scharffenbergs Versicherung gähret es in Peterburg bis zum
Sachßen,Fachßen,2,place,0.4,2,4,Oe_1_Bu_9454_0004_a-L2_04.jpg,"Landes Gericht, und nach Fachßen an der Justiz Behörde, worunter Oppur"
Sachßen,Fachßen,2,place,0.4,244,2,Oe_1_Bu_9454_0453_a1-L244_02.jpg,Wegen Fachßen wird viel gesprochen — Es wird aber wohl bey dem längst 
Sachßen,Fächste,1,place,0.8,60,3,Oe_1_Bu_9454_0115_a2-L60_03.jpg,Meine schönen Fächste die unter Brüdern 1000 Rthl werth waren hat Loen
Potsdam,Potadam,1,unknown,1.0,79,1,Oe_1_Bu_9454_0166_b-L79_01.jpg,Der Minister Ge. Hoym ist heute nach Potadam berufen
Potsdam,Potsdum,1,unknown,1.0,134,7,Oe_1_Bu_9454_0259_a2-L134_07.jpg,einer Stunde nach Potsdum zu Pliehen dieser sagte mich vor etlichen
Schimmelpfennig,Schmëlpfennigs,1,person,1.6,224,2,Oe_1_Bu_9454_0424_a1-L224_02.jpg,Schmëlpfennigs Verhoffen mehr fonds zu dieser Requisition
Zagorow,Zagoran,1,unknown,1.2,284,2,Oe_1_Bu_9454_0514_a1-L284_02.jpg,Weigel seine 30000 Rthl sind auf Zagoran übertragen.
Radzinski,Radenski,1,person,1.2,22,3,Oe_1_Bu_9454_0036_a2-L22_03.jpg,Radenski der von der Regierung angestellt ist zieht alles
Radzinski,Radzewski,1,person,1.4,74b,1,Oe_1_Bu_9454_0156_a2-L74b_01.jpg,"Genehmigen Sie gnädigster Herr dies, so senden Sie Radzewski"
Radzinski,Radzimski,1,person,0.4,136,4,Oe_1_Bu_9454_0264_a-L136_04.jpg,"Mit Radzimski in Szetlewek bey ich soweit fertig, daß er sein Jahr"
Swiątniki,Swiętnik,1,place,1.2,32,1,Oe_1_Bu_9454_0057_b-L32_01.jpg,9.) Swiętnik desgleichen 1800
Swiątniki,Swiątniker,1,place,0.8,213,2,Oe_1_Bu_9454_0398_a1-L213_02.jpg,"Swiątniker Bauren wegen den Gründen, dieser ist schon im Land"
Kolno,Kollo,1,place,0.4,141,1,Oe_1_Bu_9454_0278_b-L141_01.jpg,Kollo bald ist sie in Warschau. Kurz die Menschen gehe auf nichts aus
Göschel,Groschens,1,person,1.2,141,1,Oe_1_Bu_9454_0278_b-L141_01.jpg,haft daß er keines Groschens wertl. Sicherheit gewährte
Göschel,Göschet,1,person,0.4,249,2,Oe_1_Bu_9454_0462_a1-L249_02.jpg,"Der Gehl Rath Göschet hat mir anlagende Vollmacht ausgegeben, daß Ewr"
Göschel,Göschell,1,person,0.8,249,2,Oe_1_Bu_9454_0462_a1-L249_02.jpg,die Gnade und fertigen die solche aus - laßen aber den Nahmen Göschell
Göschel,Goeschel,1,person,0.8,267,1,Oe_1_Bu_9454_0486_a2-L267_01.jpg,Geheimen Rath v. Goeschel - Ferner auf den Revers für ß wegen Koschent
Metzig,Melzig,1,person,0.4,71,1,Oe_1_Bu_9454_0138_a-L71_01.jpg,"Vollmachten unterschrieben und untersiegelt, zu schicken, damit Melzig"
Talleyrand,Taellerand,2,unknown,1.6,11,1,Oe_1_Bu_9454_0018_b-L11_01.jpg,"Taellerand und jezt wird der Kayser Franz und alle, außer unsern Herrn"
Talleyrand,Taellerand,2,unknown,1.6,21,1,Oe_1_Bu_9454_0034_b-L21_01.jpg,Fürstenthum Löevicz haben - und Taellerand soll gehegt werden.
Schulze,Schulm,1,person,1.0,20,1,Oe_1_Bu_9454_0032_b-L20_01.jpg,"Schulm Ewr Durchlaucht mir indes die 1000 Centl Eysen, so bringe ich a"
Schulze,Schuller,1,person,1.0,64,6,Oe_1_Bu_9454_0124_a2-L64_06.jpg,"wohne große Schuller Straße 872, wo ich auf Credit lebe, den ihm"
Schulze,Schultz,1,person,0.8,78,1,Oe_1_Bu_9454_0164_a-L78_01.jpg,und bin bey dem Geh. Ewang Rath Schultz gewesen.
Wittow,Witowes,1,place,0.8,31,2,Oe_1_Bu_9454_0056_a1-L31_02.jpg,intermitisch genommen um die famore Witowes Geschichte aus der Welt zu
Wittow,Wyttow,1,place,0.4,215,5,Oe_1_Bu_9454_0403_a2-L215_05.jpg,Wegen Wyttow habe ich durch der Schiffen einen Prozess
Beyhm,Beyms,1,person,0.8,133,4,Oe_1_Bu_9454_0255_a-L133_04.jpg,seines Herr Beyms prahlen
Frankfurth,Franchfurth,1,place,1.2,129,1,Oe_1_Bu_9454_0248_b-L129_01.jpg,Ich habe heute weder aus Berlin noch aus Franchfurth briefe.
Frankfurth,Fraudfurth,1,place,1.4,136,12,Oe_1_Bu_9454_0268_a-L136_12.jpg,Fraudfurth an der Oder
Glogau,Klogau,1,place,0.4,136,3,Oe_1_Bu_9454_0263_a2-L136_03.jpg,"Der Groß Kanzler hat der Regierung zu Klogau befohlen, alle Gelder und"
Grenoble,Grenobla,1,place,0.8,4,1,Oe_1_Bu_9454_0006_b-L4_01.jpg,soll er ſchon etliche 30000 Mann ſtarck ſein und das ganze Geſchütz wa
Hannover,Hanover,1,place,0.8,53,2,Oe_1_Bu_9454_0101_a1-L53_02.jpg,gehauen 4 Kanonen mit sich genommen eilt nach Cassel und von da nach H
Massow,Mussow,1,person,1.0,55,4,Oe_1_Bu_9454_0106_a-L55_04.jpg,so wird Mussow den Abschied mit dem Bemerken erhalten –
Prittwitz,Prittwyl,1,place,1.6,99,1,Oe_1_Bu_9454_0204_b-L99_01.jpg,"verhält, sagt daß dem 9. f. v. Knobloch und Prittwyl"
Prittwitz,Prittwiz,1,place,0.8,103,2,Oe_1_Bu_9454_0214_a1-L103_02.jpg,"rey zwischen Prittwiz und Plench, als auch das stete"
Tietz,Tieten,1,person,0.8,77,1,Oe_1_Bu_9454_0162_a-L77_01.jpg,Die Contracte habe ich alle hier nur die von Tieten
Tietz,Dietz,1,person,0.4,134,2,Oe_1_Bu_9454_0257_a1-L134_02.jpg,"und sind blos von einem gewißen Dietz, Werner, Juden Borchart,"
Amstetten,Anstalt,1,person,1.2,46,1,Oe_1_Bu_9454_0087_b-L46_01.jpg,Anstalt zur lang Zahlung mehr.
Amstetten,Anstatt,1,person,0.8,152,1,Oe_1_Bu_9454_0292_a-L152_01.jpg,Woche die Sache vereitelt - Anstatt Geld erhielt ich von Bernhardi
Amstetten,Anstalten,1,person,1.2,219,1,Oe_1_Bu_9454_0411_b-L219_01.jpg,"sie in den Plan entrirn nach Münse, mache auch sogleich Anstalten mein"
Bartenstein,Bertenstein,1,place,0.4,267,1,Oe_1_Bu_9454_0486_a2-L267_01.jpg,Fürst Bertenstein Stetten ist von Paris retournirt - Er hatte eine bed
Bartenstein,Bastenstein,1,place,1.0,277,1,Oe_1_Bu_9454_0503_a2-L277_01.jpg,Gesetzt darin ihm gewaltig beygeben wird. Gestern hat nicht nur E. Bas
Breiten,Reit,1,place,0.8,51,1,Oe_1_Bu_9454_0097_b-L51_01.jpg,Stunde der an ihm schon vor 8 Tagen geschickte Reit: Bothe ist noch
Breiten,Brint,1,place,0.8,55,3,Oe_1_Bu_9454_0105_a2-L55_03.jpg,Ohne Brint zu erregen wird mit Organisirung der Armen bey uns vorgesch
Breiten,Preises,1,place,0.8,120,1,Oe_1_Bu_9454_0240_a2-L120_01.jpg,"aufgehört hat, des annehmlichen Preises wegen, bald die Anzahl"
Emilie,Emilii,1,person,0.8,66,3,Oe_1_Bu_9454_0128_a2-L66_03.jpg,daß die Prinzeß Emilii recht glücklich sein möge wünsche ich von Grund
Erfurth,Exfurth,1,place,1.0,41,1,Oe_1_Bu_9454_0075_b-L41_01.jpg,ihm jene Tour zu machen. Heute ist es nüslich den Weg nach Exfurth
Gneizenau,Gniesenau,1,person,1.2,59,4,Oe_1_Bu_9454_0114_a-L59_04.jpg,Französehen General Gniesenau[?]: hin gegeben habe - Man droht ihn zu 
Scharnhorst,Scharnhoritz,1,person,1.8,59,4,Oe_1_Bu_9454_0114_a-L59_04.jpg,"Scharnhoritz, braun ich durchaus nicht; es kan ihm aber sein Ziel nahe"
Scharnhorst,Scharnharft,1,person,0.8,206,1,Oe_1_Bu_9454_0387_b-L206_01.jpg,hard hat mir noch keine Sylbe geschickt - Scharnharft hat viel
Schulenburg,Schulemberg,1,person,0.8,79,3,Oe_1_Bu_9454_0167_a2-L79_03.jpg,Herr Graf Schulemberg hatt den Hochseeligen Herrn zu jenigen
Schöler,Schön,1,person,0.8,64,4,Oe_1_Bu_9454_0123_a2-L64_04.jpg,O Schön! er ſoll geholfen werden.
Schöler,Schönen,1,person,0.4,217,1,Oe_1_Bu_9454_0407_b-L217_01.jpg,"Schönen muß ich mir wohl, Ew. Hochwohlgebl."
Schöler,Schonen,1,person,0.4,259,2,Oe_1_Bu_9454_0474_a-L259_02.jpg,ſind aber er geth gerade und hängt Ihnen treulich an. – Schonen Sie we
Schöler,Schos,1,person,0.8,297,3,Oe_1_Bu_9454_0533_a2-L297_03.jpg,Schos hat H. p. Scheach Vollmacht von mir und Ewr Hochwohl-
Schöler,Schoen,1,person,0.8,303,3,Oe_1_Bu_9454_0543_a2-L303_03.jpg,38. Schoen in Jacobswalde — Courant 800 Rthl
Spanien,Panin,1,place,0.8,84,2,Oe_1_Bu_9454_0176_a1-L84_02.jpg,"Petersburg kommen, und Panin soll auch seinen Ab-"
Uminski,Uminshi,1,person,0.4,119,1,Oe_1_Bu_9454_0239_a-L119_01.jpg,Aus diesen Anverlangen geht hervor daß Uminshi nur sein Gespötte
Zerbonis,Zerbone,1,place,0.8,280,2,Oe_1_Bu_9454_0508_a1-L280_02.jpg,wortet was Ewr Durchlaucht lezthin Zerbone schrieb - und an Kayser sol
Zerbonis,Zerbini,1,place,1.0,297,2,Oe_1_Bu_9454_0533_a1-L297_02.jpg,so bündig gemacht und Zerbini hält ihm für ein Meisterstück
Zerbonis,Zesboni,1,place,1.0,297,4,Oe_1_Bu_9454_0534_a-L297_04.jpg,Ich habe selbst Zesboni 2 wohl in Posen gesprochen er verspricht alles
,Moscinska / Moszynska,4,SEED-PAIR,0.8,,,,Moscinska x3 vs Moszynska x1
