key,pad,page,transcribed,proposed,decision,why
90006601,oe1bu14526-001,1,H. Criminal in Grimm,H. Criminalrath Grimm,n,ruled on; no longer proposed by the translator
0224477c,oe1bu14526-005,2,eine Vergleich schließen laßen,einen Vergleich schließen laßen,n,gender agreement
bd6f8bf2,oe1bu14526-005,7,gehen Herr Käufer,giebt Herr Käufer,n,ruled on; no longer proposed by the translator
8fef6e26,oe1bu14526-006,12,für angemeßen und mir nachteilig,für unangemeßen und mir nachtheilig,n,ruled on; no longer proposed by the translator
911cc692,oe1bu14526-007,1,Person Ihnen als,"Personen, nemlich als",n,ruled on; no longer proposed by the translator
d8891baf,oe1bu14526-008,2,und Einkaufsegeld und den dieses Einkaufsgeld,"als Einkaufsgeld, und da dieses Einkaufsgeld",n,ruled on; no longer proposed by the translator
249cbb07,oe1bu14526-008,4,Schuler Capital,Rthaler Capital,n,ruled on; no longer proposed by the translator
1e8c1dcd,oe1bu14526-008,6,Erbkünster muß sich auf eigene Kosten gekommen,Erbpächter muß sich auf eigene Kosten erbauen,n,ruled on; no longer proposed by the translator
aa7d4cbf,oe1bu14526-008,8,nen dieser der Can ens,und muß dieser der Consens,n,ruled on; no longer proposed by the translator
0c788e1f,oe1bu14526-008,11,gewesen zeichen der Genehmigung,zum Zeichen der Genehmigung,n,'in token of approval'
30c27145,oe1bu14526-008,15,des großen schwarzen und rothen Adlerordens,des großen schwarzen und rothen Adlerordens,n,ruled on; no longer proposed by the translator
1088d378,oe1bu14526-011,4,auf [p?] seine eigene sonsten,auf seine eigenen Kosten,n,ruled on; no longer proposed by the translator
d02bdd40,oe1bu14526-011,4,um besitze von wird,"und seine Nachkommen im Besitze, von",n,ruled on; no longer proposed by the translator
b0930569,oe1bu14526-011,5,diesen drey susten,diesen drey Hufen,n,Refers back to the three Hufen of §. I.
6c1d428c,oe1bu14526-011,6,durch Verkauf über Verkauff zu vermeßern,durch Verkauf oder Tausch zu veräußern,n,ruled on; no longer proposed by the translator
c2551de0,oe1bu14526-011,8,bezahlt dem ErbPächter,bezahlt der ErbPächter,n,ruled on; no longer proposed by the translator
493afaf5,oe1bu14526-011,10,Fall gen dieser e Entstagung Ab heiten,Folgen dieser Entsagung,n,"""Fallgen"" for ""Folgen"", ""Entstagung"" for ""Entsagung""."
f7e8e847,oe1bu14526-011,10,Ueber nebung seiner vorgefallenen Verleppung aber und unter der hälfte,"Uebervortheilung, der vorgefallenen Verletzung über und unter der Hälfte",n,ruled on; no longer proposed by the translator
cf706c95,oe1bu14526-013,1,Ko poyner,Kopoyner,n,ruled on; no longer proposed by the translator
143462e1,oe1bu14526-013,3,übernimmt sie Erbpächter,übernimmt der Erbpächter,n,"Singular verb and following ""für sich und seine Nachkommen"" indicate a singular subject."
e82a69e4,oe1bu14526-013,6,Sie durchlaucht das Fürst zu Hohenlohe Ingelfingen,Sr. Durchlaucht des Fürsten zu Hohenlohe-Ingelfingen,n,ruled on; no longer proposed by the translator
6a441a06,oe1bu14526-014,1,Erkund Gericht Herrn,Erb- und Gerichtsherrn,n,"""Erb- und Gerichtsherr"" (hereditary and judicial lord) is the standard title"
f09320b3,oe1bu14526-014,5,kam ren Erbzinße,kahren (baren) Erbzinße,n,ruled on; no longer proposed by the translator
f4091bf4,oe1bu14526-016,4,Eintausend darauf Hundert,Eintausend Fünfhundert,n,ruled on; no longer proposed by the translator
b27710f6,oe1bu14526-016,4,Facit für 10 Hufen 225 rttl,225 rttl,n,ruled on; no longer proposed by the translator
d4981ccc,oe1bu14526-016,6,aber noch man Erbpächtere,übernehmen Erbpächtere,n,ruled on; no longer proposed by the translator
13411898,oe1bu14526-019,4,Laude mien,Laudemien,n,ruled on; no longer proposed by the translator
60fb9d00,oe1bu14526-019,8,wichtige holländische Rand Ducaten,wichtige holländische Rand-Ducaten (i.e. full-weight),n,ruled on; no longer proposed by the translator
0d83a7fe,oe1bu14526-019,15,welcher ihnen dahin erklärt würde,welcher ihnen dahin erklärt wurde,n,ruled on; no longer proposed by the translator
a2c1e861,oe1bu14526-019,16,den der deutschen Sprache nicht vollkommenen kündigen Deputirten nur Stadt und D,... Deputirten der Stadt- und Dorfgemeinden,n,ruled on; no longer proposed by the translator
bcc30f8e,oe1bu14526-021,2,an den Herrn Käufer bei Vermeidung derer im Land Recht festgesetzten zwangsmitte,an den Herrn Verkäufer ... bezahlt (or: vom Herrn Käufer ... bezahlt),n,§ 4 makes the purchaser the payer of the canon; the transcribed § 5 makes him the payee. Not folded into the translation.
90106a03,oe1bu14526-023,14,dieserhalb sant abgehaltenen,dieserhalb abgehaltenen,n,ruled on; no longer proposed by the translator
ef5d0333,oe1bu14526-026,2,in Pfand Schilling besizt,in Pfandschilling besitzt,n,ruled on; no longer proposed by the translator
d5bb3693,oe1bu14526-027,2,um die Armen Leuthe leiden werden müßen,und wie die Armen Leuthe leiden werden müßen,n,ruled on; no longer proposed by the translator
18cec969,oe1bu14526-030,1,in dem General Capitulo des herl. Martini Anno 1767 approbiret,des heil. Martini (St. Martin's),n,ruled on; no longer proposed by the translator
baf12bd4,oe1bu14526-031,2,przy nienieyszym Przyvileju nie naruszenie Konserwować,przy niniejszym Przywileju nienaruszenie konserwować,n,ruled on; no longer proposed by the translator
ef9b3a78,oe1bu14526-010,9,me,nie,n,ruled on; no longer proposed by the translator
da331222,oe1bu14526-031,2,JJWW,JJWW = Jaśnie Wielmożni,n,ruled on; no longer proposed by the translator
9c7ad2a2,oe1bu14526-003,2,Furen Wiesen,"Huthen/Hutungen, Wiesen",n,ruled on; no longer proposed by the translator
608bbb8d,oe1bu14526-004,5,Krobilawer Wäldern,Kroblawer / Krobielewer Wäldern (Kroblewo?),n,ruled on; no longer proposed by the translator
5f6fe2c8,oe1bu14526-009,3,Preußen Convent,preußisch Courant / Conventionsgeld,n,ruled on; no longer proposed by the translator
83b72d3b,oe1bu14526-009,4,Bebringen,Bebauen / Bestellen,n,ruled on; no longer proposed by the translator
ea2e5231,oe1bu14526-009,9,Stromuch,Strauchwerk / Strauch,n,ruled on; no longer proposed by the translator
a4288c8b,oe1bu14526-010,11,Brauer,"Brauer (name of second witness or the word ""Brauer"" = brewer)",n,ruled on; no longer proposed by the translator
f89d3fb2,oe1bu14526-011,4,ammeren,annuellen / jährlichen,n,ruled on; no longer proposed by the translator
eacfe4ac,oe1bu14526-011,11,a. u. s. Schenck,a. u. s. (ad universa scribenda?) Schenck,n,ruled on; no longer proposed by the translator
510455f4,oe1bu14526-013,5,wem Einen Thaler,[soll] Einen Thaler,n,ruled on; no longer proposed by the translator
c75ddb5e,oe1bu14526-014,1,Subforestis,Subscribentibus / Unterschriebenen,n,ruled on; no longer proposed by the translator
4c53a160,oe1bu14526-016,3,Götzstellen,Gestrüppstellen or Gatzstellen,n,ruled on; no longer proposed by the translator
9e2595b9,oe1bu14526-016,18,Marianton,Marianowo (?),n,No place of this name occurs elsewhere in the holding; the 1806 confirmation would be expected at a chancery seat. Not folded into the translation.
4887e5d9,oe1bu14526-018,28,heimiget,beglaubiget / bescheiniget,n,'heimiget' is not a German verb form; the attestation formula requires 'beglaubigt' or 'bescheinigt'.
163cfd02,oe1bu14526-022,1,[?]raudchreig[?],"possibly a surname such as ""Braunschweig"" or a chancery hand's signature",n,"The letter-shapes rendered as 'raudchreig' resemble the Kurrent for -aunschweig; but the reading cannot be settled from this copy, and no second copy of this in"
d59a7e73,oe1bu14526-023,1,Ew. Rath Guderian,Crim[inal]. Rath Guderian,n,ruled on; no longer proposed by the translator
eb439ae0,oe1bu14526-023,7,in tens schon Sprache,in Abschrift / in extenso,n,ruled on; no longer proposed by the translator
fb799c9c,oe1bu14526-023,10,aushändigen sola sten,auszuhändigen sind / ausgehändigt werden sollen,n,ruled on; no longer proposed by the translator
90fec231,oe1bu14526-026,3,bey dieser Geschichte,bey dieser Geschäfte / in dieser Sache,n,ruled on; no longer proposed by the translator
6a65f4b8,oe1bu14526-026,4,bedenket,bezeichnet / Handzeichen,n,ruled on; no longer proposed by the translator
1bf211fc,oe1bu14526-026,4,Jacob Kriede,Jacob Reise (?),n,ruled on; no longer proposed by the translator
31fb8ebd,oe1bu14526-028,1,2/M. rt.,2/m Rthl (2000 Rthl),n,ruled on; no longer proposed by the translator
1798177c,oe1bu14526-028,1,Ehe von Radozimski,Ehren von Radozimski / den Herrn von Radozimski,n,ruled on; no longer proposed by the translator
d6e7799f,oe1bu14526-028,2,Curss,Cours / Riss,n,ruled on; no longer proposed by the translator
3e6a6eeb,oe1bu14526-001,1,Legistratur,Registratur,y,ruled on; no longer proposed by the translator
a7f1f106,oe1bu14526-001,1,Abten / Ahten,Acten,@26 Abten -> Acten ; @34 Ahten -> Acten,ruled on; no longer proposed by the translator
37b6bf65,oe1bu14526-001,1,Wittowes Ahten,Witower Acten,Wittowes Acten,ruled on; no longer proposed by the translator
111c660b,oe1bu14526-002,1,DonctionsUmlünde,Donations-Urkunde,@72 Donctions -> Donations ; @73 Umlünde -> Urkunde,context requires 'deed of donation'; the Kurrent letters r/n and k/l are readily confused
fa4fa909,oe1bu14526-002,1,zu behar Rechten,zubehörigen Rechten,zu behörigen Rechten,ruled on; no longer proposed by the translator
42f01aef,oe1bu14526-002,1,Ferst-Inspector / Forst-Inspector,Forst-Inspector,@60 Ferst-Inspector -> Forst-Inspector,ruled on; no longer proposed by the translator
50334375,oe1bu14526-002,2,verbühren,verliehen,y,ruled on; no longer proposed by the translator
69251e0e,oe1bu14526-002,2,zu Weyernster,zu Weihnachten,y,ruled on; no longer proposed by the translator
b8f1f93d,oe1bu14526-002,2,überügert,übereignet,y,ruled on; no longer proposed by the translator
fff25be2,oe1bu14526-002,3,evenirt,evincirt,y,ruled on; no longer proposed by the translator
536eefcd,oe1bu14526-002,3,aller Aesprüche,aller Ansprüche,y,ruled on; no longer proposed by the translator
bb03ef51,oe1bu14526-002,3,in vin diciren,zu vindiciren,@119 Kosten in vin -> Kosten zu vin,ruled on; no longer proposed by the translator
a19973e7,oe1bu14526-002,4,ser Käufer,der Käufer,y,ruled on; no longer proposed by the translator
6599cc21,oe1bu14526-002,4,Uebergabe Receßl,Uebergabe-Receß,Uebergabe Receß,ruled on; no longer proposed by the translator
a79a6d89,oe1bu14526-002,5,ren 800 rtl.,von 800 rtl.,y,ruled on; no longer proposed by the translator
2d33cdf1,oe1bu14526-002,5,berahlen,bezahlen,y,ruled on; no longer proposed by the translator
41c36681,oe1bu14526-002,6,Kind,Wird,y,ruled on; no longer proposed by the translator
bb8caa81,oe1bu14526-002,6,Stepairten,stipulirten,@210 Stepa -> stipul,legal formula for an agreed rent
6c4541ac,oe1bu14526-002,6,Vater und Semmer-Saat,Winter- und Sommer-Saat,@218 Vater -> Winter ; @218 Sem -> Som,the following clause speaks of Winter-Saat and Sümmerung
59027f9a,oe1bu14526-002,7,die Küster dieses Contracts,die Kosten dieses Contracts,y,ruled on; no longer proposed by the translator
9a40f378,oe1bu14526-002,7,Näußern,Käufern,y,ruled on; no longer proposed by the translator
e05aa5e7,oe1bu14526-002,7,nie vadium,ein vadium,@242 nie vadium -> ein vadium,ruled on; no longer proposed by the translator
d71c792b,oe1bu14526-002,8,Kriesern,Käufern,y,ruled on; no longer proposed by the translator
950bf228,oe1bu14526-002,8,abzustieden,abzufinden,y,ruled on; no longer proposed by the translator
ba3ae0ab,oe1bu14526-002,9,im Nachmitt,im Nahmen,y,ruled on; no longer proposed by the translator
240a7dde,oe1bu14526-002,10,des Freien Fürstl. Stift zu Vincenz,des Frauen Fürstl. Stifts zu St. Vincenz,des Frauen Fürstl. Stift zu Vincenz,ruled on; no longer proposed by the translator
ced30c1e,oe1bu14526-003,1,Häuser,Käufer,y,ruled on; no longer proposed by the translator
d24ceb9a,oe1bu14526-003,1,Greust,Gneust,y,ruled on; no longer proposed by the translator
fe53a033,oe1bu14526-003,2,Gelanski / Galanska,Galanski / Galanska,n,ruled on; no longer proposed by the translator
73e8887f,oe1bu14526-003,3,Greust,Gneust,y,ruled on; no longer proposed by the translator
8e2a3eba,oe1bu14526-003,3,Szostawa,Szostaki,y,ruled on; no longer proposed by the translator
ba448253,oe1bu14526-003,4,hier brauen,Bier brauen,y,ruled on; no longer proposed by the translator
2abf4f6a,oe1bu14526-003,4,Betscher Huf,Betscher Hof,y,ruled on; no longer proposed by the translator
0b850c34,oe1bu14526-003,5,seppige,jetzige,y,ruled on; no longer proposed by the translator
53011845,oe1bu14526-003,5,Anker,Aeker,y,ruled on; no longer proposed by the translator
35f3b682,oe1bu14526-003,6,fast gesetzten,fest gesetzten,y,ruled on; no longer proposed by the translator
11a166ed,oe1bu14526-003,6,Hypotheken Kuche,Hypotheken Buche,y,ruled on; no longer proposed by the translator
497532a5,oe1bu14526-003,7,Kreis Steuer Innehmer,Kreis Steuer Einnehmer,y,ruled on; no longer proposed by the translator
194f57e1,oe1bu14526-003,9,Hypotheken Bauhe,Hypotheken Buche,y,ruled on; no longer proposed by the translator
4fa0cced,oe1bu14526-004,1,Me sevitzer Kreise,Meseritzer Kreise,Me seritzer Kreise,ruled on; no longer proposed by the translator
fffbe563,oe1bu14526-004,1,Pösenschen,Posenschen,y,ruled on; no longer proposed by the translator
b17a7f9f,oe1bu14526-004,1,Müng-Fuße,Münz-Fuße,y,ruled on; no longer proposed by the translator
f7fa9acb,oe1bu14526-004,1,Fürster,Fürsten,y,ruled on; no longer proposed by the translator
8239b06d,oe1bu14526-004,2,8/5 d. / 3 1/5 d.,8 4/5 d. / 3 1/5 d. (or similar fractional Pfennige),n,ruled on; no longer proposed by the translator
a7118878,oe1bu14526-004,2,in §. 2. bemerkten Kirchen Cupitalien (p.4),in §. 3. bemerkten Kirchen-Capitalien,@732 in §. 2. bemerkten -> in §. 3. bemerkten,ruled on; no longer proposed by the translator
c7f5d155,oe1bu14526-004,3,Höchst Denenschen,Höchstdenenselben,@681 Höchst Denenschen -> Höchstdenenselben,ruled on; no longer proposed by the translator
85d69183,oe1bu14526-004,3,Grund-Tücke,Grundstücke,y,ruled on; no longer proposed by the translator
10298d08,oe1bu14526-004,3,Gewehr / Gewehrsleistung,Gewähr / Gewährleistung,n,ruled on; no longer proposed by the translator
eb42e58a,oe1bu14526-004,4,Aufer,Außer,y,ruled on; no longer proposed by the translator
5b281a3d,oe1bu14526-004,4,Cupitalien,Capitalien,n,ruled on; no longer proposed by the translator
1994bb00,oe1bu14526-004,4,Etwanige alte re Rückstände,Etwanige ältere Rückstände,Etwanige älte re Rückstände,ruled on; no longer proposed by the translator
8b269471,oe1bu14526-004,5,des Herrn Käufers Durchlaucht (§. 9),des Herrn Verkäufers Durchlaucht,n,ruled on; no longer proposed by the translator
4072dc19,oe1bu14526-004,6,In doch,Jedoch,Je doch,ruled on; no longer proposed by the translator
cf8e5c1d,oe1bu14526-004,6,aus quantworten,auszuantworten,@780 quantwor -> zuantwor,Standard chancery verb for delivering up documents.
18b27396,oe1bu14526-004,6,Verlegung über die Hälfte,Verletzung über die Hälfte,@795 legung -> letzung,"The term of art is laesio enormis, Verletzung über die Hälfte; Verlegung is a single-letter confusion."
d6499315,oe1bu14526-004,7,nur,uns,y,ruled on; no longer proposed by the translator
69db03aa,oe1bu14526-004,7,könne. Justiz-Commissiende Rath,königl. Justiz-Commissions-Rath,@832 könne. Justiz-Commissiende Rath -> königl. Justiz-Commissions-Rath,ruled on; no longer proposed by the translator
83ad6fa1,oe1bu14526-004,8,dum Grunde,dem Grunde,y,ruled on; no longer proposed by the translator
6decd1b0,oe1bu14526-004,8,Francfort 1/2,Francfort a/O,Francfort a/O,ruled on; no longer proposed by the translator
4c3a98fe,oe1bu14526-005,1,Einsoßen Feldern,"Einsaßen, Feldern",y,ruled on; no longer proposed by the translator
72d23921,oe1bu14526-005,1,Bau Banco Pendant,Königl. Banco Rendant,Bau Banco Rendant,ruled on; no longer proposed by the translator
8559af50,oe1bu14526-005,4,Jos. sessorinn,possessorium,Pos. sessorium,ruled on; no longer proposed by the translator
80f248ac,oe1bu14526-005,6,gericht haben,geruht haben,y,ruled on; no longer proposed by the translator
3617d7be,oe1bu14526-005,6,Birge,Kirche,y,ruled on; no longer proposed by the translator
dc37273c,oe1bu14526-006,1,Krieg es und derst Rath,Krieges- und Forstrath,Krieg es und Forst Rath,ruled on; no longer proposed by the translator
d5ad313a,oe1bu14526-006,3,auf unerwährende Zeuten,auf unwährende/immerwährende Zeiten,@1179 Zeu -> Zei,ruled on; no longer proposed by the translator
28015f0b,oe1bu14526-006,4,keine Nachfolger,seine Nachfolger,y,ruled on; no longer proposed by the translator
2905e13f,oe1bu14526-006,6,fehnide,befindliche,n,ruled on; no longer proposed by the translator
1e7972c8,oe1bu14526-006,7,Tane,Tonne,y,ruled on; no longer proposed by the translator
2759a02d,oe1bu14526-006,8,es mir immer wolle,es nur immer wolle,y,ruled on; no longer proposed by the translator
9675a525,oe1bu14526-006,9,Deiner hochfürstlichen Durchlaucht,Seine hochfürstliche Durchlaucht,y,ruled on; no longer proposed by the translator
93b4eb55,oe1bu14526-006,10,Auspflichten,Ausflüchten,y,ruled on; no longer proposed by the translator
c3e97c87,oe1bu14526-007,1,Pełnomocrikiem,Pełnomocnikiem,y,ruled on; no longer proposed by the translator
3795c2db,oe1bu14526-007,1,zawarty zostat Kontrakt,zawarty został Kontrakt,y,ruled on; no longer proposed by the translator
2af12ace,oe1bu14526-007,1,czymi wiadomo,czyni wiadomo,y,ruled on; no longer proposed by the translator
54e1b669,oe1bu14526-007,3,mit der sondern hälfte,mit der andern hälfte,y,ruled on; no longer proposed by the translator
97aa4fc0,oe1bu14526-007,3,dieser Er Zinß,dieser Erbzinß,dieser Erb Zinß,ruled on; no longer proposed by the translator
85e25387,oe1bu14526-007,4,herunter gehegt,herunter geleget,y,ruled on; no longer proposed by the translator
4bc956c8,oe1bu14526-007,4,sonderthalb,anderthalb,y,ruled on; no longer proposed by the translator
78af3d3e,oe1bu14526-007,5,Erbzuse der sonstigen,Erbzinse oder sonstigen,@1624 Erbzuse -> Erbzinse ; @1625 der sonstigen -> oder sonstigen,ruled on; no longer proposed by the translator
baf6b95e,oe1bu14526-007,6,ni genthümlich,eigenthümlich,ei genthümlich,ruled on; no longer proposed by the translator
6100fb80,oe1bu14526-007,6,Brennholtz Hoder Hütung,Brennholtz oder Hütung,y,ruled on; no longer proposed by the translator
7dcc591e,oe1bu14526-007,7,seinen Reichsthaler,einen Reichsthaler,y,ruled on; no longer proposed by the translator
6248d4a5,oe1bu14526-007,8,Landemium,Laudemium,y,ruled on; no longer proposed by the translator
d37a0e2b,oe1bu14526-007,8,es mir immer wolle,es nur immer wolle,y,ruled on; no longer proposed by the translator
ca6fe643,oe1bu14526-007,8,Unberschwemmung,Ueberschwemmung,@1696 Unber -> Ueber,ruled on; no longer proposed by the translator
