letter,line,decision,confidence,cue,ratio,prev_len,page_measure,prev_line,context
3,443,break,high,rubric,0.77,36,47,Frey Schulzen des Betscher Schlüßels,VIII.
3,455,break,high,rubric+short_line,0.6,27,45,Summer Bestellung verkauft.,IX.
3,474,break,high,rubric+short_line,0.24,11,46,Endlich und,XI.
3,488,break,high,short_line,0.37,17,46,und ausdrücklich.,zu Urkund dessen ist gegenwärtiger Kaufpricht
3,497,run,review,short_line,0.34,17,50,gerechselt worden,So geschehen Birnbaum den 24ten Juny 1797
3,499,break,high,short_line+column,0.56,28,50,(L. S.) Joseph von Jankowski,(L. S.) Andreas Ernst Gneust.
3,500,break,high,short_line,0.58,29,50,(L. S.) Andreas Ernst Gneust.,daß die denen Endes unterzeichneten Gerichts Personen
3,517,break,high,short_line,0.62,26,42,Birnbaum den 24 Juny 1797.,Goeker
3,518,break,high,short_line+column,0.14,6,42,Goeker,Justiz Bürger Meister
3,519,break,high,short_line+column,0.5,21,42,Justiz Bürger Meister,und Justitiarius hieselbst
3,520,break,high,short_line+column,0.62,26,42,und Justitiarius hieselbst,(L. S.)
3,521,break,high,short_line+column,0.17,7,42,(L. S.),Bauer
3,522,break,high,short_line+column,0.12,5,42,Bauer,Stadt und Justiz Seon
3,523,break,high,short_line+column,0.5,21,42,Stadt und Justiz Seon,hieselbst
3,524,run,review,short_line,0.21,9,42,hieselbst,Actum Betsche den 6ten May 1799.
3,534,break,high,rubric+short_line,0.26,11,42,erschienen.,"1, der Verkäufer Joseph von Jankowski"
3,535,break,high,rubric,0.88,37,42,"1, der Verkäufer Joseph von Jankowski",2. der Kaufer Kreis Steuer Einnehmer Gneust
3,549,break,high,short_line,0.61,22,36,bedächtig vor Gericht.,wie sie diesem Kauf Contract hiermit
3,553,run,review,short_line,0.36,13,36,halten wollen,Besonders erklärte der Verkäufer von
3,555,run,review,short_line,0.25,9,36,Jankowski,wie er das verkaufte Grundstük dem
3,563,run,review,short_line,0.25,9,36,genehmige,daß der Titulus possessionis für den
3,567,break,high,short_line,0.44,16,36,richtiget werde.,Womit dieses Verlautbarungs Protocoll zur
3,575,break,high,short_line+column,0.42,16,38,Joseph Jankowski,Andreas Ernst Gneust
3,576,break,high,short_line+column,0.53,20,38,Andreas Ernst Gneust,Eichaust
3,577,break,high,short_line+column,0.21,8,38,Eichaust,Schleich
3,578,break,high,short_line+column,0.21,8,38,Schleich,Hintsch
3,579,run,review,short_line,0.18,7,38,Hintsch,Wir wollen nun auf das Ansuchen der Contrahenten
3,587,run,review,short_line,0.39,15,38,fertigen lassen,so geschehen Betsche den 6ten May 1799
3,589,run,review,short_line,0.42,16,38,Fürstl. Hohenloh,Ingelfingensches GerichtsAmt hieselbst
3,591,break,high,short_line+column,0.18,7,38,Schenck,p.t. Justitiarius
3,592,break,high,short_line+column,0.45,17,38,p.t. Justitiarius,Expedirter KaufContract
3,593,break,high,short_line+column,0.61,23,38,Expedirter KaufContract,zwischen den Herrn von
3,594,break,high,short_line+column,0.58,22,38,zwischen den Herrn von,Jankowski und Kreis Steuer
3,595,break,high,short_line+column,0.68,26,38,Jankowski und Kreis Steuer,Einnehmer Gneust
4,612,break,high,rubric+short_line,0.1,4,39,den:,§. 1.
4,629,break,high,rubric,0.92,36,39,"thaler, nach dem Münz-Fuße von 1764.",§. 2.
4,632,break,high,short_line,0.31,12,39,lig bezahlt.,Se. Hochfürstl. Durchlaucht
4,633,run,review,short_line,0.69,27,39,Se. Hochfürstl. Durchlaucht,"quittiren darüber, und bekennen überhaupt,"
4,637,break,high,short_line,0.33,13,39,Käufer haben.,Historisch
4,642,break,high,rubric+short_line,0.21,8,38,hen ist:,A.
4,650,break,high,rubric,1.04,40,38,sung Sr. Hochfürstl. Durchlaucht bezahlt,"b, 88860 rttl 10 g. 3 1/5 d. sind von dem Herrn Käufer"
4,654,break,high,rubric+short_line,0.52,20,38,baar bezahlt worden.,"i. e. 142,000 Rthl"
4,655,break,high,rubric,0.47,18,38,"i. e. 142,000 Rthl",§. 3.
4,659,break,high,rubric,0.99,38,38,Kollno und Kaemen eingetragene Posten:,"a., ein Capital von 100. Floren Ein Hundert"
4,663,break,high,rubric+short_line,0.57,22,38,nisch festgesezt sind.,"b., für eben dieselbe Kirche ein Capital von"
4,664,break,high,rubric,1.14,44,38,"b., für eben dieselbe Kirche ein Capital von",250. rthl. Zwei Hundert und Fünfzig Reichs
4,670,break,high,rubric,0.78,30,38,Herr Käufer von Johannis 1804.,§. 4.
4,674,break,high,short_line,0.54,20,37,in Bausch und Bogen.,"Jedoch leisten Se. Hochfürstl. Durchlaucht, die"
4,676,break,high,rubric+short_line,0.35,13,37,Gewehr dafür:,"a., daß der in den Vermeßungs-Registern"
4,689,break,high,rubric+short_line,0.54,20,37,Jahre eingeschränkt.,"b., daß an öffentlichen Abgaben mehr"
4,691,break,high,short_line+column,0.51,19,37,"nicht, als jährlich",für Kaemen.
4,692,break,high,short_line,0.3,11,37,für Kaemen.,153 rt. 22 g. 8 pf.
4,693,break,high,short_line,0.51,19,37,153 rt. 22 g. 8 pf.,für Kolno
4,694,break,high,rubric+short_line,0.24,9,37,für Kolno,125. rt. 21. g. 2. pf.
4,696,break,high,short_line+column,0.49,18,37,und an geistlichen,Abgaben für
4,697,break,high,short_line+column,0.3,11,37,Abgaben für,Kaemen
4,698,break,high,short_line+column,0.16,6,37,Kaemen,16 rt. 16 pf.
4,699,break,high,short_line,0.35,13,37,16 rt. 16 pf.,auf diesen Güthern haften.
4,700,break,high,rubric+short_line,0.7,26,37,auf diesen Güthern haften.,§. 5.
4,706,break,high,short_line,0.49,18,37,gen sein Bewenden.,Es sind in Absicht der Gewehr zwischen den
4,710,break,high,rubric+short_line,0.47,18,38,angenommen worden.,"a., daß dem Herrn Käufer die Nutzungen"
4,714,break,high,short_line,0.55,21,38,Lasten zu tragen hat.,Etwanige älte
4,715,run,review,short_line,0.34,13,38,Etwanige älte,re Rückstände werden von Sr Hochfürstl.
4,717,break,high,short_line,0.57,22,38,Durchlaucht vertreten.,Auch tragen
4,718,run,review,short_line,0.29,11,38,Auch tragen,Se. Hochfürstl. Durchlaucht das Justitiariats
4,720,break,high,rubric,0.91,35,38,Gehalt bis Michaelis vorigen Jahrs.,"b., daß die Güther dem Herrn Käufer über¬"
4,723,break,high,rubric,1.12,43,38,vorigen Jahres gestanden und gelegen haben.,"c., daß jedoch Herr Käufer nur denjenigen"
4,728,break,high,short_line,0.36,14,38,im Jahre 1786.,nach der dem Herrn Käufer in deut¬
4,732,break,high,rubric+short_line,0.47,18,38,pflichtet gewesen.,§. 6. Außer den in §. 3. bemerkten Kirchen Cu¬
4,751,run,review,short_line,0.07,3,41,Die,Löschungs Kosten aber werden zur Hälfte von
4,754,break,high,rubric+short_line,0.63,26,41,dem Herrn Käufer getragen.,§. 7.
4,761,break,high,rubric+short_line,0.22,9,41,getragen.,§. 8.
4,771,break,high,short_line,0.17,7,41,worden.,Herr Käufer übernimmt diese
4,772,run,review,short_line,0.66,27,41,Herr Käufer übernimmt diese,"rem litigiosam, ohne eine Gewehrs leistung"
4,775,break,high,rubric+short_line,0.32,13,41,zu verlangen.,§. 9.
4,790,break,high,rubric,0.75,30,40,"befindet, inspiciren zu laßen.",§. 10.
4,800,break,high,short_line,0.15,6,40,zogen.,Breslau den 16 ten
4,801,break,high,short_line+column,0.45,18,40,Breslau den 16 ten,Januar 1805.
4,802,break,high,short_line,0.3,12,40,Januar 1805.,Selbst gelesen und genehmiget.
4,806,break,high,short_line+column,0.35,14,40,und genehmiget,Meyer Bernhard im nehmen und
4,807,run,review,short_line,0.7,28,40,Meyer Bernhard im nehmen und,bis auf genehmigung des H. Bco. Director Leixner
4,810,run,review,short_line,0.17,7,40,tigsten,"Fürsten und Herrn, Herrn Friedrich"
4,812,run,review,short_line,0.15,6,40,Ludwig,Regierenden Fürsten zu Hohenlohe
4,830,break,high,short_line,0.34,14,42,mit attestirt.,Breslau den 16ten Januar 1805.
4,832,run,review,short_line,0.58,24,42,Carl Gottlob [Pl...ler?],königl. Justiz-Commissions-Rath und Notarius
4,835,break,high,short_line+column,0.48,20,42,Johann Georg Strebel,als Zeuge.
4,836,break,high,short_line,0.24,10,42,als Zeuge.,Johann Carl Stude
4,837,break,high,short_line+column,0.41,17,42,Johann Carl Stude,als Zeuge.
4,838,break,high,short_line,0.24,10,42,als Zeuge.,"Vorstehenden Kauf Contract habe ich selbst gelesen, und"
4,841,break,high,short_line,0.63,26,42,Oder den 25 Januarii 1805.,George Conrad Leixner
4,842,break,high,short_line+column,0.51,21,42,George Conrad Leixner,Daß der persönlich mir
4,843,break,high,short_line+column,0.53,22,42,Daß der persönlich mir,bekannte dispositions¬
4,853,break,high,rubric,1.1,49,44,Hochseeligen Königs Majestät Friedrich Wilhelm II,"v. 9ten August 1796 adquirirten, in Südpreussen, Po¬"
4,865,break,high,short_line+column,0.16,7,44,Beamten,Unterschrift attestiret.
4,866,break,high,salutation+short_line,0.54,24,44,Unterschrift attestiret.,So geschehen
4,867,run,review,short_line,0.27,12,44,So geschehen,Frankfurt an der Oder am fünf und zwanzigsten
4,869,run,review,short_line,0.13,6,44,Januar,Ein Tausend Achthundert und Fünf.
4,871,break,high,short_line,0.52,23,44,Dr. Ernst Gottlob Born.,Königl. Justiz Beamten vnd
4,872,break,high,short_line+column,0.58,26,44,Königl. Justiz Beamten vnd,"Universitäts Syndikus, auch"
4,873,break,high,short_line+column,0.61,27,44,"Universitäts Syndikus, auch",Assessor der Juristen Fakultät
4,874,break,high,short_line+column,0.67,30,44,Assessor der Juristen Fakultät,zu Frankfurt pp.
5,884,break,high,rubric,0.79,38,48,redet geschloßen und vollzogen worden.,§. 1.
5,889,break,high,short_line+column,0.6,29,48,der Regierung zu Posen in dem,Kreiße gelegene Güther
5,890,break,high,short_line+column,0.46,22,48,Kreiße gelegene Güther,Kollno und Kamionne
5,891,run,review,short_line,0.4,19,48,Kollno und Kamionne,mit sämmtlichen dazu gehörigen Attinenzien und Müh¬
5,915,break,high,rubric,0.87,41,47,64ge Curant zu seinem völligen Eigenthum.,§. 2.
5,928,break,high,short_line,0.3,14,47,gefallen laßt.,Sr. Hochfürstl. Durchlaucht haben mit dem Herr
5,933,break,high,rubric,0.87,41,47,Empfangnahme einer Summe von 53139. Rthl.,"13. Ggl. 8 4/5 Pfl. so fort zurück zu geben, und die"
5,950,break,high,rubric,0.88,40,46,Sept dem Herrn Käufer tradiren zu laßen.,§. 4.
5,959,break,high,rubric+short_line,0.51,23,46,ther ganz schuldenfrey.,§. 5.
5,977,break,high,rubric+short_line,0.5,23,46,jezt erst tradirt wird.,§. 6.
5,985,break,high,rubric,1.0,46,46,sessorium - Erkenntniß festgesetzt worden. Dem,5) eere Käufer steht daher dieses Recht ebenfalls
5,992,break,high,rubric,0.89,41,46,selbe die Erklärung Dr. Durchl. gefallen.,§. 7.
5,998,break,high,rubric+short_line,0.26,12,46,dirt werden.,§. 8.
5,1010,break,high,rubric+short_line,0.09,4,46,ist.,§. 9.
5,1017,break,high,rubric+short_line,0.65,30,46,behalt es dabey sein bewenden.,§. 10.
5,1029,break,high,rubric,0.98,45,46,legenheit zu betreiben und zu Ende zu bringen,§. 11.
5,1036,break,high,rubric+short_line,0.12,5,41,petua,"a., einen Jährlichen Zins von Vier Marck Pohlnisch"
5,1040,break,high,rubric+short_line,0.39,16,41,Gulden Pohlnisch,"b., ein Capital von 250 Rthl oder Ein tausend fünf"
5,1050,break,high,rubric,1.07,44,41,sen nebst Kosten bis Joh. a. c. berichtigen.,"c., an öffentlichen Abgaben für Kamionne"
5,1052,break,high,short_line+column,0.2,8,41,jährlich,153 Rth. 22 ggl. 8 Pf.
5,1053,break,high,short_line,0.54,22,41,153 Rth. 22 ggl. 8 Pf.,desgl. für Kollno Jährl.
5,1054,break,high,rubric+short_line,0.59,24,41,desgl. für Kollno Jährl.,125. Rthl. 21. ggl. 2 Pf.
5,1056,break,high,short_line+column,0.68,28,41,ferner an Geistl. Abgaben in,Kamionne
5,1057,break,high,rubric+short_line,0.2,8,41,Kamionne,16. Rthl. 16 ggl.
5,1059,run,review,short_line,0.17,7,41,welchen,Herr Käufer Jährl. zu bezahlen und zu
5,1061,break,high,short_line,0.51,21,41,richtigen verspricht.,Ferner hat Herr Käufer auf das stipulirte Kauf¬
5,1063,break,high,rubric,0.78,32,41,Pretium der 142000 Rthl bezahlt.,"d., Termino Joh: a c. eine Summe von Sechs und Sie¬"
5,1076,break,high,rubric+short_line,0.45,21,47,Käufer zufrieden ist.,"e., auf den Ueberrest des Kaufgeldes per 66000 Rthl"
5,1079,break,high,rubric+short_line,0.4,19,47,worden den 8. Sept.,a.c. zu Handen des Herrn Ritt
5,1083,break,high,rubric+short_line,0.19,9,47,Quittung.,"f., den letzten Rest der 12860. Rthl. 10. Ggl. 3 1/5 Pf. gehen"
5,1091,break,high,rubric,0.72,34,47,klärung Herr Käufer zufrieden ist.,§. 12.
5,1097,break,high,rubric,0.91,43,47,gen beide Contrahenten zu gleichen Theilen.,§. 13.
5,1106,break,high,short_line,0.53,25,47,niedergeschrieben worden.,Urkundlich
6,1129,break,high,salutation+short_line,0.4,12,30,bart worden.,Actum Trąbczyn den Acht¬
6,1131,break,high,short_line+column,0.7,21,30,zehnten Julius Eintau,send Achthundert und
6,1132,break,high,short_line+column,0.67,20,30,send Achthundert und,Sechs.
6,1133,break,high,short_line,0.2,6,30,Sechs.,Vor unterschriebenem hie¬
6,1136,break,high,short_line+column,0.7,21,30,erschienen persönlich,1tens
6,1147,break,high,rubric+short_line,0.42,10,24,"heits, und",2. der Wirth Blazy Kukulski
6,1157,run,review,short_line,0.54,13,24,meine Zweifel,Die Declarire freywillig
6,1168,break,high,rubric+short_line,0.67,16,24,chen Prottocoll.,§. I.
6,1172,break,high,rubric,0.75,18,24,dem Blazy Kukulski,1. Hufe schreibe Eine Hufe
6,1175,run,review,short_line,0.71,17,24,zu dreyßig Morgen,und jeder Morgen zu Ein¬
6,1181,break,high,rubric+short_line,0.67,16,24,ten in Erbpacht.,§. II.
6,1191,break,high,rubric+short_line,0.12,3,24,ist,§. III.
6,1200,break,high,rubric,1.1,27,24,derselbe hierdurch quittirt,§. IV. Außerdem macht der Blazy
6,1223,break,high,rubric,1.0,24,24,1806. abgetragen werden.,§. V.
6,1246,break,high,rubric,1.0,22,22,migkeit gänzlich frey.,§. VI.
6,1262,break,high,rubric,1.0,22,22,geschränkt disponiren.,§. VII.
6,1270,break,high,rubric+short_line,0.41,12,29,und Feldern.,§. VIII.
6,1275,break,high,short_line,0.45,13,29,Kruge nehmen.,Wenn durch ihn oder seine Leute
6,1285,break,high,rubric+short_line,0.17,5,29,wird.,§. IX.
6,1290,break,high,rubric,1.0,29,29,Erbpächter stetz unterworfen.,"§. X. Erbpächter ist befugt, über diese"
6,1294,break,high,short_line,0.34,10,29,veräußern.,die
6,1306,break,high,short_line,0.25,7,28,werden.,Bey Vererbungen an Kinder
6,1308,run,review,short_line,0.71,20,28,und andere Verwandte,wird kein Laudemium entrich¬
6,1310,break,high,short_line,0.14,4,28,tet.,S. XI.
6,1311,break,high,short_line,0.21,6,28,S. XI.,Erbpächter leistet für sich und
6,1327,break,high,rubric+short_line,0.13,4,30,den.,§. XII.
6,1336,break,high,rubric+short_line,0.17,5,30,kann.,§. XIII.
6,1340,break,high,rubric+short_line,0.5,15,30,zu berichtigen.,§. XIV.
6,1366,break,high,short_line,0.38,11,29,herrschaft.,Beyde Theile versprechen diesen
6,1370,run,review,short_line,0.14,4,29,lich,in Absicht der folgen gerichtlich
6,1390,break,high,short_line,0.54,22,41,bei und unterzeichnet.,v Triebenfeld.
6,1391,break,high,short_line,0.34,14,41,v Triebenfeld.,xxx bedeutet Blazy Kukulski.
6,1392,break,high,short_line,0.68,28,41,xxx bedeutet Blazy Kukulski.,a u s
6,1393,break,high,short_line+column,0.12,5,41,a u s,Schenk
6,1394,break,high,short_line+column,0.15,6,41,Schenk,Justitiarius
6,1395,break,high,short_line+column,0.29,12,41,Justitiarius,Ogrodowicz
6,1396,break,high,short_line+column,0.24,10,41,Ogrodowicz,Protocollführer
6,1397,break,high,short_line+column,0.37,15,41,Protocollführer,General Vollmacht
6,1398,run,review,short_line,0.41,17,41,General Vollmacht,Ich Endes unterschriebenen thue kund und bekenne
6,1418,run,review,short_line,0.63,27,43,Regirung zu Kalisch und bei,"allen andern behörden zu bitten, und respet an¬"
6,1443,run,review,short_line,0.7,30,43,lager bey Verpfänderung meines,jetzigen und künftigen Vermögens
6,1453,break,high,short_line,0.13,5,39,1805.,(L. S.) selbstgelesen und genehmiget
6,1477,run,review,short_line,0.33,10,30,attestiret,Er geschehen im Guhrwitzschen Justiz Amte
6,1480,break,high,rubric,1.61,49,30,Freiherrlich von Stillfried Gehrwitzer Justiz Amt,L.S.
6,1482,break,high,short_line+column,0.23,7,30,Koeppen,Justitiarius
6,1483,break,high,short_line+column,0.39,12,30,Justitiarius,Kaleschke
6,1484,break,high,short_line+column,0.3,9,30,Kaleschke,Actuarius
6,1485,run,review,short_line,0.3,9,30,Actuarius,Urkundlich unter beidrückung des Gerichts
6,1489,break,high,short_line,0.16,5,30,1808.,Aislich von Hohenlohesches Patrimonial Gericht amt Zagorow
6,1491,break,high,short_line+column,0.2,6,30,Hawich,Ausfertigung
6,1492,run,review,short_line,0.39,12,30,Ausfertigung,Das zwischen dem Herrn Krieges und
7,1510,break,high,salutation,1.03,36,35,następuiący zawarty został Kontrakt.,Actum Trąbczyn den Achten Julii
7,1515,break,high,rubric+short_line,0.26,9,35,Ihnen als,1. der Herr Kriegs und ForstRath v.
7,1522,break,high,short_line,0.37,13,35,seiner Seits.,und
7,1523,break,high,rubric+short_line,0.09,3,35,und,2. der Hausländer Wirth Gottlieb Sarre
7,1526,run,review,short_line,0.37,13,35,anderer Seits,Comparenten befinden sich in dem Zustan¬
7,1541,break,high,rubric+short_line,0.68,25,36,rende Zeiten in Erbpacht.,§II. Der Gottlieb Sarre zahlet für die Hufe Mag¬
7,1549,break,high,rubric,0.93,34,36,ohne weiteren Vorbehalt quittiret.,§III.
7,1568,break,high,rubric+short_line,0.34,10,29,richtiget.,§. IV
7,1579,break,high,short_line,0.55,16,29,legt werden muß.,"dasjenige Land, welches bei der"
7,1595,break,high,rubric+short_line,0.3,10,34,Ansprüche.,"§V. Dem Erbpächter stehet es frey, den"
7,1615,break,high,rubric+short_line,0.48,15,31,mindert werden.,§. VI.
7,1627,break,high,rubric,1.0,31,31,"zu berichtigen, und zu leisten.",§. VII
7,1638,break,high,short_line,0.38,12,32,genthümlich.,"Eben so muß Erbpächter, und seine"
7,1643,break,high,rubric,0.92,29,32,"Zuschuß, oder hülfe bewürcken",§. VIII
7,1648,break,high,rubric,0.76,24,32,chen Wäldern und Feldern,§. IX. Sein Geträncke muß Erbpächter
7,1651,run,review,short_line,0.7,22,32,Brauerey und Brennerey,oder aus dem Krug nehmen
7,1663,break,high,rubric+short_line,0.41,12,29,erlegt wird.,§X. Dem Mühlenzwange ist Erbpächter
7,1667,break,high,rubric,0.97,28,29,"weiset, sein Getreide mahlen",§. XI.
7,1675,break,high,rubric+short_line,0.34,10,29,terworden.,§. XII
7,1690,break,high,rubric+short_line,0.3,10,33,vorbehalt.,§. XIII
7,1707,break,high,rubric+short_line,0.21,6,29,finden,§. XIV
7,1711,break,high,rubric,0.86,25,29,Erbpächter zu berichtigen,§. XV
7,1717,break,high,rubric+short_line,0.69,20,29,richtigen laßen kann,§. XVI
7,1742,run,review,short_line,0.2,6,30,lustig,Beide Theile versprechen diesen
7,1765,break,high,rubric+short_line,0.4,10,25,schrieben.,v. Triebenfeld
7,1767,break,high,short_line+column,0.56,14,25,Gottlieb Sarre,Schenk
7,1768,break,high,short_line+column,0.24,6,25,Schenk,Justitiarius
7,1769,break,high,short_line+column,0.48,12,25,Justitiarius,Ogrodowicz
7,1770,break,high,short_line+column,0.4,10,25,Ogrodowicz,Protocoll Führer
7,1771,run,review,short_line,0.64,16,25,Protocoll Führer,Co dla wiary publiczney pod
7,1779,break,high,short_line+column,0.17,5,29,skiey,Hawich
8,1793,break,high,salutation,1.12,29,26,richtlich verlautbart worden.,Actum Trąbczyn den 25ten Martz 1806.
8,1797,break,high,rubric,0.85,22,26,"bekannte Personen, als","1., Herr Krieges und Forst Rath¬"
8,1807,break,high,rubric+short_line,0.35,9,26,Seits und,"2., der Einsaaße Christian"
8,1811,break,high,short_line,0.5,13,26,derer theils.,Comparenten befinden
8,1821,break,high,rubric,1.1,23,21,Contract zum Protocoll.,§. I.
8,1835,break,high,short_line+column,0.71,15,21,währende Zeiten,im Erbfacht.
8,1836,break,high,rubric+short_line,0.57,12,21,im Erbfacht.,§. II.
8,1849,break,high,rubric,0.95,20,21,"vorbehalt, quittirt.",§. III.
8,1873,break,high,rubric,0.95,18,19,Casse berichtigen.,§. IV.
8,1891,break,high,short_line,0.22,4,18,muß.,"dasjenige Land, welches"
8,1907,break,high,rubric,1.06,19,18,gemacht werden muß.,§. V.
8,1941,break,high,rubric,0.83,15,18,mindert werden.,§. VI.
8,1960,break,high,rubric+short_line,0.53,10,19,zu leisten,§. VII.
8,1972,break,high,short_line,0.63,12,19,genthümlich.,Eben so muß Erbpächter
8,1981,break,high,rubric+short_line,0.16,3,19,ken,§. VIII.
8,1989,break,high,rubric+short_line,0.58,11,19,und Feldern,§. IX.
8,2009,run,review,short_line,0.71,12,17,am die Grund,herrschrift erlegt
8,2011,break,high,rubric+short_line,0.29,5,17,wird.,§. X.
8,2020,break,high,short_line,0.35,6,17,S. XI.,von allen und jeden
8,2032,break,high,short_line,0.67,12,18,unterworfen.,S. XII.
8,2033,break,high,short_line,0.39,7,18,S. XII.,ErbPächter und seine
8,2047,run,review,short_line,0.11,2,18,um,schaft erlegt und
8,2051,run,review,short_line,0.06,1,18,3,äußerung eingeholt
8,2057,break,high,rubric,1.06,19,18,bedurch vorbeheilt.,§. XIII.
8,2085,break,high,rubric+short_line,0.24,4,17,den.,§. XIV.
8,2091,break,high,rubric+short_line,0.59,10,17,richtigen.,§. XV.
8,2117,break,high,short_line,0.41,7,17,treten.,Sollte aber ErbPäch¬
8,2140,break,high,short_line,0.59,10,17,verlustig.,beide Theile ver¬
8,2162,run,review,short_line,0.71,12,17,dener Sachen,"sie trugen an,"
8,2166,run,review,short_line,0.71,12,17,fertigen und,haben sich mich
8,2175,break,high,short_line+column,0.54,14,26,"ben, und unter",zeichnet.
8,2176,break,high,rubric+short_line,0.35,9,26,zeichnet.,v. Triebenfeld
8,2180,break,high,short_line+column,0.27,7,26,Schenck,Justitiarius
8,2181,break,high,short_line+column,0.46,12,26,Justitiarius,Ogrodowicz
