letter,page,line,next_line,mark,head,tail,joined,decision,confidence,reason,crosses_page,joined_corpus,joined_dwds,head_corpus,head_dwds,tail_corpus,tail_dwds,context
2,1,44,45,¬,re,girenden,regirenden,join,high,joined form occurs elsewhere in this corpus,False,2,,5,,1,,deiner hochfürstlichen Durchlaucht des re¬ || girenden Herrn Fürsten zu Hohenlo¬
2,4,154,155,¬,Con,sens,Consens,join,high,joined form occurs elsewhere in this corpus,False,13,,0,,1,,6. Verspricht Herr Verkäufer der Con¬ || sens zur Acquisition dieses Guts
2,4,157,158,¬,beschaf,fen,beschaffen,join,high,"joined form attested in DWDS (361,065 hits)",False,0,361065,0,,4,,"stens als Johann a. c. zu beschaf¬ || fen, sollte derselbe aber nicht"
2,4,159,160,¬,diesfälli,ge,diesfällige,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,6,,"erfolgen, so gehet der diesfälli¬ || ge Kauf zurück."
2,4,161,162,¬,we,gen,wegen,join,high,joined form occurs elsewhere in this corpus,False,29,,1,,40,,7. Sollte die Final Resolution we¬ || gen des diesfälligen Contentes
2,4,163,164,¬,Jo,hann,Johann,join,high,joined form occurs elsewhere in this corpus,False,39,,1,,1,,"langer als 14 Tage bis nach Jo¬ || hann a. c. sich vergegern, derge¬"
2,4,164,165,¬,derge,stallt,dergestallt,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,"hann a. c. sich vergegern, derge¬ || stallt, daß die Uebergabe bereits"
2,5,177,178,¬,Jo,hanni,Johanni,join,high,joined form occurs elsewhere in this corpus,False,30,,1,,1,,nämlich bis 14 Tage nach St. Jo¬ || hanni 1804. Pachtweise in Besitz
2,5,179,180,¬,die,ses,dieses,join,high,joined form occurs elsewhere in this corpus,False,93,,604,,11,,"behalten, dagegen über für die¬ || ses Jahr ein Pacht quantum"
2,5,182,183,¬,Ver,ckäufer,Verckäufer,split,high,joined form unattested; both halves are real words,False,0,0,3,0,1,0,"Reichsthaler an Herrn Ver¬ || ckäufer bezahlen, auch sämtl."
2,5,187,188,¬,Propri,et,Propriet,join,high,head is not a word on its own,False,0,9,0,0,13,,auf die Competenz ex Propri¬ || et entrichten ohne dem Herrn
2,5,197,198,¬,Execu,tion,Execution,join,high,"joined form attested in DWDS (2,896 hits)",False,0,2896,0,,7,,sich bey der bereitesten Execu¬ || tion das Guth Witow 14 Tage
2,5,199,200,¬,wirth,schaftlich,wirthschaftlich,split,high,joined form unattested; both halves are real words,False,0,18,3,149694,1,8417,nach Johann 1804 in wirth¬ || schaftlich guten Stande zu räumen
2,5,202,204,,halb,halb,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,halb || halb dem Executiv Process mit
2,6,210,211,¬,stipul,irten,stipulirten,join,high,joined form occurs elsewhere in this corpus,False,3,,0,,1,,4000 rtl nach Abzug der stipul¬ || irten Pacht-Pension von 800 rt
2,6,218,219,¬,Som,mer,Sommer,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,3,,"wöllig bestellter Winter und Som¬ || mer-Saat übergeben, und er¬"
2,6,219,220,¬,er,klären,erklären,join,high,joined form occurs elsewhere in this corpus,False,3,,57,,1,,"mer-Saat übergeben, und er¬ || klären Käufer hiebey, daß sie"
2,6,227,228,¬,Consen,ses,Consenses,join,high,head is not a word on its own,False,0,47,0,27,11,,gleich nach Eingang des Consen¬ || ses zu ihrer Aequisitions
2,7,240,241,¬,Nichthaltungs,oder,Nichthaltungsoder,join,high,head is not a word on its own,False,0,0,0,0,161,,und setzen auf den Nichthaltungs¬ || oder Nohterstellungs Fall dieses
2,7,242,243,¬,Con,ventional,Conventional,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,Contracts ein vadium oder Con¬ || ventional Strafe von 1000 rtll
2,7,256,257,¬,Kauf,Punctalion,KaufPunctalion,split,high,joined form unattested; both halves are real words,False,0,0,79,3524718,1,0,ihnen selbst dem gelesene Kauf¬ || Punctalion welche den Mitkäufer
2,7,260,261,¬,ver,ganziger,verganziger,split,high,joined form unattested; both halves are real words,False,0,0,3,0,1,211,"explicirt werden, nach ver¬ || ganziger"
2,8,276,277,¬,über,Christian,überChristian,split,high,joined form unattested; both halves are real words,False,0,0,79,112520162,11,5381968,Geschehen wie über¬ || Christian Friedrich Rochlitz
2,8,284,285,¬,Tau,send,Tausend,join,high,joined form occurs elsewhere in this corpus,False,39,,0,,7,,"n d. J. zu bezahlenden 6000 rl. Sechs Tau¬ || send Reichsthaler Kauf Gelder, deßgleichen"
2,8,288,290,¬,Rech,ten,Rechten,join,review,crosses a page break - check by hand,True,8,2459102,1,71570,141,295388,"taet vor dem Residuo, auch mit allen Rech¬ || ten und ohne Neuerung, und mit dem in dem"
2,9,291,292,¬,Instrumen,te,Instrumente,join,high,"joined form attested in DWDS (1,905,352 hits)",False,0,1905352,0,,13,,"künftig zu errichtenden Kaufs Instrumen¬ || te zu bedingenden, bei Eintragung des Be¬"
2,9,292,293,¬,Be,siz,Besiz,join,high,joined form occurs elsewhere in this corpus,False,15,,11,,2,,"te zu bedingenden, bei Eintragung des Be¬ || siz-Titels zu interbulirenden Pfand-Rechte"
2,9,294,295,¬,Johann,nis,Johannnis,split,high,joined form unattested; both halves are real words,False,0,18,39,1936673,2,22823,"und mit Zinsen zu 5. procent von Johann¬ || nis c. an, cedire ich hiermit an den"
2,9,301,302,¬,Ein,willigung,Einwilligung,join,high,joined form occurs elsewhere in this corpus,False,1,,95,,1,,"ich, dem Herrn Banquier Weigel die Ein¬ || willigung der Schuldner in diese Cession"
2,9,307,308,¬,Valu,ta,Valuta,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,2,,"rstehende Cession, Quittung über die Valu¬ || ta und das Versprechen der zu verschaf¬"
2,9,308,309,¬,verschaf,fenden,verschaffenden,join,high,head is not a word on its own,False,0,552,0,49,1,,ta und das Versprechen der zu verschaf¬ || fenden Einwilligung der Debitorum accep¬
2,9,309,310,¬,accep,tire,acceptire,join,high,head is not a word on its own,False,0,0,0,0,1,,fenden Einwilligung der Debitorum accep¬ || tire ich im Nahmen und als Compagnon mei¬
2,9,310,311,¬,mei,nes,meines,join,high,joined form occurs elsewhere in this corpus,False,6,,0,,2,,tire ich im Nahmen und als Compagnon mei¬ || nes Vaters Carl Ferdinand Weigel.
2,10,319,320,¬,re,gierenden,regierenden,join,high,joined form occurs elsewhere in this corpus,False,28,,5,,5,,Valuta von des Herrn Friedrich Ludewig re¬ || gierenden Fürsten zu Hohenlohe-Ingel¬
2,10,320,321,¬,Ingel,fingen,Ingelfingen,join,high,joined form occurs elsewhere in this corpus,False,49,,1,,4,,"gierenden Fürsten zu Hohenlohe-Ingel¬ || fingen Hochfürstl. Durchlaucht, und die vo"
2,10,328,329,¬,Durch,lesung,Durchlesung,join,high,joined form occurs elsewhere in this corpus,False,5,,84,,1,,"wohl bekannt sind, nach geschehener Durch¬ || lesung und erklährter Genehmigung durch"
2,10,330,331,¬,Unterschrif,ten,Unterschriften,join,high,joined form occurs elsewhere in this corpus,False,7,,0,,141,,"Ihre eigenhändige Nahmens Unterschrif¬ || ten und beigefügte Siegel, so wohl auf"
3,1,359,360,¬,Steuer,Einnehmer,SteuerEinnehmer,join,high,"joined form attested in DWDS (1,664 hits)",False,0,1664,7,,9,,"ebohrnen Herrn Hauptmann und Kreis Steuer¬ || Einnehmer Andreas Erenst Gneust kaufern, i"
3,1,364,365,¬,ver,abredet,verabredet,join,high,joined form occurs elsewhere in this corpus,False,9,,3,,1,,"hierüber gepflogenen Unterhandlungen, ver¬ || abredet und geschlossen werden, dessen näh"
3,2,371,372,¬,Erb,nehmen,Erbnehmen,split,high,joined form unattested; both halves are real words,False,0,11,32,217132,22,27416529,nehmlich für sich und seine Erben und Erb¬ || nehmen
3,2,392,394,,Einnehmer,Einnehmer,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,"Einnehmer || Einnehmer Andreas Ernst Gneust, erb und ei"
3,3,395,396,¬,Reichs,thaler,Reichsthaler,join,high,joined form occurs elsewhere in this corpus,False,38,,30,,42,,"für 2000 rt. schreibe zwey Tausend Reichs¬ || thaler, preußl. Courant, ganzer beständige"
3,3,399,400,¬,bestän,digste,beständigste,join,high,"joined form attested in DWDS (296,490 hits)",False,0,296490,0,,1,,Häuser bestens auf das allerrechts bestän¬ || digste quittirt.
3,3,408,409,¬,Pri,vilegio,Privilegio,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,1,,chen Onera bestehen nach vorerwähnten Pri¬ || vilegio
3,4,429,430,¬,ver,schenken,verschenken,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,2,,"uen, aber nichts davon verkaufen oder ver¬ || schenken. Wiedrigenfalls wird er, die ihm "
3,4,435,436,¬,Bau,Holz,BauHolz,join,high,joined form occurs elsewhere in this corpus,False,3,,17,,30,,"us der Betscher Forst, das benöthigte Bau¬ || Holz ebenfalls jedoch nicht anders als nac"
3,4,436,437,¬,An,weisung,Anweisung,join,high,joined form occurs elsewhere in this corpus,False,2,,215,,1,,ebenfalls jedoch nicht anders als nach An¬ || weisung des darüber gesetzten Commissario 
3,4,443,445,,VIII,VIII,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,VIII. || VIII.
3,5,458,459,¬,unter,wirft,unterwirft,join,high,"joined form attested in DWDS (329,971 hits)",False,0,329971,67,,1,,Herrn Käufer und mehro gestort und unter¬ || wirft sich Herr Verkäufer der Aushändigung
3,5,463,464,¬,ver,sichent,versichent,split,high,joined form unattested; both halves are real words,False,0,0,3,0,1,0," und zusprüche landübliche Gewehr und ver¬ || sichent demselben, daß auch dieser verkauf"
3,6,469,470,¬,dies,fällige,diesfällige,join,high,joined form occurs elsewhere in this corpus,False,2,,6,,1,,ntirt Herr Verkäufer nunmehro in die dies¬ || fällige Berichtigung des Tituli possession
3,6,471,472,¬,da,selbst,daselbst,join,high,joined form occurs elsewhere in this corpus,False,2,,34,,46,,Nahmen des Herrn Käufers in dem darmit da¬ || selbst anzufügenden Hypotheken Buche
3,6,477,478,¬,verab,redeten,verabredeten,join,high,joined form occurs elsewhere in this corpus,False,2,,1,,1,,"hloßenen Vertrags, nach allen darin verab¬ || redeten, und fest gesetzten Bedingungen un"
3,6,478,479,¬,Vorbe,haltungen,Vorbehaltungen,join,high,head is not a word on its own,False,0,56,0,896,1,, und fest gesetzten Bedingungen und Vorbe¬ || haltungen und entsagen zugleich allen und 
3,6,480,481,¬,Aus,fluchten,Ausfluchten,join,high,joined form occurs elsewhere in this corpus,False,1,,86,,1,,"ider diesem Kauf Vertrag zu machenden Aus¬ || fluchten und Rechtsbehalten, insonderheit "
3,6,481,482,¬,Aus,flucht,Ausflucht,join,high,"joined form attested in DWDS (24,644 hits)",False,0,24644,86,,1,," und Rechtsbehalten, insonderheit der Aus¬ || flucht des Irthums, des Miß und Nicht Vers"
3,7,495,496,¬,aus,gerechselt,ausgerechselt,split,high,joined form unattested; both halves are real words,False,0,0,86,171904164,1,0,chafte bekräftiget und gegen einander aus¬ || gerechselt worden
3,7,506,507,¬,Ver,trags,Vertrags,join,high,joined form occurs elsewhere in this corpus,False,2,,3,,1,,rey Schulzen Guth abgeschloßenen Kauf Ver¬ || trags nicht nur nach geschehene Verlesung 
3,7,507,508,¬,durchgän,gig,durchgängig,join,high,"joined form attested in DWDS (291,012 hits)",False,0,291012,0,,1,,"ht nur nach geschehene Verlesung durchgän¬ || gig bekannt, sondern auch die darunter bef"
3,7,510,511,¬,all,gehaltenen,allgehaltenen,split,high,joined form unattested; both halves are real words,False,0,0,2,5981067,1,328343,ird auf den Grund eines dato hierüber all¬ || gehaltenen Protocolls unter der gewöhnlich
3,7,511,512,¬,Unter,schrift,Unterschrift,join,high,joined form occurs elsewhere in this corpus,False,12,,67,,5,,n Protocolls unter der gewöhnlichen Unter¬ || schrift und Verdrückung des gerichtlichen 
3,7,512,513,¬,Gerichts,Insiegels,GerichtsInsiegels,split,high,joined form unattested; both halves are real words,False,0,0,28,5151705,2,183,nd Verdrückung des gerichtlichen Gerichts¬ || Insiegels glaubhaft attestirt. So geschehe
3,7,514,516,,Birnbaum,Birnbaum,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,Birnbaum || Birnbaum den 24 Juny 1797.
3,8,539,540,¬,Ver,kaufer,Verkaufer,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,3,,der deutschen Sprache nicht mächtiger Ver¬ || kaufer von Jankowski wurde hierauf der vor
3,8,540,541,¬,vor,gedachte,vorgedachte,join,high,joined form occurs elsewhere in this corpus,False,1,,43,,7,,aufer von Jankowski wurde hierauf der vor¬ || gedachte Kauf Contract vom 24ten Juny 1797
3,8,543,545,,Hintsch,Hintsch,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,Hintsch || Hintsch langesam und deutlich in polnische
3,9,547,548,¬,wohl,bedächtig,wohlbedächtig,join,high,joined form occurs elsewhere in this corpus,False,9,,17,,2,,gelesen und erklärten beyde nochmals wohl¬ || bedächtig vor Gericht.
3,9,550,551,¬,ge,nehmigen,genehmigen,join,high,joined form occurs elsewhere in this corpus,False,4,,6,,1,,nochmals in allen seinen Punkten ge¬ || nehmigen und für immer getreulich fest¬
3,9,551,552,¬,fest,halten,festhalten,join,high,"joined form attested in DWDS (1,568,842 hits)",False,0,1568842,17,,12,,nehmigen und für immer getreulich fest¬ || halten wollen
3,9,564,565,¬,Con,tracts,Contracts,join,high,joined form occurs elsewhere in this corpus,False,48,,0,,2,,kaufen auf den Grund des Kauf Con¬ || tracts beym Hypotheken Buche be¬
3,9,565,566,¬,be,richtiget,berichtiget,join,high,joined form occurs elsewhere in this corpus,False,8,,11,,2,,tracts beym Hypotheken Buche be¬ || richtiget werde.
3,9,568,570,,schliessen,schlossen,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,schliessen || schlossen und nach geschehener Vorlesung u
3,10,581,582,¬,erwor,benen,erworbenen,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,2,,"irmiren und den Besitzer bey seinen erwor¬ || benen Rechte schützen, jedoch Uns und Jede"
3,10,585,586,¬,aus,fertigen,ausfertigen,join,high,"joined form attested in DWDS (10,917 hits)",False,0,10917,86,,3,,nter Unserm Insiegel und Unterschrift aus¬ || fertigen lassen
3,11,599,600,¬,Grund,Büchern,GrundBüchern,split,high,joined form unattested; both halves are real words,False,0,0,44,14931215,5,12572695,te meine Gerechtsame nach den alten Grund¬ || Büchern noch näher prüfen zu lassen.
4,1,605,606,¬,Re,gierenden,Regierenden,join,high,joined form occurs elsewhere in this corpus,False,28,,5,,5,,"und Herrn, Herrn Friedrich Ludewig, Re¬ || gierenden Fürsten zu Hohenlohe Ingelfingen"
4,1,608,609,¬,Frank,furth,Frankfurth,join,high,joined form occurs elsewhere in this corpus,False,10,,0,,6,,", und dem Königl. Banco-Director zu Frank¬ || furth an der Oder Herrn George Conrad Leix"
4,1,610,611,¬,wor,den,worden,join,high,joined form occurs elsewhere in this corpus,False,52,,1,,482,,st folgender Kauf-Contract geschloßen wor¬ || den:
4,1,615,616,¬,Me,seritzer,Meseritzer,join,high,joined form occurs elsewhere in this corpus,False,4,,3,,1,,"im Posenschen Departement und deßen Me¬ || seritzer Kreise gelegenen, aus der Donatio"
4,1,616,617,¬,Donations,Urkunde,DonationsUrkunde,split,high,joined form unattested; both halves are real words,False,0,21,2,575,8,734383,"itzer Kreise gelegenen, aus der Donations¬ || Urkunde des Hochseel. Königs Friedrich Wil"
4,1,617,618,¬,Wil,helm,Wilhelm,join,high,joined form occurs elsewhere in this corpus,False,30,,1,,3,,rkunde des Hochseel. Königs Friedrich Wil¬ || helm des IIten Majestät vom 9ten August 17
4,1,621,622,¬,Wal,dungen,Waldungen,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,2,,"tinentien, Mühlen, Einsaßen, Feldern, Wal¬ || dungen, Seen, Gewäßern, Diensten, Jagd,"
4,1,626,627,¬,mal,Hundert,malHundert,split,high,joined form unattested; both halves are real words,False,0,0,7,29520180,45,0,"Kauf Pretium von 142,000 rthl. Ein mal¬ || Hundert und Zwei und Vierzig Tausend Reich"
4,1,627,628,¬,Reichs,thaler,Reichsthaler,join,high,joined form occurs elsewhere in this corpus,False,38,,30,,42,,"ndert und Zwei und Vierzig Tausend Reichs¬ || thaler, nach dem Münz-Fuße von 1764."
4,1,630,631,¬,völ,lig,völlig,join,high,joined form occurs elsewhere in this corpus,False,18,,0,,1,,auf- Geld der 142000 rthl ist bereits völ¬ || lig bezahlt.
4,1,637,639,,Historisch,Historisch,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,"Historisch || Historisch wird hierbei bemerkt, daß die Z"
4,2,639,640,¬,Zah,lung,Zahlung,join,high,joined form occurs elsewhere in this corpus,False,5,,1,,1,,"torisch wird hierbei bemerkt, daß die Zah¬ || lung der Kauf Gelder folgender Maßen gesch"
4,2,640,641,¬,gesche,hen,geschehen,join,high,joined form occurs elsewhere in this corpus,False,33,,0,,3,,ng der Kauf Gelder folgender Maßen gesche¬ || hen ist:
4,2,643,644,¬,ehema,ligen,ehemaligen,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,4,, 13 g 8/5 d. hat Herr Käufer an den ehema¬ || ligen Polnischen Rittmeister von Broni¬
4,2,644,645,¬,Broni,ewsky,Broniewsky,join,high,joined form occurs elsewhere in this corpus,False,6,,0,,1,,"ligen Polnischen Rittmeister von Broni¬ || ewsky, welcher als immittirter Gläu¬"
4,2,645,646,¬,Gläu,biger,Gläubiger,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,"ewsky, welcher als immittirter Gläu¬ || biger sich im Natural-Besize der Gü"
4,2,648,649,¬,Anwei,sung,Anweisung,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,2,,"zu erkannte Summe, auf Anwei¬ || sung Sr. Hochfürstl. Durchlaucht bezahlt"
4,2,656,657,¬,Käu,fer,Käufer,join,high,joined form occurs elsewhere in this corpus,False,95,,0,,9,,"Außer dem Kauf Pretis übernimmt Herr Käu¬ || fer folgende, in den Hypotheken Büchern au"
4,2,660,661,¬,Kaemen,wovon,Kaemenwovon,split,high,joined form unattested; both halves are real words,False,0,0,17,2173,3,507938,Floren Polnisch für die Kirche zu Kaemen¬ || wovon die Zinsen jährlich auf Vier Mark Po
4,2,661,662,¬,Pol,nisch,Polnisch,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,1,,von die Zinsen jährlich auf Vier Mark Pol¬ || nisch festgesezt sind.
4,2,665,666,¬,Flo,ren,Floren,join,high,joined form occurs elsewhere in this corpus,False,4,,0,,9,,"thaler, oder 1500. Fünfzehn Hundert Flo¬ || ren Polnisch, welche zu 3 1/2. drei und ei"
4,3,678,679,¬,Inn,halt,Innhalt,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,3,,"extradirt worden, aufgeführte Flächen-Inn¬ || halt an Aeckern, Wiesen, Heiden und Seen"
4,3,680,681,¬,Durch,laucht,Durchlaucht,join,high,joined form occurs elsewhere in this corpus,False,130,,84,,18,,"lich vorhanden sey. Se. Hochfürstl. Durch¬ || laucht versichere hierbei, daß Höchstdenen"
4,3,684,685,¬,sei,Die,seiDie,split,high,joined form unattested; both halves are real words,False,0,49,3,0,604,0,aufgeführten Grundstücke bekannt sei¬ || Die Verbindlichkeit Sr. Hochfürstl. Durchl
4,3,704,705,¬,Verhandlun,gen,Verhandlungen,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,40,,auf genommenen gerichtlichen Verhandlun¬ || gen sein Bewenden.
4,4,720,721,¬,über,geben,übergeben,join,high,joined form occurs elsewhere in this corpus,False,10,,79,,9,,"b., daß die Güther dem Herrn Käufer über¬ || geben werden sollen, wie sie am 15ten Juni"
4,4,724,725,¬,In,ventario,Inventario,join,high,joined form occurs elsewhere in this corpus,False,1,,377,,1,,"Beilaß, an Feld Viehs und Wirthschafts In¬ || ventario verlangen könne, welchen der"
4,4,728,729,¬,deut,scher,deutscher,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,3,,"nach der dem Herrn Käufer in deut¬ || scher Sprache ausgehändigten Acte,"
4,4,730,731,¬,ver,pflichtet,verpflichtet,join,high,joined form occurs elsewhere in this corpus,False,14,,3,,3,,"erhalten hat, und zurück zu gewehren ver¬ || pflichtet gewesen."
4,4,732,733,¬,Cu,pitalien,Cupitalien,split,high,joined form unattested; both halves are real words,False,0,5,0,21398,1,0,". Außer den in §. 3. bemerkten Kirchen Cu¬ || pitalien, stehet auf den Güthern ein hypo¬"
4,4,733,734,¬,hypo,thecarisches,hypothecarisches,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,"pitalien, stehet auf den Güthern ein hypo¬ || thecarisches Capital von 100,000. rthl. Ei"
4,4,734,735,¬,Ein,mal,Einmal,join,high,joined form occurs elsewhere in this corpus,False,5,,95,,7,,"ecarisches Capital von 100,000. rthl. Ein¬ || mal Hundert Tausend Reichsthalern"
4,4,738,739,¬,Trieben,feld,Triebenfeld,join,high,joined form occurs elsewhere in this corpus,False,46,,0,,14,,"Herrn Kriegs- und Forst-Rath von Trieben¬ || feld eingetragen, welcher diese Hypothek"
4,5,743,744,¬,ausdrück,lich,ausdrücklich,join,high,joined form occurs elsewhere in this corpus,False,11,,0,,20,,und Herr Käufer entsaget hiermit ausdrück¬ || lich allen desfälligen Ansprüchen so wohl 
4,5,756,757,¬,Tra,dition,Tradition,join,high,joined form occurs elsewhere in this corpus,False,7,,0,,1,,"dieses Kaufs, der Natural- und Civil- Tra¬ || dition, und überhaupt sämtliche Kaufs Kost"
4,5,762,763,¬,Ver,käufers,Verkäufers,join,high,joined form occurs elsewhere in this corpus,False,11,,3,,8,,Paßive Dienstbarkeiten sind des Herrn Ver¬ || käufers Durchlaucht nicht bekannt.
